nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_S_score,GB_IMD_S_rank,GB_IMD_S_decile
E,E01008736,72.638,48.9,36.6,78.36562388129272,158.0,1
E,E01026597,74.353,38.7,38.0,78.33079850562777,159.0,1
E,E01009365,72.39,50.7,36.1,78.3231080547515,160.0,1
E,E01007126,71.864,43.5,40.8,78.28760743962997,161.0,1
E,E01006647,74.341,44.2,35.099999999999994,78.28541576647982,162.0,1
E,E01024676,76.553,40.0,32.300000000000004,78.22369058621732,163.0,1
E,E01012735,74.73,36.5,37.9,78.18410188443103,164.0,1
E,E01015155,72.714,45.1,37.8,78.16021968606772,165.0,1
E,E01011368,75.543,39.900000000000006,34.300000000000004,78.14186793620125,166.0,1
E,E01005203,75.035,44.4,33.1,78.14045132139124,167.0,1
E,E01006443,73.408,43.3,37.0,78.08073156879999,168.0,1
E,E01011973,72.905,46.0,36.7,78.07732865880847,169.0,1
S,S01010344,78.05354600449492,41.0,33.0,78.05354600449492,170.0,1
S,S01009976,78.03081004310611,44.0,32.0,78.03081004310611,171.0,1
E,E01013137,74.948,41.199999999999996,34.599999999999994,78.02654590293993,172.0,1
W,W01000144,69.2,43.0,36.0,77.96004011153782,173.0,1
E,E01012944,75.033,38.0,35.5,77.83007759700435,174.0,1
E,E01014831,72.904,47.4,35.3,77.82914031347381,175.0,1
E,E01007121,72.839,47.099999999999994,35.3,77.7237500196745,176.0,1
E,E01007289,71.878,47.9,36.6,77.59287667821883,177.0,1
E,E01012000,71.572,46.300000000000004,38.0,77.5662870589875,178.0,1
E,E01013948,71.684,46.6,37.6,77.56414856680352,179.0,1
E,E01013140,75.879,43.9,29.9,77.5516138081856,180.0,1
E,E01025156,72.179,48.699999999999996,35.4,77.5409888651144,181.0,1
W,W01001209,74.8,45.0,27.0,77.44989478987185,182.0,1
E,E01024906,77.026,36.9,30.7,77.44659802730406,183.0,1
E,E01015842,73.557,47.4,32.800000000000004,77.4357440928814,184.0,1
E,E01013877,73.881,44.800000000000004,33.300000000000004,77.39061899814162,185.0,1
E,E01033483,73.994,41.0,34.9,77.35789969220245,186.0,1
E,E01006963,73.993,44.0,33.300000000000004,77.33090212113315,187.0,1
E,E01007006,74.774,41.4,32.9,77.31629060656236,188.0,1
S,S01009126,77.25736270273397,37.0,29.0,77.25736270273397,189.0,1
S,S01007872,77.24879504735314,44.0,30.0,77.24879504735314,190.0,1
E,E01030250,74.332,41.3,33.7,77.24309179038458,191.0,1
E,E01019663,71.148,47.9,37.2,77.24261687947883,192.0,1
S,S01010023,77.23344524443823,47.0,33.0,77.23344524443823,193.0,1
S,S01013075,77.22737656194398,40.0,31.0,77.22737656194398,194.0,1
E,E01006880,72.419,41.3,37.7,77.19909087562652,195.0,1
E,E01012091,73.207,46.400000000000006,33.4,77.19699849303105,196.0,1
E,E01006674,72.003,51.1,33.6,77.19631306254738,197.0,1
E,E01008291,73.512,47.599999999999994,32.0,77.14951660365998,198.0,1
E,E01014726,75.488,40.8,31.2,77.14823672082872,199.0,1
E,E01016111,73.322,40.699999999999996,35.9,77.1416419280445,200.0,1
E,E01019156,71.737,43.3,37.9,77.10855716232946,201.0,1
E,E01020752,71.325,40.2,40.2,77.0488539919391,202.0,1
S,S01009843,76.97627258514564,42.0,30.0,76.97627258514564,203.0,1
E,E01019143,75.081,38.0,32.9,76.93140600477483,204.0,1
S,S01012491,76.92414003055032,42.0,32.0,76.92414003055032,205.0,1
E,E01007124,72.478,46.9,33.7,76.83114528023232,206.0,1
E,E01008380,72.353,46.2,34.2,76.78590054333556,207.0,1
S,S01013395,76.77292599420923,41.0,29.0,76.77292599420923,208.0,1
E,E01006779,72.513,43.9,34.699999999999996,76.66853779410596,209.0,1
E,E01008437,68.773,49.0,40.1,76.64586172142658,210.0,1
E,E01006766,74.389,43.1,31.0,76.64523619812074,211.0,1
S,S01010118,76.6092886015822,40.0,27.0,76.6092886015822,212.0,1
E,E01012112,71.936,42.199999999999996,36.6,76.59339968615373,213.0,1
S,S01010121,76.55816384982101,41.0,28.0,76.55816384982101,214.0,1
E,E01032471,73.255,45.0,32.2,76.54573957823973,215.0,1
E,E01006703,72.673,40.1,35.699999999999996,76.45629711362508,216.0,1
E,E01024657,74.458,42.8,30.4,76.42780763677169,217.0,1
E,E01005568,72.778,47.599999999999994,31.5,76.4001948962628,218.0,1
S,S01010336,76.38315234906952,38.0,32.0,76.38315234906952,219.0,1
S,S01011383,76.31324019729831,36.0,33.0,76.31324019729831,220.0,1
E,E01021015,72.225,50.4,31.0,76.30433996306635,221.0,1
E,E01006460,73.046,42.699999999999996,33.1,76.28614055233348,222.0,1
E,E01028263,72.967,37.9,35.6,76.24522005702221,223.0,1
E,E01009638,71.091,47.5,34.699999999999996,76.22520061169436,224.0,1
W,W01001308,74.4,46.0,25.0,76.21087027965181,225.0,1
E,E01005433,73.896,43.3,30.7,76.19149096268164,226.0,1
E,E01005090,73.349,42.8,32.1,76.17952894234497,227.0,1
S,S01010455,76.16562791138365,41.0,36.0,76.16562791138365,228.0,1
E,E01009002,71.83,48.5,32.300000000000004,76.1177477262415,229.0,1
E,E01013142,74.512,41.6,30.0,76.1058210039458,230.0,1
S,S01010903,76.10099192681004,42.0,34.0,76.10099192681004,231.0,1
E,E01033468,70.851,49.8,33.7,76.10052845781118,232.0,1
E,E01006248,73.622,40.6,32.4,76.09614803703332,233.0,1
E,E01005729,71.481,44.1,35.099999999999994,76.0486816224298,234.0,1
E,E01010032,73.297,48.9,28.7,76.03308177700148,235.0,1
S,S01010111,76.0181672568283,42.0,29.0,76.0181672568283,236.0,1
E,E01005952,71.016,45.5,35.199999999999996,75.98052778732625,237.0,1
S,S01011361,75.96178494620469,35.0,33.0,75.96178494620469,238.0,1
E,E01012127,70.522,42.9,37.5,75.94883965030866,239.0,1
E,E01005255,72.236,41.099999999999994,34.599999999999994,75.9046106075659,240.0,1
W,W01001662,72.1,44.0,28.0,75.8996746367482,241.0,1
S,S01010163,75.88752679764269,39.0,30.0,75.88752679764269,242.0,1
S,S01011384,75.88480995769024,40.0,30.0,75.88480995769024,243.0,1
E,E01012037,72.024,50.5,30.099999999999998,75.8427880275416,244.0,1
E,E01006790,72.566,42.1,33.2,75.83987249525333,245.0,1
S,S01009980,75.83022927610544,43.0,30.0,75.83022927610544,246.0,1
E,E01009160,71.69,48.1,31.900000000000002,75.79187320291439,247.0,1
E,E01007970,70.205,37.4,40.5,75.77502394580071,248.0,1
S,S01010904,75.74202740205827,45.0,33.0,75.74202740205827,249.0,1
E,E01011978,72.03,45.2,32.4,75.70418691398851,250.0,1
E,E01006702,72.822,42.6,31.900000000000002,75.66211145199955,251.0,1
E,E01024678,73.499,39.7,31.900000000000002,75.65584377278437,252.0,1
E,E01012686,70.955,44.3,35.0,75.64133193496598,253.0,1
E,E01012100,70.723,40.0,37.6,75.60935034665808,254.0,1
E,E01006436,72.718,38.4,34.0,75.56775784321887,255.0,1
E,E01012267,71.142,44.6,34.0,75.48139076934117,256.0,1
E,E01033747,74.499,37.7,30.2,75.45309546296728,257.0,1
E,E01015231,71.902,40.400000000000006,34.4,75.44527722035467,258.0,1
S,S01013138,75.43619838591516,40.0,29.0,75.43619838591516,259.0,1
S,S01010495,75.40098513083655,40.0,30.0,75.40098513083655,260.0,1
E,E01008666,69.062,47.699999999999996,36.6,75.37194796143652,261.0,1
E,E01005665,71.863,44.6,32.0,75.32072143710404,262.0,1
S,S01013135,75.28976526265197,40.0,32.0,75.28976526265197,263.0,1
E,E01012059,73.511,40.400000000000006,30.5,75.2894713888683,264.0,1
S,S01007812,75.20127126042358,42.0,27.0,75.20127126042358,265.0,1
W,W01000241,72.1,47.0,26.0,75.20084813510131,266.0,1
S,S01012501,75.17653465852098,37.0,29.0,75.17653465852098,267.0,1
E,E01013693,72.55,42.6,31.1,75.16315942992891,268.0,1
S,S01012838,75.14758474011573,40.0,29.0,75.14758474011573,269.0,1
E,E01010710,74.227,37.1,30.2,75.13217003407146,270.0,1
E,E01011625,72.732,45.9,28.9,75.11710319876585,271.0,1
S,S01010046,75.09929287001063,41.0,29.0,75.09929287001063,272.0,1
E,E01009577,70.862,48.1,31.7,75.07762759608768,273.0,1
E,E01011363,73.67,40.9,29.299999999999997,75.0724668539372,274.0,1
W,W01000413,73.4,47.0,24.0,75.0724023068703,275.0,1
S,S01009939,74.97278561808045,39.0,32.0,74.97278561808045,276.0,1
E,E01011658,72.671,40.0,31.6,74.9605737522079,277.0,1
E,E01019139,71.505,36.4,35.9,74.94432307258907,278.0,1
S,S01009940,74.93020320048399,40.0,31.0,74.93020320048399,279.0,1
E,E01005138,73.414,41.6,29.099999999999998,74.9301710051206,280.0,1
S,S01010224,74.9136389445445,43.0,27.0,74.9136389445445,281.0,1
E,E01010964,71.544,46.0,30.8,74.89786328925376,282.0,1
E,E01008439,71.679,40.1,33.5,74.89336475040186,283.0,1
E,E01012060,71.336,47.199999999999996,30.599999999999998,74.88441930034965,284.0,1
E,E01005483,71.698,44.4,31.1,74.83212166532236,285.0,1
E,E01008124,72.697,40.5,30.9,74.82038685844378,286.0,1
E,E01005658,72.41,40.300000000000004,31.5,74.7771000174823,287.0,1
E,E01005683,72.47,45.1,28.799999999999997,74.7312902342024,288.0,1
E,E01006442,70.378,39.4,36.1,74.6918567471325,289.0,1
E,E01008303,71.356,39.5,33.900000000000006,74.67686543590347,290.0,1
E,E01006412,70.402,46.6,32.300000000000004,74.66193872674441,291.0,1
E,E01005432,72.323,41.4,30.8,74.65920641247716,292.0,1
E,E01012252,70.272,48.1,31.8,74.65597983145592,293.0,1
E,E01005758,72.065,38.5,32.800000000000004,74.64761513565686,294.0,1
E,E01007736,70.649,47.699999999999996,31.1,74.62313672776064,295.0,1
E,E01006610,73.776,39.300000000000004,28.599999999999998,74.60953022818359,296.0,1
E,E01005141,71.241,38.800000000000004,34.0,74.49539220085444,297.0,1
E,E01007220,71.432,41.3,32.300000000000004,74.4897067707437,298.0,1
E,E01005259,72.603,42.4,29.2,74.48369231678322,299.0,1
E,E01011792,71.126,39.800000000000004,33.6,74.44544481740965,300.0,1
E,E01005088,72.174,44.2,29.099999999999998,74.44476577809974,301.0,1
S,S01010332,74.43436069328004,40.0,26.0,74.43436069328004,302.0,1
E,E01010617,70.94,41.5,33.1,74.43269644027241,303.0,1
E,E01006455,70.978,43.1,32.2,74.43138853464872,304.0,1
S,S01009534,74.42123666597368,42.0,27.0,74.42123666597368,305.0,1
E,E01007008,70.525,41.3,34.0,74.39811299140177,306.0,1
E,E01024683,69.77,42.4,35.0,74.37401023430847,307.0,1
E,E01013278,70.656,44.9,31.8,74.36746957804873,308.0,1
E,E01012854,70.596,40.300000000000004,34.1,74.30594210456474,309.0,1
E,E01013726,71.184,43.8,30.8,74.21549572264573,310.0,1
E,E01027140,72.233,39.7,30.599999999999998,74.20589639023714,311.0,1
E,E01013818,70.39,47.0,30.8,74.18598213850463,312.0,1
E,E01017040,72.083,42.3,29.5,74.17000993328556,313.0,1
E,E01006638,70.825,43.1,31.7,74.13272987509438,314.0,1
S,S01010330,74.12783261868206,38.0,28.0,74.12783261868206,315.0,1
E,E01006778,70.381,42.1,33.1,74.10904184721059,316.0,1
E,E01022026,71.02,40.6,32.4,74.07786017044627,317.0,1
E,E01013691,71.829,41.3,30.3,74.07772104005375,318.0,1
S,S01011243,74.06701923844518,40.0,34.0,74.06701923844518,319.0,1
S,S01008006,74.02577905443329,39.0,29.0,74.02577905443329,320.0,1
E,E01010820,72.553,38.5,30.0,74.018244829311,321.0,1
E,E01013212,70.09,44.4,32.300000000000004,74.01680321916642,322.0,1
E,E01007253,64.651,44.6,43.8,73.97416729278696,323.0,1
E,E01005322,72.124,38.800000000000004,30.599999999999998,73.95643294793472,324.0,1
E,E01032514,72.281,40.2,29.5,73.93878901307828,325.0,1
E,E01013209,70.182,42.5,32.800000000000004,73.9199908936835,326.0,1
E,E01020764,69.516,36.8,37.1,73.90677099858809,327.0,1
E,E01012748,71.029,37.6,33.4,73.89508531901195,328.0,1
S,S01010019,73.84944797780655,40.0,29.0,73.84944797780655,329.0,1
E,E01025110,71.554,37.1,32.300000000000004,73.81473192669931,330.0,1
E,E01005004,67.478,39.0,40.1,73.80897577786321,331.0,1
E,E01006630,70.809,40.0,32.4,73.80425048323445,332.0,1
E,E01008302,71.028,41.0,31.4,73.79739841153176,333.0,1
E,E01010029,70.309,44.6,31.1,73.7913668774934,334.0,1
E,E01007123,71.032,42.5,30.5,73.75139383725195,335.0,1
S,S01009780,73.70663171192032,37.0,26.0,73.70663171192032,336.0,1
E,E01010456,68.126,49.6,33.0,73.69821145965219,337.0,1
E,E01024877,72.339,42.5,27.500000000000004,73.68530294954782,338.0,1
E,E01008485,69.647,45.300000000000004,31.8,73.65811651122728,339.0,1
E,E01007011,69.304,41.5,34.300000000000004,73.59565929301561,340.0,1
S,S01010212,73.57254455179569,40.0,32.0,73.57254455179569,341.0,1
W,W01001874,71.4,42.0,25.0,73.53179483629161,342.0,1
E,E01008836,70.5,39.2,32.7,73.52596630465429,343.0,1
E,E01027819,70.853,43.4,29.799999999999997,73.52549086541964,344.0,1
E,E01033471,68.771,48.0,31.900000000000002,73.50937465297329,345.0,1
S,S01012786,73.4870329871432,41.0,29.0,73.4870329871432,346.0,1
E,E01012084,69.417,45.6,31.5,73.42669589273345,347.0,1
E,E01033676,70.653,41.699999999999996,30.8,73.41881290591964,348.0,1
E,E01005257,71.224,40.2,30.3,73.40687840075454,349.0,1
E,E01010666,73.106,38.7,27.0,73.40394826802954,350.0,1
E,E01012893,72.204,40.300000000000004,28.1,73.3934384253184,351.0,1
E,E01011375,73.056,39.0,26.900000000000002,73.38414045945683,352.0,1
E,E01012836,70.634,38.800000000000004,32.2,73.37662849067782,353.0,1
S,S01010353,73.37591783956235,39.0,32.0,73.37591783956235,354.0,1
S,S01009471,73.31727628322429,43.0,34.0,73.31727628322429,355.0,1
S,S01009860,73.27416962421808,40.0,30.0,73.27416962421808,356.0,1
W,W01001741,70.8,52.0,23.0,73.27031643172907,357.0,1
E,E01006470,69.975,39.2,33.1,73.26272583613002,358.0,1
E,E01024590,68.275,40.1,36.3,73.26088747067247,359.0,1
E,E01008425,67.363,40.5,38.0,73.23871119255419,360.0,1
S,S01010055,73.20812904729534,35.0,31.0,73.20812904729534,361.0,1
E,E01028256,70.536,36.9,32.9,73.20443185342606,362.0,1
W,W01000863,70.2,42.0,26.0,73.19634789385364,363.0,1
E,E01006821,69.907,40.5,32.4,73.19621784151062,364.0,1
W,W01001884,71.2,49.0,23.0,73.18669188533019,365.0,1
W,W01000742,67.4,41.0,30.0,73.18314054602911,366.0,1
E,E01011667,71.544,43.1,27.500000000000004,73.17859073292162,367.0,1
W,W01000733,69.7,36.0,28.0,73.15754462928687,368.0,1
E,E01006453,68.706,42.1,33.900000000000006,73.09776847487502,369.0,1
E,E01012857,70.567,42.6,29.599999999999998,73.08506557706197,370.0,1
E,E01007019,67.849,45.4,34.0,73.07370806771269,371.0,1
E,E01016868,69.404,41.0,32.7,73.00566557331167,372.0,1
W,W01001222,70.6,42.0,25.0,72.95045686312292,373.0,1
E,E01007575,69.904,40.5,31.7,72.94191677786674,374.0,1
S,S01007485,72.91535884250314,41.0,28.0,72.91535884250314,375.0,1
E,E01026624,72.233,34.300000000000004,29.7,72.89243589219399,376.0,1
E,E01009109,71.102,44.3,27.0,72.87565157340839,377.0,1
S,S01011230,72.86829709357794,40.0,33.0,72.86829709357794,378.0,1
E,E01007947,68.121,38.0,36.6,72.86462033374916,379.0,1
S,S01010230,72.85291719687359,42.0,33.0,72.85291719687359,380.0,1
S,S01010160,72.84183996584638,38.0,31.0,72.84183996584638,381.0,1
E,E01011294,71.263,38.6,29.4,72.81997943737974,382.0,1
E,E01025036,70.903,35.5,31.7,72.80061099760526,383.0,1
E,E01008122,70.813,39.6,29.7,72.76215736857557,384.0,1
E,E01006735,69.181,41.4,32.300000000000004,72.76200229599034,385.0,1
E,E01007737,68.626,42.0,33.1,72.7294207287481,386.0,1
E,E01006633,69.246,41.9,31.8,72.72405903874655,387.0,1
E,E01005261,71.336,41.099999999999994,27.6,72.68676890120757,388.0,1
E,E01005680,69.961,37.8,32.1,72.63536810031664,389.0,1
E,E01026093,70.442,35.9,32.0,72.6243128208811,390.0,1
S,S01010128,72.61181953606695,42.0,24.0,72.61181953606695,391.0,1
E,E01014727,71.15,40.1,28.299999999999997,72.61122913065579,392.0,1
E,E01026173,68.992,42.1,31.900000000000002,72.59968360767809,393.0,1
W,W01001955,64.7,39.0,33.0,72.58127591654116,394.0,1
E,E01005610,71.406,43.5,25.900000000000002,72.56890369544877,395.0,1
