nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_S_score,GB_IMD_S_rank,GB_IMD_S_decile
E,E01021988,92.735,56.89999999999999,53.400000000000006,101.46751584946162,1.0,1
W,W01000240,86.6,61.0,43.0,96.60582234706148,2.0,1
E,E01012673,88.774,60.9,45.9,96.42833164770482,3.0,1
E,E01012751,88.023,54.900000000000006,45.1,94.45839709264104,4.0,1
E,E01012681,88.408,49.9,46.400000000000006,94.30878304958331,5.0,1
E,E01012737,87.371,50.2,42.199999999999996,92.04754296175753,6.0,1
E,E01012670,87.112,54.300000000000004,39.2,91.5180385154341,7.0,1
E,E01012682,86.803,53.900000000000006,39.800000000000004,91.42103906039752,8.0,1
E,E01012672,88.139,47.4,39.6,91.19428137003709,9.0,1
E,E01022025,83.878,46.300000000000004,49.2,91.14324115208728,10.0,1
E,E01012671,88.026,46.9,39.4,90.94301850829632,11.0,1
E,E01012683,84.357,52.0,44.5,90.86742597342794,12.0,1
S,S01010891,89.20058602807558,48.0,44.0,89.20058602807558,13.0,1
E,E01007122,82.666,54.900000000000006,41.4,88.97128128297778,14.0,1
S,S01010245,88.56904062035917,51.0,42.0,88.56904062035917,15.0,1
S,S01011598,88.10305197070684,45.0,44.0,88.10305197070684,16.0,1
E,E01006558,83.903,46.2,40.1,87.86864610991383,17.0,1
E,E01008978,78.083,55.800000000000004,47.699999999999996,87.84907749468377,18.0,1
S,S01012068,87.51609178279996,50.0,39.0,87.51609178279996,19.0,1
E,E01012655,78.945,53.5,45.0,87.1243521918337,20.0,1
E,E01007133,75.014,58.099999999999994,50.8,87.00588892716505,21.0,1
E,E01005482,79.3,51.2,44.9,86.94226691673835,22.0,1
E,E01006547,84.368,45.5,36.8,86.91318624931793,23.0,1
E,E01006874,81.0,51.300000000000004,41.099999999999994,86.91136711828547,24.0,1
E,E01012674,83.919,46.1,37.4,86.8908328905419,25.0,1
E,E01006611,82.675,51.0,37.3,86.78777978171519,26.0,1
E,E01012041,77.591,57.8,44.2,86.57405779338303,27.0,1
W,W01000239,80.3,50.0,35.0,86.36289604889909,28.0,1
E,E01024858,83.799,47.599999999999994,35.3,86.3166899657506,29.0,1
S,S01010122,86.2874653157124,46.0,37.0,86.2874653157124,30.0,1
E,E01007007,77.125,51.0,47.4,86.11844867856679,31.0,1
S,S01007465,86.05619961362788,47.0,35.0,86.05619961362788,32.0,1
E,E01012675,82.236,51.0,35.699999999999996,85.87132086670215,33.0,1
E,E01012897,82.194,49.7,36.4,85.85250539271102,34.0,1
E,E01007127,81.054,50.4,38.2,85.74444500900871,35.0,1
E,E01013139,81.738,49.5,37.1,85.71412697152712,36.0,1
E,E01012721,77.561,51.7,44.5,85.54101506856125,37.0,1
E,E01012679,82.897,48.699999999999996,34.300000000000004,85.45863814229357,38.0,1
E,E01012090,78.009,51.4,42.9,85.25760169717812,39.0,1
W,W01001421,79.8,47.0,34.0,85.08870626537038,40.0,1
E,E01008427,79.298,49.4,40.400000000000006,84.99105105520405,41.0,1
S,S01009622,84.98470540365814,52.0,41.0,84.98470540365814,42.0,1
S,S01010644,84.77049346708729,46.0,35.0,84.77049346708729,43.0,1
E,E01013138,81.548,47.599999999999994,35.8,84.75064300221683,44.0,1
E,E01013136,77.552,50.3,43.0,84.7375542008341,45.0,1
E,E01030258,81.147,43.9,38.1,84.5895284176286,46.0,1
S,S01012067,84.46136597850825,48.0,35.0,84.46136597850825,47.0,1
E,E01026383,81.3,45.300000000000004,36.7,84.4607929283487,48.0,1
E,E01012622,79.94,48.1,37.9,84.35091100545625,49.0,1
E,E01004960,77.703,54.50000000000001,39.2,84.25642719800176,50.0,1
E,E01012736,80.117,42.4,38.7,83.73170884730354,51.0,1
S,S01007801,83.72270864723092,46.0,31.0,83.72270864723092,52.0,1
E,E01005918,77.101,47.8,42.4,83.71365120944353,53.0,1
S,S01008787,83.70380944486544,43.0,40.0,83.70380944486544,54.0,1
E,E01005350,75.624,53.2,42.8,83.70146875302028,55.0,1
S,S01010323,83.64592133396968,59.0,43.0,83.64592133396968,56.0,1
E,E01024908,82.749,44.0,31.4,83.43872063122551,57.0,1
S,S01012492,83.21439319040907,42.0,35.0,83.21439319040907,58.0,1
E,E01030247,76.806,48.6,41.199999999999996,83.19946533004935,59.0,1
E,E01006563,78.172,49.1,38.0,83.19876606056033,60.0,1
S,S01010326,83.10562442220164,45.0,32.0,83.10562442220164,61.0,1
E,E01012948,78.1,44.4,40.2,83.0736103178631,62.0,1
E,E01007128,75.862,49.8,41.9,82.93909641786412,63.0,1
E,E01026625,78.389,47.699999999999996,37.4,82.8945727859459,64.0,1
S,S01009975,82.86943737512416,46.0,34.0,82.86943737512416,65.0,1
E,E01012855,78.371,46.300000000000004,38.0,82.84005308701411,66.0,1
S,S01010862,82.83404281166146,43.0,35.0,82.83404281166146,67.0,1
S,S01010114,82.82911321180518,44.0,33.0,82.82911321180518,68.0,1
E,E01028276,78.837,45.5,37.3,82.80294858539774,69.0,1
S,S01010207,82.57476322088229,49.0,40.0,82.57476322088229,70.0,1
E,E01007293,74.283,52.0,43.0,82.51340317030899,71.0,1
S,S01010893,82.41852292460021,49.0,42.0,82.41852292460021,72.0,1
E,E01006494,76.636,53.6,36.7,82.36396655391097,73.0,1
E,E01005682,75.302,46.9,42.9,82.33329049352099,74.0,1
E,E01012058,77.977,48.9,36.1,82.32693330909272,75.0,1
E,E01006493,75.8,55.900000000000006,37.0,82.24494815936785,76.0,1
E,E01006540,79.58,44.6,34.599999999999994,82.24245424533983,77.0,1
E,E01012114,76.969,50.0,37.4,82.21457545703291,78.0,1
S,S01012489,82.17423540456834,45.0,35.0,82.17423540456834,79.0,1
E,E01004823,76.792,47.5,38.7,82.08713506057725,80.0,1
E,E01012889,78.298,46.5,35.699999999999996,81.99216248250363,81.0,1
E,E01007274,76.106,49.3,38.9,81.95685075534135,82.0,1
S,S01010362,81.86761686542933,45.0,44.0,81.86761686542933,83.0,1
E,E01025584,75.224,41.5,44.4,81.82323896225512,84.0,1
E,E01007005,77.512,44.5,37.7,81.7359341979412,85.0,1
E,E01033228,77.148,48.8,36.1,81.6655806627515,86.0,1
E,E01005754,76.234,48.1,37.4,81.29630430978209,87.0,1
E,E01006413,75.149,46.2,40.6,81.25843081570538,88.0,1
E,E01025117,79.13,42.3,34.0,81.2559748421987,89.0,1
E,E01006760,79.006,38.800000000000004,35.9,81.2023830081658,90.0,1
E,E01012724,75.331,47.599999999999994,39.300000000000004,81.18818598970199,91.0,1
W,W01000991,77.5,46.0,30.0,81.14635501225575,92.0,1
S,S01007963,81.08993564348918,46.0,30.0,81.08993564348918,93.0,1
S,S01011240,81.04317462260033,46.0,43.0,81.04317462260033,94.0,1
E,E01007129,75.76,43.1,40.1,80.98433966357487,95.0,1
S,S01010138,80.98153564839039,49.0,47.0,80.98153564839039,96.0,1
W,W01001274,77.8,47.0,29.0,80.95256124587335,97.0,1
E,E01012895,78.352,48.3,30.599999999999998,80.5280688238493,98.0,1
E,E01008304,75.897,45.300000000000004,37.4,80.52183334373372,99.0,1
E,E01024609,77.896,43.9,33.6,80.44799884367487,100.0,1
E,E01006448,75.522,51.9,34.599999999999994,80.43244301439158,101.0,1
S,S01007853,80.39876772348165,42.0,37.0,80.39876772348165,102.0,1
E,E01005202,77.768,47.3,32.0,80.3957872904612,103.0,1
E,E01011372,78.577,45.0,31.3,80.34987747468308,104.0,1
E,E01007544,76.898,43.2,35.8,80.33753303591581,105.0,1
S,S01008569,80.25848367534249,38.0,36.0,80.25848367534249,106.0,1
S,S01009977,80.25109127128692,45.0,37.0,80.25109127128692,107.0,1
E,E01007532,77.257,40.9,35.9,80.23054302096472,108.0,1
E,E01006562,78.655,42.199999999999996,32.2,80.2212753341782,109.0,1
E,E01013861,73.321,45.5,42.0,80.21619029965142,110.0,1
E,E01013208,76.316,50.0,33.0,80.1242273723596,111.0,1
E,E01009379,76.225,46.400000000000006,35.0,80.11390491301256,112.0,1
E,E01006909,74.52,49.8,36.8,80.0623390925759,113.0,1
S,S01010499,80.04437806293784,42.0,31.0,80.04437806293784,114.0,1
E,E01012720,75.616,46.7,35.8,79.98446539883203,115.0,1
S,S01008929,79.90842715727025,43.0,36.0,79.90842715727025,116.0,1
E,E01010730,75.905,43.5,36.5,79.87424075521571,117.0,1
E,E01006386,75.885,44.800000000000004,35.8,79.84496481962636,118.0,1
E,E01012089,74.736,51.6,34.699999999999996,79.80379246152437,119.0,1
S,S01010493,79.7459412155075,45.0,31.0,79.7459412155075,120.0,1
E,E01006417,74.948,41.8,38.6,79.5763414351674,121.0,1
S,S01008007,79.52828059784784,44.0,31.0,79.52828059784784,122.0,1
E,E01011994,74.719,47.5,36.0,79.50727556567838,123.0,1
S,S01010047,79.50102657925085,45.0,33.0,79.50102657925085,124.0,1
E,E01033477,75.941,45.0,34.5,79.45709831655125,125.0,1
E,E01020909,73.145,50.7,37.6,79.44868173076647,126.0,1
S,S01010312,79.43389820698181,46.0,35.0,79.43389820698181,127.0,1
E,E01007273,75.265,45.800000000000004,35.4,79.40330514846961,128.0,1
E,E01033679,75.863,45.0,34.4,79.36059992634823,129.0,1
E,E01012170,72.771,53.0,36.9,79.32805896159539,130.0,1
S,S01010129,79.25801638401158,45.0,29.0,79.25801638401158,131.0,1
E,E01006467,74.863,42.699999999999996,37.4,79.24336977420617,132.0,1
E,E01007003,76.196,43.5,33.900000000000006,79.16405646182581,133.0,1
E,E01020972,73.26,48.3,37.7,79.13410478890283,134.0,1
E,E01006695,74.929,41.699999999999996,37.2,79.0393316650492,135.0,1
E,E01005756,75.498,43.8,34.9,79.03757509341881,136.0,1
E,E01011662,77.034,43.1,31.7,78.94885184421004,137.0,1
E,E01010612,75.825,45.800000000000004,32.9,78.93777181350646,138.0,1
E,E01012266,74.481,47.9,34.599999999999994,78.89201432711803,139.0,1
E,E01012019,73.994,46.9,36.1,78.87096887396572,140.0,1
E,E01032332,76.145,43.8,32.6,78.71151745400606,141.0,1
E,E01006873,75.142,43.5,34.9,78.70646544174986,142.0,1
E,E01009709,75.274,44.4,34.1,78.68579889143714,143.0,1
E,E01010711,75.65,39.0,36.0,78.67188576228065,144.0,1
S,S01010054,78.6208275181664,40.0,29.0,78.6208275181664,145.0,1
S,S01011609,78.60205443770506,40.0,29.0,78.60205443770506,146.0,1
E,E01010819,75.768,46.300000000000004,31.8,78.58921930721935,147.0,1
W,W01001428,73.7,43.0,31.0,78.54726612403635,148.0,1
E,E01033764,74.468,47.0,34.1,78.53703353147961,149.0,1
E,E01022031,73.789,46.9,35.6,78.53197548379549,150.0,1
E,E01012738,77.09,37.9,33.0,78.50739514286424,151.0,1
E,E01006677,73.333,51.9,33.900000000000006,78.48253192908773,152.0,1
E,E01008011,74.795,45.7,33.900000000000006,78.48047286276905,153.0,1
E,E01006560,72.629,45.6,38.6,78.47387806998482,154.0,1
E,E01006817,74.358,41.5,36.9,78.45178849298036,155.0,1
E,E01012076,74.309,49.6,32.800000000000004,78.42217347490147,156.0,1
E,E01027416,73.732,46.9,35.4,78.4157698251389,157.0,1
