IMD Decile distribution,E,N,S,W
1,0.1,0.15,0.1,0.12
2,0.1,0.2,0.09,0.13
3,0.09,0.22,0.09,0.12
4,0.09,0.19,0.08,0.13
5,0.1,0.18,0.09,0.12
6,0.1,0.05,0.1,0.13
7,0.1,0.0,0.1,0.1
8,0.11,0.0,0.1,0.08
9,0.11,0.0,0.11,0.07
10,0.11,0.0,0.16,0.02
