IMD Decile distribution,E,S,W
1,0.1,0.1,0.13
2,0.1,0.09,0.12
3,0.1,0.08,0.12
4,0.1,0.08,0.14
5,0.1,0.1,0.13
6,0.1,0.11,0.12
7,0.1,0.11,0.09
8,0.1,0.1,0.07
9,0.1,0.11,0.07
10,0.11,0.13,0.01
