IMD Decile distribution,E,S,W
1,0.1,0.1,0.12
2,0.1,0.09,0.13
3,0.1,0.09,0.12
4,0.1,0.08,0.13
5,0.1,0.09,0.13
6,0.1,0.1,0.13
7,0.1,0.1,0.09
8,0.1,0.09,0.08
9,0.1,0.11,0.07
10,0.1,0.16,0.01
