IMD Decile distribution,E,N,S,W
1,0.1,0.09,0.1,0.13
2,0.1,0.14,0.08,0.12
3,0.09,0.2,0.08,0.12
4,0.09,0.22,0.08,0.13
5,0.09,0.21,0.09,0.12
6,0.1,0.14,0.11,0.12
7,0.1,0.0,0.12,0.1
8,0.11,0.0,0.1,0.08
9,0.11,0.0,0.11,0.07
10,0.11,0.0,0.13,0.01
