IMD Decile distribution,E,N,S,W
1,0.1,0.12,0.1,0.12
2,0.1,0.16,0.09,0.12
3,0.1,0.23,0.08,0.13
4,0.1,0.22,0.08,0.13
5,0.1,0.2,0.1,0.13
6,0.1,0.06,0.11,0.12
7,0.1,0.0,0.11,0.09
8,0.1,0.0,0.1,0.08
9,0.1,0.0,0.11,0.07
10,0.1,0.0,0.13,0.01
