lsoa,pop
E01011949,"1,954"
E01011950,"1,257"
E01011951,"1,209"
E01011952,"1,740"
E01011953,"2,033"
E01011954,"2,210"
E01011955,"1,361"
E01011957,"1,299"
E01011959,"2,516"
E01011960,"1,303"
E01011961,"1,367"
E01011962,"1,453"
E01011963,"1,318"
E01011964,"1,379"
E01011965,"1,529"
E01011966,"1,303"
E01011967,"1,640"
E01011968,"1,931"
E01011969,"1,293"
E01011970,"1,108"
E01011971,"1,396"
E01011973,"1,227"
E01011974,"1,769"
E01011975,"1,314"
E01011976,967
E01011977,"1,656"
E01011978,"1,561"
E01011979,"1,713"
E01011980,"1,624"
E01011981,"1,712"
E01011982,"1,343"
E01011983,"1,643"
E01011984,"1,164"
E01011985,"1,275"
E01011986,"1,166"
E01011987,"1,397"
E01011988,"1,922"
E01011989,"1,879"
E01011990,"1,811"
E01011991,"1,754"
E01011992,"1,619"
E01011993,"1,801"
E01011994,"1,502"
E01011995,"1,318"
E01011996,"1,433"
E01011997,"1,967"
E01011998,"1,984"
E01011999,"1,972"
E01012000,"1,530"
E01012001,"2,394"
E01012002,"1,373"
E01012003,"1,576"
E01012005,"1,919"
E01032540,986
E01032541,"2,159"
E01033465,"1,915"
E01033466,"2,380"
E01033467,"2,339"
E01012007,"1,398"
E01012008,"1,351"
E01012009,"1,837"
E01012010,"1,406"
E01012011,"1,932"
E01012012,"1,738"
E01012013,"1,375"
E01012014,"1,688"
E01012015,"1,396"
E01012016,"1,723"
E01012017,"1,476"
E01012018,"1,498"
E01012019,"1,252"
E01012020,"1,534"
E01012021,"1,402"
E01012022,"1,876"
E01012023,"1,359"
E01012024,"1,491"
E01012025,"1,202"
E01012026,"1,744"
E01012027,"1,975"
E01012030,"1,511"
E01012031,"1,529"
E01012032,"1,639"
E01012033,"1,220"
E01012034,"1,347"
E01012035,"1,282"
E01012036,"1,809"
E01012037,"1,691"
E01012038,"1,792"
E01012039,"1,676"
E01012040,"1,725"
E01012041,971
E01012042,"1,332"
E01012043,"1,331"
E01012044,"1,551"
E01012045,"1,471"
E01012046,"1,811"
E01012047,"1,579"
E01012048,"1,677"
E01012049,"1,321"
E01012050,"1,521"
E01012051,"1,375"
E01012052,"1,178"
E01012053,"1,636"
E01012054,"1,737"
E01012055,"1,878"
E01012056,"2,635"
E01012057,"1,902"
E01012058,"1,384"
E01012059,"1,684"
E01012060,"1,635"
E01012061,"1,241"
E01012062,"1,517"
E01012063,"1,347"
E01012064,"2,478"
E01012065,"1,845"
E01012066,"1,916"
E01012067,"1,537"
E01012068,"2,726"
E01012071,"1,348"
E01012073,"1,323"
E01012074,"1,507"
E01012075,"1,497"
E01012076,"1,442"
E01012077,"1,426"
E01012078,"1,456"
E01012079,"1,434"
E01012080,"1,247"
E01012081,"1,782"
E01012082,"1,489"
E01012083,"1,598"
E01012084,"1,620"
E01012085,"1,397"
E01012088,"1,534"
E01012089,"1,454"
E01012090,"1,453"
E01012091,"1,719"
E01012092,"2,307"
E01012093,"2,258"
E01012094,"2,963"
E01032552,"1,651"
E01032553,"1,925"
E01032593,"2,219"
E01033468,"2,998"
E01033469,"1,843"
E01012095,"1,322"
E01012096,"1,397"
E01012097,"1,133"
E01012098,"1,566"
E01012099,"1,485"
E01012100,"1,645"
E01012101,"1,507"
E01012102,"2,314"
E01012105,"1,384"
E01012106,"1,333"
E01012107,"1,355"
E01012108,"1,416"
E01012109,"1,397"
E01012110,"1,371"
E01012111,"1,243"
E01012112,"1,540"
E01012113,"1,444"
E01012114,"1,539"
E01012117,"1,878"
E01012118,"1,378"
E01012119,"2,052"
E01012120,"1,284"
E01012121,"1,347"
E01012124,"1,517"
E01012127,"1,189"
E01012128,"1,259"
