lsoa,pop
E01012129,"2,386"
E01012130,"1,213"
E01012131,"1,408"
E01012132,"1,879"
E01012134,"1,429"
E01012136,"1,438"
E01012137,"1,331"
E01012138,"2,826"
E01012139,"1,760"
E01012140,"1,337"
E01012141,978
E01012142,"1,664"
E01012143,"1,475"
E01012144,"1,330"
E01012145,"1,403"
E01012146,"1,186"
E01012147,"1,738"
E01012148,"1,532"
E01012149,"1,198"
E01012150,"1,528"
E01012151,"1,464"
E01012152,"1,596"
E01012154,"1,145"
E01012155,"1,682"
E01012156,"1,614"
E01012157,"1,604"
E01012158,"1,442"
E01012159,"1,522"
E01012160,"1,580"
E01012161,"1,568"
E01012162,"1,340"
E01012163,"2,405"
E01012164,"1,551"
E01012165,"2,439"
E01012167,"1,843"
E01012168,"1,964"
E01012170,"1,365"
E01012171,"1,424"
E01012172,"1,361"
E01012173,"1,106"
E01012174,"1,012"
E01012175,"1,452"
E01012176,"1,361"
E01012177,"1,407"
E01012178,"1,354"
E01012179,"2,030"
E01012180,"1,706"
E01012181,"1,693"
E01012182,"1,362"
E01012183,"1,530"
E01012184,"1,437"
E01012185,"1,404"
E01012186,"1,575"
E01032548,"1,595"
E01032549,"2,192"
E01032560,"1,094"
E01032561,"1,562"
E01032594,"1,428"
E01033470,"1,724"
E01033471,"2,188"
E01033472,"2,452"
E01033473,"2,243"
E01012187,"1,302"
E01012188,"1,147"
E01012189,"1,369"
E01012190,"1,372"
E01012191,"1,583"
E01012192,"1,466"
E01012193,"1,557"
E01012194,"1,462"
E01012195,"1,546"
E01012196,"1,559"
E01012197,"2,062"
E01012198,"1,399"
E01012199,"1,329"
E01012200,"2,085"
E01012201,"2,032"
E01012202,"1,480"
E01012203,"1,859"
E01012204,"1,221"
E01012205,"1,373"
E01012206,"1,422"
E01012207,"1,939"
E01012208,"1,611"
E01012209,"1,622"
E01012210,"1,456"
E01012211,"1,801"
E01012212,"1,434"
E01012213,"1,344"
E01012214,"1,612"
E01012215,"1,290"
E01012216,"1,278"
E01012217,"1,531"
E01012218,"1,482"
E01012219,"1,711"
E01012223,"1,549"
E01012224,"1,691"
E01012225,"1,442"
E01012226,"1,308"
E01012227,"1,453"
E01012228,"1,288"
E01012230,"1,498"
E01012231,"1,943"
E01012232,"1,328"
E01012233,"1,620"
E01012234,"1,557"
E01012235,"1,916"
E01012236,"1,286"
E01012237,"1,287"
E01012238,"1,570"
E01012239,"2,591"
E01012240,"1,722"
E01012241,"1,363"
E01012242,"1,405"
E01012243,"1,512"
E01012244,"1,321"
E01012245,"1,503"
E01012246,"1,360"
E01012247,"1,271"
E01012248,"1,339"
E01012249,"1,575"
E01012250,"1,619"
E01012251,"1,549"
E01012252,"1,532"
E01012253,"1,300"
E01012254,"1,411"
E01012255,"1,347"
E01012256,"1,277"
E01012257,"1,436"
E01012258,"2,390"
E01012259,"1,642"
E01012260,"1,702"
E01012261,"1,421"
E01012262,"2,962"
E01012264,"3,391"
E01012266,"2,566"
E01012267,"1,810"
E01012268,"1,654"
E01012269,"1,649"
E01012270,"1,346"
E01012271,"1,499"
E01012272,"1,022"
E01012273,"1,606"
E01012274,"1,269"
E01012275,"1,545"
E01012276,"1,760"
E01012277,"1,691"
E01012278,"1,272"
E01012279,"1,754"
E01012280,"1,500"
E01012281,"1,254"
E01012282,"1,241"
E01012283,"1,228"
E01012284,"1,537"
E01012285,"1,274"
E01012286,"1,437"
E01012287,"3,048"
E01012288,"1,400"
E01012289,"1,268"
E01012290,"1,662"
E01012291,"1,991"
E01012292,"2,296"
E01012294,"1,264"
E01012295,"1,301"
E01012296,"1,316"
E01012297,"2,422"
E01012298,"1,331"
E01012299,"1,520"
E01012300,"1,503"
E01012301,"1,320"
E01012302,"1,331"
E01012303,"1,870"
E01032542,"1,852"
E01032543,"2,169"
E01032544,"2,086"
E01033474,"2,372"
E01033475,"1,920"
E01033476,"1,741"
E01033477,"3,114"
E01033478,"3,960"
E01033479,"1,852"
E01033480,"2,112"
E01012304,"1,043"
E01012305,"1,175"
E01012306,"1,491"
E01012307,"2,111"
E01012309,"1,933"
E01012310,"2,090"
E01012311,"1,518"
E01012312,"1,409"
E01012313,"1,381"
E01012314,"1,398"
E01012315,"1,652"
E01012316,"2,632"
E01012317,"1,354"
E01012318,"2,432"
E01012319,"2,721"
E01012323,"1,416"
E01012324,"1,307"
E01012325,"1,375"
E01012326,"1,191"
E01012327,"1,534"
E01012328,"1,511"
E01012329,"1,655"
E01012330,"1,021"
E01012331,"1,118"
E01012332,"1,437"
E01012333,"1,443"
E01012334,"2,524"
E01012335,"1,347"
E01012336,"1,620"
E01012337,"1,813"
E01012338,"2,139"
E01012339,"1,795"
E01012340,"2,265"
E01012341,"1,797"
E01012342,"2,522"
E01012343,"2,558"
E01012344,"1,358"
E01012345,"1,482"
E01012346,"2,019"
E01012347,"1,651"
E01012348,"2,135"
E01012349,"1,506"
E01012350,"1,444"
E01012351,"1,382"
E01012352,"1,508"
E01012353,"1,562"
E01012354,"1,551"
E01012355,"1,558"
E01012356,"1,746"
E01012357,"1,417"
E01012358,"1,609"
E01012359,"1,641"
E01012360,"1,716"
E01012361,"1,795"
E01012362,"1,253"
E01012363,"1,196"
E01012364,"1,409"
E01012365,"1,216"
E01012366,"2,056"
E01032545,"1,705"
E01032546,"1,659"
E01033481,"1,707"
E01033482,"1,523"
E01033483,"1,066"
E01033484,"1,205"
E01012367,"1,894"
E01012368,"1,980"
E01012369,"1,685"
E01012370,"1,835"
E01012371,"1,187"
E01012372,"1,108"
E01012373,"1,224"
E01012374,"2,820"
E01012375,"1,576"
E01012376,"2,801"
E01012377,"1,935"
E01012378,"1,520"
E01012379,"1,550"
E01012380,"1,430"
E01012381,"1,728"
E01012382,"1,786"
E01012383,"1,611"
E01012384,"1,578"
E01012385,"1,837"
E01012386,"2,265"
E01012387,"1,094"
E01012388,"1,826"
E01012389,"1,658"
E01012390,"1,593"
E01012391,"2,233"
E01012392,"2,890"
E01012393,"2,902"
E01012394,"1,808"
E01012395,"1,552"
E01012396,"1,481"
E01012397,"1,697"
E01012398,"1,230"
E01012399,"1,452"
E01012400,"1,133"
E01012401,"1,828"
E01012402,"1,571"
E01012403,"1,787"
E01012404,"1,419"
E01012405,"2,050"
E01012406,"1,516"
E01012407,"1,564"
E01012408,"1,998"
E01012409,"1,343"
E01012410,"1,145"
E01012411,"1,297"
E01012412,"1,565"
E01012413,"1,519"
E01012414,"1,132"
E01012415,"1,249"
E01012416,"1,818"
E01012417,"1,243"
E01012418,"1,392"
E01012419,"1,049"
E01012420,"1,521"
E01012421,"1,236"
E01012422,"1,533"
E01012423,"1,319"
E01012424,"1,882"
E01012425,"1,619"
E01012426,"1,329"
E01012427,"1,960"
E01012428,"2,269"
E01012429,"1,397"
E01012430,"1,711"
E01012431,"2,142"
E01012432,"1,358"
E01012433,"1,467"
E01012434,"1,525"
E01012435,"2,065"
E01012436,"1,317"
E01012437,"1,272"
E01012438,"1,166"
E01012439,"1,557"
E01012440,"1,224"
E01012441,"2,435"
E01012442,"1,612"
E01012443,"1,603"
E01012444,"1,258"
E01012445,"1,249"
E01012446,"1,251"
E01012447,"1,358"
E01012448,"1,589"
E01012449,"1,313"
E01012450,"1,378"
E01012451,"1,595"
E01012452,"1,694"
E01012453,"1,860"
E01012454,"2,576"
E01012455,"2,244"
E01012457,"1,659"
E01012458,"2,833"
E01012459,"1,460"
E01012460,"1,364"
E01012461,"1,194"
E01012462,"1,183"
E01012463,"1,055"
E01012464,"1,357"
E01012465,"1,189"
E01012466,"1,459"
E01012467,"1,190"
E01012468,"2,506"
E01012469,"1,535"
E01012470,"1,113"
E01012471,"2,331"
E01012472,"1,849"
E01012473,"1,512"
E01012474,"1,432"
E01012475,"1,495"
E01012476,"1,587"
E01012477,"1,543"
E01012478,"2,071"
E01012479,"1,711"
E01012480,"2,341"
E01012481,"1,553"
E01012482,"1,599"
E01012483,"1,713"
E01012485,"1,488"
E01012486,"1,494"
E01012487,"1,550"
E01012488,"1,828"
E01012489,"1,854"
E01012490,"1,396"
E01012491,"1,336"
E01012492,"1,392"
E01012493,"1,649"
E01012494,"1,650"
E01012495,"1,660"
E01012496,"1,399"
E01012497,"1,228"
E01012498,"1,520"
E01012499,"1,868"
E01012500,"1,350"
E01012501,"1,360"
E01012502,"1,606"
E01012503,"1,432"
E01012504,"2,981"
E01012505,"1,452"
E01012506,"1,615"
E01012507,"1,922"
E01012508,"1,730"
E01012509,"2,280"
E01012510,"2,211"
E01012511,"1,655"
E01012512,"1,492"
E01012513,"2,018"
E01012514,"1,644"
E01012515,"1,570"
E01012516,"1,349"
E01012517,"2,230"
E01012518,"2,479"
E01012519,"1,419"
E01012520,"1,564"
E01012521,"1,532"
E01012522,"1,316"
E01012523,"1,416"
E01012524,"1,392"
E01012525,"1,425"
E01012526,"1,818"
E01012527,"1,426"
E01012528,"1,166"
E01012529,"1,411"
E01012530,"1,332"
E01012531,"1,524"
E01012532,"1,377"
E01012533,"1,574"
E01012534,"1,609"
E01012535,"1,822"
E01012536,"1,441"
E01012537,"1,544"
E01012538,"1,343"
E01012539,"1,529"
E01012540,"1,280"
E01012541,"1,241"
E01012542,"1,352"
E01012543,"1,425"
E01012544,"1,372"
E01012545,"1,754"
E01012546,"1,663"
E01012547,"1,666"
E01012548,"1,742"
E01012549,"1,622"
E01012550,"1,653"
E01012551,"1,526"
E01012552,"1,390"
E01012553,"1,209"
E01012554,"2,012"
E01012555,"1,349"
E01012556,"1,438"
E01012557,"1,468"
E01012558,"1,730"
E01012559,"1,515"
E01012560,"1,444"
E01012561,"1,471"
E01012562,"2,185"
E01012563,"1,647"
E01012564,"1,335"
E01012565,"2,965"
E01012566,"2,280"
E01012567,"2,134"
E01012568,"4,482"
E01012569,"1,797"
E01012570,"1,141"
E01033299,"2,825"
E01033300,"1,500"
E01033302,"1,803"
E01033303,"1,238"
E01012571,"1,801"
E01012572,"1,519"
E01012573,"1,681"
E01012574,"1,416"
E01012575,"1,283"
E01012576,"1,928"
E01012577,"2,021"
E01012578,"1,921"
E01012579,"1,628"
E01012580,"2,053"
E01012581,"1,246"
E01012582,"1,650"
E01012583,"1,691"
E01012584,"1,668"
E01012585,"1,630"
E01012586,"1,617"
E01012587,"2,142"
E01012588,"2,162"
E01012589,"1,302"
E01012590,"1,334"
E01012591,"1,464"
E01012592,"1,870"
E01012593,"1,667"
E01012594,"1,473"
E01012595,"2,366"
E01012596,"1,903"
E01012597,"1,697"
E01012598,"3,000"
E01012599,"1,323"
E01012600,"1,398"
E01012601,"1,529"
E01012602,"1,554"
E01012603,"1,649"
E01012604,"1,595"
E01012605,"2,308"
E01012606,"1,595"
E01012607,"1,467"
E01012608,"2,348"
E01012609,"1,501"
E01012610,"1,204"
E01012611,"1,018"
E01012612,"1,344"
E01012613,"1,485"
E01012614,"1,572"
E01012615,"1,407"
E01012616,"1,635"
E01012617,"1,264"
E01012618,"1,492"
E01012619,"1,409"
E01012620,"1,352"
E01012621,"1,395"
E01012622,"1,615"
E01012623,"1,459"
E01012624,"1,372"
E01012625,"1,748"
E01012628,"1,187"
E01012629,"1,258"
E01012630,"2,330"
E01012631,"1,404"
E01012632,"2,010"
E01012633,"1,581"
E01012634,"1,420"
E01012635,"1,819"
E01012636,"1,642"
E01012637,"1,661"
E01012638,"1,627"
E01012639,"1,867"
E01012640,"1,811"
E01012641,"1,820"
E01012642,"1,811"
E01012643,"1,678"
E01012644,"2,473"
E01012645,"1,998"
E01012646,"1,559"
E01012647,"1,599"
E01012648,"1,119"
E01012649,"1,476"
E01012650,"1,290"
E01012651,"1,670"
E01012652,"1,457"
E01012653,"1,473"
E01012654,"1,734"
E01012655,"2,091"
E01012656,"1,786"
E01012657,"2,168"
E01012658,"1,796"
E01012659,"1,381"
E01012660,"1,026"
E01012661,"1,387"
E01032485,"1,825"
E01032486,"1,291"
E01012662,"1,393"
E01012663,"1,562"
E01012664,"1,639"
E01012665,"1,681"
E01012666,"1,384"
E01012667,"1,521"
E01012668,"1,570"
E01012669,"1,867"
E01012670,"1,362"
E01012671,"1,430"
E01012672,"1,463"
E01012673,"1,406"
E01012674,"1,760"
E01012675,"1,613"
E01012676,"1,396"
E01012677,"1,362"
E01012678,"1,177"
E01012679,"1,460"
E01012680,"1,381"
E01012681,"1,525"
E01012682,"1,424"
E01012683,"1,384"
E01012684,"1,435"
E01012685,"1,464"
E01012686,"1,427"
E01012687,"1,420"
E01012688,"1,099"
E01012689,"1,245"
E01012690,"1,605"
E01012691,"1,966"
E01012692,"1,665"
E01012693,"1,527"
E01012694,"1,274"
E01012695,"1,281"
E01012696,"1,495"
E01012697,"1,354"
E01012698,"1,593"
E01012699,"1,707"
E01012700,"1,754"
E01012701,"1,551"
E01012702,"1,426"
E01012703,"1,514"
E01012704,"1,953"
E01012705,"1,592"
E01012706,"1,505"
E01012707,"1,189"
E01012708,"1,248"
E01012709,"1,577"
E01012710,"1,233"
E01012711,"1,384"
E01012712,"1,607"
E01012713,"1,857"
E01012714,"1,613"
E01012715,"1,473"
E01012716,"1,402"
E01012717,"1,589"
E01012718,"1,601"
E01012719,"1,427"
E01012720,"1,702"
E01012721,"1,769"
E01012722,"1,272"
E01012723,"1,461"
E01012724,"1,450"
E01012725,"1,439"
E01012726,"1,673"
E01012727,"1,551"
E01012728,"1,499"
E01012729,"1,551"
E01012730,"1,848"
E01012731,"1,470"
E01012732,"1,663"
E01012733,"1,073"
E01012734,"1,386"
E01012735,"1,274"
E01012736,"1,261"
E01012737,"1,565"
E01012738,"1,311"
E01012739,"1,408"
E01012740,"1,421"
E01012741,"1,306"
E01012742,"1,046"
E01012743,"1,678"
E01012744,"1,605"
E01012745,"1,608"
E01012746,"1,765"
E01012747,"1,463"
E01012748,"1,488"
E01012749,"1,601"
E01012750,"1,672"
E01012751,"1,394"
E01012752,"1,262"
E01012753,"1,126"
E01012754,"1,195"
E01012755,"1,378"
E01012756,"1,465"
E01012757,"1,467"
E01012758,"1,459"
E01012759,"1,596"
E01012760,"1,542"
E01012761,"1,919"
E01012762,"1,465"
E01012763,"1,922"
E01012764,"1,114"
E01012765,"1,352"
E01012766,"1,350"
E01012767,"1,638"
E01012768,"1,258"
E01012769,"1,229"
E01012770,"1,470"
E01012771,"1,417"
E01012772,"1,529"
E01012773,"1,539"
E01012774,"1,477"
E01012775,"1,504"
E01012776,"1,331"
E01012777,"1,518"
E01012778,"1,453"
E01012779,"1,323"
E01012780,"1,863"
E01012781,"1,239"
E01012782,"1,418"
E01012783,"1,211"
E01012784,"2,060"
E01012785,"1,273"
E01012786,"1,135"
E01012787,"1,445"
E01012788,"1,436"
E01012789,"1,300"
E01012790,"1,239"
E01012791,"1,550"
E01012792,"1,442"
E01012793,"1,320"
E01012794,"1,544"
E01012795,"2,028"
E01012796,"1,255"
E01012797,"1,291"
E01012798,"1,601"
E01012799,"1,185"
E01012800,"1,365"
E01012801,"1,403"
E01012802,"1,276"
E01012803,"1,388"
E01012804,"1,563"
E01012805,"1,411"
E01012806,"1,474"
E01012807,"1,316"
E01012808,"1,666"
E01012809,"1,853"
E01012810,"1,804"
E01012811,"1,619"
E01012812,"1,342"
E01012813,"1,547"
E01012814,"1,419"
E01012815,"1,516"
E01012816,"1,402"
E01012817,"1,391"
E01012818,"1,195"
E01012819,"1,355"
E01012820,"1,317"
E01012821,"1,576"
E01012822,"1,433"
E01012823,777
E01012824,"1,971"
E01012825,"1,376"
E01012826,"1,496"
E01012827,"1,545"
E01012828,"1,421"
E01012829,"1,792"
E01012830,"1,349"
E01012832,"1,593"
E01012833,"1,516"
E01012834,"1,670"
E01012835,990
E01012836,"1,404"
E01012837,"1,655"
E01012838,"1,558"
E01012839,"1,265"
E01012840,"1,534"
E01012841,"1,567"
E01012842,"1,601"
E01012843,"1,512"
E01012844,"1,309"
E01012845,"1,545"
E01012846,"1,360"
E01012847,"1,347"
E01012848,"2,166"
E01012849,"1,575"
E01012850,"1,944"
E01012851,"2,492"
E01012852,"1,792"
E01012854,"2,231"
E01012855,"1,850"
E01012856,"1,744"
E01012857,"1,759"
E01012858,"1,900"
E01012859,"1,495"
E01012860,"2,496"
E01012862,"1,250"
E01012863,"2,131"
E01012864,"1,814"
E01012865,"1,214"
E01012866,"1,581"
E01012867,"1,968"
E01012868,"1,707"
E01012869,"1,811"
E01012870,"1,689"
E01012871,"1,788"
E01012872,"1,797"
E01012873,"1,504"
E01012874,"1,578"
E01012875,"1,616"
E01012876,"1,770"
E01012877,"1,617"
E01012878,"1,692"
E01012879,"1,402"
E01012880,"1,666"
E01012881,"1,544"
E01012882,"1,506"
E01012883,"1,432"
E01012884,"1,742"
E01012886,"1,470"
E01012887,"1,445"
E01012888,"1,522"
E01012889,"1,521"
E01012891,"2,320"
E01012892,"2,072"
E01012893,"1,560"
E01012894,"1,858"
E01012895,"1,597"
E01012896,"2,011"
E01012897,679
E01012898,"1,697"
E01012899,"1,468"
E01012900,"1,671"
E01012901,"1,382"
E01012902,"1,380"
E01012903,"1,561"
E01012904,"1,324"
E01012905,"1,247"
E01012906,"1,644"
E01012907,"1,357"
E01012908,"1,103"
E01012909,"1,166"
E01012910,"1,152"
E01012911,"1,076"
E01012912,"1,636"
E01012913,"2,152"
E01012914,"2,486"
E01012915,"1,382"
E01012916,"1,492"
E01012917,"1,633"
E01012918,"1,557"
E01032595,"1,704"
E01033104,"1,714"
E01033105,"1,456"
E01033106,"2,655"
E01033107,"1,527"
E01033108,"3,292"
E01033109,"1,505"
E01033110,"2,085"
E01012919,"1,315"
E01012920,"1,472"
E01012921,"1,154"
E01012922,"1,524"
E01012923,"1,580"
E01012924,"1,679"
E01012925,"1,263"
E01012926,"2,468"
E01012927,"1,540"
E01012928,"1,749"
E01012929,"1,911"
E01012930,"1,405"
E01012931,"1,552"
E01012932,"1,835"
E01012933,"1,062"
E01012934,"1,575"
E01012935,"1,295"
E01012936,"1,317"
E01012937,"2,093"
E01012938,"2,406"
E01012939,"1,865"
E01012940,"1,676"
E01012941,"1,360"
E01012942,"1,147"
E01012943,"1,741"
E01012944,"1,527"
E01012945,"1,500"
E01012946,"1,692"
E01012947,"1,463"
E01012948,"1,325"
E01012949,"1,317"
E01012950,"1,380"
E01012951,"1,218"
E01012952,"1,421"
E01012953,"1,241"
E01012954,"1,187"
E01012955,"1,572"
E01012956,"1,202"
E01012957,"1,878"
E01012958,993
E01012959,"1,471"
E01012960,"1,722"
E01012961,"1,832"
E01012962,"1,198"
E01012963,"1,566"
E01012964,"1,681"
E01012965,945
E01012966,"1,206"
E01012967,"1,536"
E01012968,"1,654"
E01012969,"1,724"
E01012970,"1,714"
E01012972,"1,600"
E01012973,"2,746"
E01012974,"1,554"
E01012975,"1,463"
E01012976,"1,409"
E01012977,"2,711"
E01012978,"1,554"
E01012979,"1,599"
E01012980,"1,816"
E01012981,"1,373"
E01012982,"1,557"
E01012983,"1,676"
E01012984,"1,865"
E01012985,"1,663"
E01012986,"1,606"
E01012987,"1,699"
E01012988,"1,612"
E01012989,"1,792"
E01012990,"1,395"
E01012991,"1,527"
E01012992,"1,366"
E01012993,"1,458"
E01012994,"1,875"
E01012995,"2,056"
E01012996,"1,761"
E01012997,"2,024"
E01012998,"2,310"
E01012999,"1,984"
E01013000,"2,193"
E01013001,"1,824"
E01013002,"1,842"
E01013003,"1,455"
E01013004,"1,792"
E01013005,"1,670"
E01013006,"1,525"
E01013007,"1,490"
E01013008,"1,382"
E01013009,"1,623"
E01013010,"1,441"
E01013011,"1,543"
E01013012,"1,632"
E01013013,"1,442"
E01013014,"1,434"
E01013015,"1,747"
E01013016,"1,748"
E01013017,"1,676"
E01013018,"2,019"
E01013019,"1,379"
E01013020,"1,854"
E01013021,"1,410"
E01013022,"1,860"
E01013023,"1,738"
E01013024,"1,841"
E01013025,"1,447"
E01013026,"1,665"
E01013027,"1,654"
E01013028,"1,472"
E01013029,"1,449"
E01013030,"1,383"
E01013031,"1,453"
E01013032,"1,368"
E01013033,"1,599"
E01013034,"1,877"
E01013035,"1,474"
E01013036,"1,467"
E01013037,"1,389"
E01013038,"1,425"
E01013039,"1,703"
E01013040,"2,289"
E01013041,"1,762"
E01013042,"1,654"
E01013043,"1,311"
E01013044,"1,827"
E01013045,"1,676"
E01013046,"1,669"
E01013047,"1,590"
E01013048,"2,239"
E01013049,"1,690"
E01013050,"1,726"
E01013051,"1,630"
E01013052,"2,478"
E01013053,"1,472"
E01013054,"2,136"
E01013055,"1,468"
E01013056,"1,694"
E01013057,"1,653"
E01013058,"1,368"
E01013059,"1,681"
E01013060,"1,909"
E01013061,"1,617"
E01013062,"1,627"
E01013063,"1,526"
E01013064,"1,400"
E01013065,"1,617"
E01013066,"1,616"
E01013067,"1,488"
E01013068,"2,125"
E01013069,"1,539"
E01013070,"1,488"
E01013071,"1,672"
E01013072,"1,758"
E01013073,"1,725"
E01013074,"1,554"
E01013075,"1,287"
E01013076,"1,432"
E01013077,"1,939"
E01013078,"1,380"
E01013079,"1,504"
E01013080,"1,342"
E01013081,"1,584"
E01013082,"1,748"
E01013083,"1,560"
E01013084,"1,420"
E01013085,"1,639"
E01013086,"1,495"
E01013087,"1,378"
E01013088,"1,628"
E01013089,"1,744"
E01013090,"1,396"
E01013091,"1,549"
E01013092,"2,519"
E01013093,"1,642"
E01013094,"1,400"
E01013095,"1,543"
E01013096,"1,870"
E01013097,"1,367"
E01013098,"2,239"
E01013099,"1,406"
E01013100,"1,588"
E01013101,"1,729"
E01013102,"1,430"
E01013103,"1,351"
E01013104,"1,098"
E01013105,"1,477"
E01013106,"1,279"
E01013107,"2,075"
E01013108,"1,506"
E01013110,"1,574"
E01013111,"1,428"
E01013112,"1,452"
E01013113,"1,518"
E01013114,"1,461"
E01013115,"1,435"
E01013116,"1,685"
E01013117,"1,533"
E01013118,"1,460"
E01013119,"1,508"
E01013120,"2,049"
E01013121,"2,010"
E01013122,"1,415"
E01013123,"2,085"
E01013124,"2,361"
E01013125,"1,795"
E01013126,"2,219"
E01013127,"1,570"
E01032596,"1,442"
E01033495,"1,768"
E01033496,"1,602"
E01013128,"1,291"
E01013129,"1,472"
E01013130,"1,375"
E01013131,"1,540"
E01013132,"1,424"
E01013133,"1,418"
E01013134,"1,446"
E01013135,"1,542"
E01013136,"1,447"
E01013137,820
E01013138,"1,412"
E01013139,"1,518"
E01013140,"1,498"
E01013141,"1,744"
E01013142,"1,731"
E01013143,"1,410"
E01013144,"1,505"
E01013145,"1,245"
E01013146,"1,752"
E01013147,"1,362"
E01013148,"1,301"
E01013149,"1,052"
E01013150,"1,235"
E01013151,"1,214"
E01013152,"1,564"
E01013153,"1,284"
E01013154,"1,301"
E01013155,"1,342"
E01013156,"1,323"
E01013157,"1,723"
E01013158,"1,254"
E01013159,"1,554"
E01013160,"1,392"
E01013161,"1,466"
E01013162,"1,622"
E01013163,"1,253"
E01013164,"2,014"
E01013165,"1,352"
E01013166,"1,446"
E01013167,"1,758"
E01013168,"2,290"
E01013169,"1,006"
E01013170,"1,391"
E01013171,"1,843"
E01013172,"1,471"
E01013173,"1,346"
E01013174,"1,591"
E01013175,"1,708"
E01013176,"1,382"
E01013177,"1,380"
E01013178,"1,424"
E01013179,"1,507"
E01013180,"1,496"
E01013181,"1,560"
E01013182,"1,442"
E01013183,"1,461"
E01013184,"1,473"
E01013185,"1,476"
E01013186,"1,595"
E01013187,"1,368"
E01013188,"1,516"
E01013189,"1,571"
E01013190,"3,760"
E01013191,"1,479"
E01013192,"1,490"
E01013193,"1,552"
E01013194,"1,463"
E01013195,"1,438"
E01013196,"1,334"
E01013197,"1,241"
E01013198,"1,411"
E01013199,"1,168"
E01013200,"1,175"
E01013201,"1,546"
E01013202,"1,573"
E01013203,"1,658"
E01013204,"1,414"
E01013205,"1,401"
E01013206,"1,366"
E01013207,"1,311"
E01013208,"1,514"
E01013209,"1,437"
E01013210,"1,468"
E01013211,"1,457"
E01013212,"1,410"
E01013213,"1,174"
E01013214,"1,361"
E01013215,"1,586"
E01013216,"1,217"
E01013217,"1,404"
