nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
N,95GG35S2,68.03145551017063,18.8,59.4,128.81086921571065,1,1,1.0,1,1
N,95GG47S2,71.3357266598529,21.0,57.0,128.4647637405281,1,1,2.0,1,1
N,95ZZ06W1,75.19204448526636,25.8,53.0,126.63002275347904,1,1,3.0,1,1
N,95MM27S1,69.4573523850757,23.2,51.9,120.94759015092336,1,1,4.0,1,1
N,95MM12S2,71.31017101003705,22.0,50.7,120.92745648142268,1,1,5.0,1,1
N,95MM28W1,68.35392809625684,23.0,51.5,119.62946583322575,1,1,6.0,1,1
N,95RR10W1,66.14427713958729,20.4,51.7,118.18438879435077,1,1,7.0,1,1
N,95GG02S2,70.80777998789061,24.6,48.4,117.80003199161617,1,1,8.0,1,1
N,95GG02S3,67.66563031406604,18.6,49.4,116.59904310201252,1,1,9.0,1,1
N,95MM25S1,62.840924741171385,18.7,51.3,115.1899347807255,1,1,10.0,1,1
N,95MM05W1,64.9777482788176,21.5,49.4,114.55089595793937,1,1,11.0,1,1
N,95MM10S1,66.50126331917342,21.4,48.2,114.27983528066898,1,1,12.0,1,1
N,95GG48S2,61.41550847483902,14.4,51.3,114.10377764409573,1,1,13.0,1,1
N,95SS06S2,62.7934169291008,16.8,49.9,113.48310437776728,1,1,14.0,1,1
N,95GG35S1,60.67320844659937,15.0,50.9,113.06082746472019,1,1,15.0,1,1
N,95GG47S1,63.87320556774916,17.9,47.7,111.68062032394158,1,1,16.0,1,1
N,95GG02S1,63.85081941072444,20.6,47.6,111.54423153129777,1,1,17.0,1,1
N,95GG40S2,63.327878052603126,17.2,47.4,110.90709250858215,1,1,18.0,1,1
N,95MM13S2,62.385524303145296,19.9,47.1,109.83103350425536,1,1,19.0,1,1
N,95GG51S2,65.0456365177195,20.6,45.3,109.71006765970793,1,1,20.0,1,1
N,95MM11W1,58.40033442361173,19.0,49.2,109.30029161525971,1,1,21.0,1,1
N,95GG51S1,68.0669498644099,24.7,42.9,109.14835033531065,1,1,22.0,1,1
N,95GG19S1,60.964303531100654,20.3,46.7,108.27075050884062,1,1,23.0,1,1
N,95GG48S3,56.47710421319682,14.1,48.0,106.40283537853492,1,1,24.0,1,1
N,95GG51S3,63.61977882222149,22.3,43.3,106.23696017803336,1,1,25.0,1,1
N,95RR03W1,57.57368929928405,18.9,47.0,106.04511848661636,1,1,26.0,1,1
N,95SS06S3,60.4405709951999,17.1,44.4,105.1270639361477,1,1,27.0,1,1
N,95GG21S3,59.02196656280781,17.9,44.9,104.64275086369724,1,1,28.0,1,1
N,95SS29S2,55.95244338644771,18.8,46.6,104.3324177453769,1,1,29.0,1,1
N,95MM25S2,60.33400162180373,21.6,43.3,103.73322113709204,1,1,30.0,1,1
N,95GG21S2,58.91808981722954,15.2,44.1,103.60895192490888,1,1,31.0,1,1
N,95JJ03S1,58.73536888800195,25.6,43.9,103.2310584682769,1,1,32.0,1,1
N,95GG35S3,58.52464354989597,16.3,44.0,103.1898179465604,1,1,33.0,1,1
N,95GG19S2,62.54778692944572,20.5,41.3,103.03349594101245,1,1,34.0,1,1
N,95LL26S1,64.25391282690599,24.4,40.1,102.90158344827935,1,1,35.0,1,1
N,95GG40S1,59.84934610772849,19.3,42.9,102.88659425946557,1,1,36.0,1,1
N,95MM08S1,52.91735436410811,19.7,46.8,102.25836272508721,1,1,37.0,1,1
E,E01021988,92.735,56.89999999999999,53.400000000000006,101.94655133707498,1,1,38.0,1,1
N,95GG46S3,51.57897522783556,12.8,47.1,101.59651936426404,1,1,39.0,1,1
N,95GG21S1,53.37436681821105,15.6,45.4,100.93597320485352,1,1,40.0,1,1
N,95ZZ02W1,54.43601762237555,20.7,44.6,100.79029803453386,1,1,41.0,1,1
N,95SS26S1,54.16296584679677,16.2,44.5,100.46290380935018,1,1,42.0,1,1
N,95MM30W1,52.43238045131712,19.7,45.0,99.74086344449124,1,1,43.0,1,1
N,95MM14S2,54.41222568277594,20.8,41.9,97.55023987261163,1,1,44.0,1,1
N,95SS29S1,53.15256266049454,17.7,42.7,97.54503112998076,1,1,45.0,1,1
N,95MM06S2,48.82798060176938,17.8,44.5,96.3976826984597,1,1,46.0,1,1
N,95GG18S1,51.32767750769094,18.5,42.5,95.9158201227609,1,1,47.0,1,1
N,95GG18S2,50.11524125349258,14.5,42.8,95.34994434937418,1,1,48.0,1,1
N,95YY15S1,51.66613903686483,21.3,41.7,95.21907982801534,1,1,49.0,1,1
E,E01012673,88.774,60.9,45.9,95.08444811941197,1,1,50.0,1,1
E,E01012681,88.408,49.9,46.400000000000006,95.02419318033566,1,1,51.0,1,1
N,95YY15S2,52.01798090018491,18.8,41.3,95.0098580492992,1,1,52.0,1,1
N,95GG47S3,50.11109871082154,16.8,42.1,94.5114728683929,1,1,53.0,1,1
E,E01012751,88.023,54.900000000000006,45.1,94.08256605957354,1,1,54.0,1,1
N,95GG04S3,53.68024327165446,18.2,39.3,93.8898762676258,1,1,55.0,1,1
N,95MM25S3,51.30440551317715,20.1,40.5,93.51147304802254,1,1,56.0,1,1
N,95PP09W1,52.93813464100797,20.6,39.4,93.44372542664955,1,1,57.0,1,1
N,95SS06S1,47.99761963785655,13.5,42.5,93.37833952418649,1,1,58.0,1,1
N,95GG46S1,44.29113408303969,11.7,44.4,92.8213069660606,1,1,59.0,1,1
E,E01022025,83.878,46.300000000000004,49.2,92.64861018510305,1,1,60.0,1,1
E,E01012737,87.371,50.2,42.199999999999996,92.15197962499666,1,1,61.0,1,1
N,95GG46S2,44.76252353597599,11.1,43.5,92.10652611227188,1,1,62.0,1,1
N,95GG07S2,47.740666224690735,15.8,41.4,91.86990514799716,1,1,63.0,1,1
E,E01012672,88.139,47.4,39.6,91.53250659109668,1,1,64.0,1,1
N,95LL14S1,44.24431336678206,13.4,43.2,91.35366152317698,1,1,65.0,1,1
E,E01012671,88.026,46.9,39.4,91.34345847228137,1,1,66.0,1,1
E,E01012683,84.357,52.0,44.5,90.7816115095217,1,1,67.0,1,1
N,95LL12S2,50.90721060297204,17.2,38.4,90.70286865112242,1,1,68.0,1,1
N,95MM24W1,43.47188681540372,16.1,43.1,90.64574724262505,1,1,69.0,1,1
E,E01012682,86.803,53.900000000000006,39.800000000000004,90.53090518465353,1,1,70.0,1,1
E,E01012670,87.112,54.300000000000004,39.2,90.49622521217408,1,1,71.0,1,1
N,95LL09S1,50.22471006434207,17.5,37.7,89.34749316398965,1,1,72.0,1,1
N,95MM10S2,47.23622112555935,19.0,39.5,89.2182382618496,1,1,73.0,1,1
S,S01010891,89.20058602807558,48.0,44.0,89.20058602807558,1,1,74.0,1,1
N,95MM23W1,47.51904808967303,19.2,39.0,88.83709691797856,1,1,75.0,1,1
S,S01010245,88.56904062035917,51.0,42.0,88.56904062035917,1,1,76.0,1,1
E,E01006558,83.903,46.2,40.1,88.29225602555367,1,1,77.0,1,1
S,S01011598,88.10305197070684,45.0,44.0,88.10305197070684,1,1,78.0,1,1
W,W01000240,86.6,61.0,43.0,88.07456818703747,1,1,79.0,1,1
N,95GG20S2,50.66650761366025,19.7,36.3,88.01350999367253,1,1,80.0,1,1
N,95GG04S2,44.74787974162832,12.5,40.0,87.9187931808244,1,1,81.0,1,1
E,E01007122,82.666,54.900000000000006,41.4,87.90107877780697,1,1,82.0,1,1
S,S01012068,87.51609178279996,50.0,39.0,87.51609178279996,1,1,83.0,1,1
N,95GG31S3,44.96413513500166,15.7,39.4,87.36759407084845,1,1,84.0,1,1
E,E01008978,78.083,55.800000000000004,47.699999999999996,87.16536728831784,1,1,85.0,1,1
E,E01006547,84.368,45.5,36.8,87.08712222320266,1,1,86.0,1,1
E,E01012674,83.919,46.1,37.4,87.00676359420788,1,1,87.0,1,1
E,E01005482,79.3,51.2,44.9,86.81864395009201,1,1,88.0,1,1
N,95GG28S3,48.74283929964842,19.0,36.5,86.78634971049316,1,1,89.0,1,1
E,E01012655,78.945,53.5,45.0,86.575036691595,1,1,90.0,1,1
N,95SS16S2,40.43942772299307,12.1,41.5,86.42574362916143,2,1,91.0,1,1
E,E01006874,81.0,51.300000000000004,41.099999999999994,86.3878261202539,1,1,92.0,1,1
S,S01010122,86.2874653157124,46.0,37.0,86.2874653157124,1,1,93.0,1,1
E,E01007007,77.125,51.0,47.4,86.23388127250595,1,1,94.0,1,1
E,E01007133,75.014,58.099999999999994,50.8,86.13458756990816,1,1,95.0,1,1
S,S01007465,86.05619961362788,47.0,35.0,86.05619961362788,1,1,96.0,1,1
E,E01006611,82.675,51.0,37.3,85.93646568300973,1,1,97.0,1,1
E,E01024858,83.799,47.599999999999994,35.3,85.89810597859187,1,1,98.0,1,1
N,95GG20S1,51.6122200934885,19.6,33.7,85.63153805709457,1,1,99.0,1,1
E,E01012721,77.561,51.7,44.5,85.19730911224325,1,1,100.0,1,1
E,E01012897,82.194,49.7,36.4,85.1083460164875,1,1,101.0,1,1
E,E01012041,77.591,57.8,44.2,85.07766694112107,1,1,102.0,1,1
E,E01013139,81.738,49.5,37.1,85.07033322408883,1,1,103.0,1,1
E,E01030258,81.147,43.9,38.1,85.06568365170666,1,1,104.0,1,1
E,E01007127,81.054,50.4,38.2,85.03736291882576,1,1,105.0,1,1
S,S01009622,84.98470540365814,52.0,41.0,84.98470540365814,1,1,106.0,1,1
N,95GG39S3,47.71345975248646,17.0,35.6,84.9279934686645,1,1,107.0,1,1
E,E01012675,82.236,51.0,35.699999999999996,84.80617323024087,1,1,108.0,1,1
E,E01012090,78.009,51.4,42.9,84.7958683702434,1,1,109.0,1,1
S,S01010644,84.77049346708729,46.0,35.0,84.77049346708729,1,1,110.0,1,1
E,E01012679,82.897,48.699999999999996,34.300000000000004,84.67595103668081,1,1,111.0,1,1
E,E01008427,79.298,49.4,40.400000000000006,84.65260104135669,1,1,112.0,1,1
E,E01026383,81.3,45.300000000000004,36.7,84.51803567565433,1,1,113.0,1,1
E,E01012736,80.117,42.4,38.7,84.50791482659376,1,1,114.0,1,1
E,E01013136,77.552,50.3,43.0,84.46844727352945,1,1,115.0,1,1
S,S01012067,84.46136597850825,48.0,35.0,84.46136597850825,1,1,116.0,1,1
E,E01013138,81.548,47.599999999999994,35.8,84.28893844109443,1,1,117.0,1,1
N,95CC03W1,48.70830007416728,20.2,34.2,84.01542498839352,1,1,118.0,1,1
E,E01012622,79.94,48.1,37.9,83.97769103279971,1,1,119.0,1,1
N,95BB22S2,46.599019809219016,19.9,35.5,83.95946739687831,1,1,120.0,1,1
E,E01005918,77.101,47.8,42.4,83.80927203590404,1,1,121.0,1,1
S,S01007801,83.72270864723092,46.0,31.0,83.72270864723092,1,1,122.0,1,1
N,95MM13S3,37.34432232432016,13.1,41.2,83.70930305882179,2,1,123.0,1,1
S,S01008787,83.70380944486544,43.0,40.0,83.70380944486544,1,1,124.0,1,1
S,S01010323,83.64592133396968,59.0,43.0,83.64592133396968,1,1,125.0,1,1
E,E01012948,78.1,44.4,40.2,83.57200376111595,1,1,126.0,1,1
N,95VV09W1,49.47585089866951,25.7,33.1,83.28765561198966,1,1,127.0,1,1
N,95GG48S1,45.805343469378585,16.9,35.4,83.2353609274654,1,1,128.0,1,1
E,E01025584,75.224,41.5,44.4,83.2288884052497,1,1,129.0,1,1
S,S01012492,83.21439319040907,42.0,35.0,83.21439319040907,1,1,130.0,1,1
N,95VV15S1,46.68529895576916,19.2,34.8,83.18989660503144,1,1,131.0,1,1
E,E01024908,82.749,44.0,31.4,83.15950356741122,1,1,132.0,1,1
S,S01010326,83.10562442220164,45.0,32.0,83.10562442220164,1,1,133.0,1,1
E,E01030247,76.806,48.6,41.199999999999996,82.98969606847379,1,1,134.0,1,1
S,S01009975,82.86943737512416,46.0,34.0,82.86943737512416,1,1,135.0,1,1
S,S01010862,82.83404281166146,43.0,35.0,82.83404281166146,1,1,136.0,1,1
S,S01010114,82.82911321180518,44.0,33.0,82.82911321180518,1,1,137.0,1,1
E,E01005350,75.624,53.2,42.8,82.78800585703011,1,1,138.0,1,1
E,E01028276,78.837,45.5,37.3,82.78276459402286,1,1,139.0,1,1
E,E01004960,77.703,54.50000000000001,39.2,82.76480948880842,1,1,140.0,1,1
E,E01012855,78.371,46.300000000000004,38.0,82.73653475866173,1,1,141.0,1,1
N,95VV02W1,42.24460013094736,14.7,37.2,82.6700522108524,2,1,142.0,1,1
S,S01010207,82.57476322088229,49.0,40.0,82.57476322088229,1,1,143.0,1,1
E,E01006563,78.172,49.1,38.0,82.57301560370907,1,1,144.0,1,1
E,E01005682,75.302,46.9,42.9,82.5715148403092,1,1,145.0,1,1
E,E01007128,75.862,49.8,41.9,82.55069157950777,1,1,146.0,1,1
E,E01026625,78.389,47.699999999999996,37.4,82.46273883597512,1,1,147.0,1,1
S,S01010893,82.41852292460021,49.0,42.0,82.41852292460021,1,1,148.0,1,1
N,95GG27S4,39.1987145375342,12.2,38.9,82.37773076394124,2,1,149.0,1,1
N,95MM01S1,41.39625461397144,15.7,37.4,82.26228031110045,2,1,150.0,1,1
E,E01006760,79.006,38.800000000000004,35.9,82.24826388671043,1,1,151.0,1,1
S,S01012489,82.17423540456834,45.0,35.0,82.17423540456834,1,1,152.0,1,1
N,95NN17W1,42.5963536901841,17.3,36.5,82.10277104817754,1,1,153.0,1,1
E,E01006540,79.58,44.6,34.599999999999994,82.0946511860469,1,1,154.0,1,1
E,E01007005,77.512,44.5,37.7,81.8863974681781,1,1,155.0,1,1
S,S01010362,81.86761686542933,45.0,44.0,81.86761686542933,1,1,156.0,1,1
N,95GG17S1,42.03211593385155,16.3,36.6,81.79215655829945,2,1,157.0,1,1
E,E01007293,74.283,52.0,43.0,81.78229592910577,1,1,158.0,1,1
E,E01004823,76.792,47.5,38.7,81.77574804158039,1,1,159.0,1,1
N,95DD04W1,43.581596637710106,16.5,35.5,81.66021223235066,1,1,160.0,1,1
E,E01007129,75.76,43.1,40.1,81.6011179412337,1,1,161.0,1,1
E,E01012889,78.298,46.5,35.699999999999996,81.57030171162955,1,1,162.0,1,1
E,E01012058,77.977,48.9,36.1,81.4989256992144,1,1,163.0,1,1
N,95WW14W1,43.95934969632407,17.2,35.1,81.47073460160856,1,1,164.0,1,1
N,95VV10S2,45.67017277400518,17.5,34.0,81.4617320260153,1,1,165.0,1,1
E,E01025117,79.13,42.3,34.0,81.43629765271778,1,1,166.0,1,1
E,E01006413,75.149,46.2,40.6,81.33954544957743,1,1,167.0,1,1
E,E01007274,76.106,49.3,38.9,81.30825442769623,1,1,168.0,1,1
E,E01012114,76.969,50.0,37.4,81.29591873530775,1,1,169.0,1,1
N,95GG32S2,42.78725400392207,17.3,35.7,81.29359014852162,1,1,170.0,1,1
N,95GG26S1,42.9197798283458,13.8,35.5,81.15591249366297,1,1,171.0,1,1
