nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
S,S01007963,81.08993564348918,46.0,30.0,81.08993564348918,1,1,172.0,1,1
S,S01011240,81.04317462260033,46.0,43.0,81.04317462260033,1,1,173.0,1,1
S,S01010138,80.98153564839039,49.0,47.0,80.98153564839039,1,1,174.0,1,1
E,E01012724,75.331,47.599999999999994,39.300000000000004,80.86382466478604,1,1,175.0,1,1
E,E01033228,77.148,48.8,36.1,80.81773283762759,1,1,176.0,1,1
E,E01007532,77.257,40.9,35.9,80.81110307257859,1,1,177.0,1,1
E,E01005754,76.234,48.1,37.4,80.69196607756795,1,1,178.0,1,1
E,E01006494,76.636,53.6,36.7,80.6856068379694,1,1,179.0,1,1
E,E01013861,73.321,45.5,42.0,80.51083872942002,1,1,180.0,1,1
E,E01007544,76.898,43.2,35.8,80.46801346355693,1,1,181.0,1,1
E,E01008304,75.897,45.300000000000004,37.4,80.41505172973352,1,1,182.0,1,1
S,S01007853,80.39876772348165,42.0,37.0,80.39876772348165,1,1,183.0,1,1
N,95LL13S2,44.61664455537879,16.2,33.7,80.30095886067421,1,1,184.0,1,1
N,95GG07S1,38.65002442688903,10.3,37.5,80.28900298601484,2,1,185.0,1,1
S,S01008569,80.25848367534249,38.0,36.0,80.25848367534249,1,1,186.0,1,1
S,S01009977,80.25109127128692,45.0,37.0,80.25109127128692,1,1,187.0,1,1
E,E01024609,77.896,43.9,33.6,80.22992348447258,1,1,188.0,1,1
E,E01006417,74.948,41.8,38.6,80.21242755263546,1,1,189.0,1,1
E,E01006562,78.655,42.199999999999996,32.2,80.18022831194446,1,1,190.0,1,1
E,E01006493,75.8,55.900000000000006,37.0,80.14295534631842,1,1,191.0,1,1
S,S01010499,80.04437806293784,42.0,31.0,80.04437806293784,1,1,192.0,1,1
E,E01010730,75.905,43.5,36.5,79.9887454640749,1,1,193.0,1,1
S,S01008929,79.90842715727025,43.0,36.0,79.90842715727025,1,1,194.0,1,1
S,S01010493,79.7459412155075,45.0,31.0,79.7459412155075,1,1,195.0,1,1
E,E01012735,74.73,36.5,37.9,79.69661164936524,1,1,196.0,1,1
E,E01011372,78.577,45.0,31.3,79.68325547680882,1,1,197.0,1,1
E,E01006386,75.885,44.800000000000004,35.8,79.63562701146112,1,1,198.0,1,1
N,95GG04S1,42.17724623650634,14.9,34.7,79.6354615446454,2,1,199.0,1,1
E,E01006467,74.863,42.699999999999996,37.4,79.56540948741657,1,1,200.0,1,1
E,E01010711,75.65,39.0,36.0,79.53872203518331,1,1,201.0,1,1
E,E01009379,76.225,46.400000000000006,35.0,79.53022433882556,1,1,202.0,1,1
S,S01008007,79.52828059784784,44.0,31.0,79.52828059784784,1,1,203.0,1,1
E,E01006695,74.929,41.699999999999996,37.2,79.52344643762903,1,1,204.0,1,1
S,S01010047,79.50102657925085,45.0,33.0,79.50102657925085,1,1,205.0,1,1
N,95HH13W1,47.72258539779048,19.2,31.0,79.44573499398028,1,1,206.0,1,1
E,E01026597,74.353,38.7,38.0,79.43492689635085,1,1,207.0,1,1
S,S01010312,79.43389820698181,46.0,35.0,79.43389820698181,1,1,208.0,1,1
E,E01012720,75.616,46.7,35.8,79.41458855577132,1,1,209.0,1,1
N,95GG44S2,47.94087178225461,16.6,30.8,79.37340628071111,1,1,210.0,1,1
E,E01005202,77.768,47.3,32.0,79.3551810678358,1,1,211.0,1,1
E,E01012738,77.09,37.9,33.0,79.27904322168035,1,1,212.0,1,1
N,95OO11W1,42.32966257013915,18.4,34.3,79.274278919535,2,1,213.0,1,1
S,S01010129,79.25801638401158,45.0,29.0,79.25801638401158,1,1,214.0,1,1
E,E01012895,78.352,48.3,30.599999999999998,79.1616876434649,1,1,215.0,1,1
N,95DD20W1,42.40777632607991,17.8,34.1,79.09513965244597,2,1,216.0,1,1
W,W01000239,80.3,50.0,35.0,79.071502715931,1,1,217.0,1,1
E,E01033477,75.941,45.0,34.5,79.0563714853429,1,1,218.0,1,1
E,E01006909,74.52,49.8,36.8,78.99497831378561,1,1,219.0,1,1
E,E01007003,76.196,43.5,33.900000000000006,78.97731948086624,1,1,220.0,1,1
N,95WW12W1,41.290364374301866,16.5,34.7,78.95966382384383,2,1,221.0,1,1
E,E01033679,75.863,45.0,34.4,78.94418078356598,1,1,222.0,1,1
E,E01007273,75.265,45.800000000000004,35.4,78.9337792811101,1,1,223.0,1,1
E,E01006817,74.358,41.5,36.9,78.90995998446382,1,1,224.0,1,1
N,95GG27S2,37.29077446984306,13.5,37.2,78.89527201329464,2,1,225.0,1,1
E,E01005756,75.498,43.8,34.9,78.88474754878588,1,1,226.0,1,1
E,E01012944,75.033,38.0,35.5,78.7912416510512,1,1,227.0,1,1
E,E01011994,74.719,47.5,36.0,78.77371533537956,1,1,228.0,1,1
E,E01006448,75.522,51.9,34.599999999999994,78.76017515188623,1,1,229.0,1,1
E,E01007126,71.864,43.5,40.8,78.73644236975352,1,1,230.0,1,1
E,E01013208,76.316,50.0,33.0,78.64304409638702,1,1,231.0,1,1
E,E01011368,75.543,39.900000000000006,34.300000000000004,78.63313764209785,1,1,232.0,1,1
S,S01010054,78.6208275181664,40.0,29.0,78.6208275181664,1,1,233.0,1,1
E,E01011662,77.034,43.1,31.7,78.60775681438274,1,1,234.0,1,1
S,S01011609,78.60205443770506,40.0,29.0,78.60205443770506,1,1,235.0,1,1
E,E01006873,75.142,43.5,34.9,78.59222081932279,1,1,236.0,1,1
E,E01024676,76.553,40.0,32.300000000000004,78.50110364790811,1,1,237.0,1,1
E,E01020972,73.26,48.3,37.7,78.39251080054596,1,1,238.0,1,1
E,E01009709,75.274,44.4,34.1,78.31590365306836,1,1,239.0,1,1
E,E01032332,76.145,43.8,32.6,78.31014159504983,1,1,240.0,1,1
E,E01006560,72.629,45.6,38.6,78.30689528964419,1,1,241.0,1,1
E,E01013137,74.948,41.199999999999996,34.599999999999994,78.2885168858418,1,1,242.0,1,1
E,E01020909,73.145,50.7,37.6,78.249917039808,1,1,243.0,1,1
E,E01012019,73.994,46.9,36.1,78.22607748727205,1,1,244.0,1,1
E,E01010612,75.825,45.800000000000004,32.9,78.19148952026106,1,1,245.0,1,1
E,E01006443,73.408,43.3,37.0,78.17743866970127,1,1,246.0,1,1
E,E01012089,74.736,51.6,34.699999999999996,78.1624133417078,1,1,247.0,1,1
W,W01001421,79.8,47.0,34.0,78.14842312030592,1,1,248.0,1,1
E,E01024906,77.026,36.9,30.7,78.12020551331436,1,1,249.0,1,1
S,S01010344,78.05354600449492,41.0,33.0,78.05354600449492,1,1,250.0,1,1
S,S01009976,78.03081004310611,44.0,32.0,78.03081004310611,1,1,251.0,1,1
E,E01006647,74.341,44.2,35.099999999999994,78.03023121137055,1,1,252.0,1,1
E,E01020752,71.325,40.2,40.2,78.00495715405863,1,1,253.0,1,1
E,E01015155,72.714,45.1,37.8,77.99195802146623,1,1,254.0,1,1
E,E01012266,74.481,47.9,34.599999999999994,77.90478097949557,1,1,255.0,1,1
E,E01008011,74.795,45.7,33.900000000000006,77.82611176182752,1,1,256.0,1,1
E,E01022031,73.789,46.9,35.6,77.81713927319272,1,1,257.0,1,1
N,95ZZ16S2,33.845589384032806,14.3,38.4,77.70203367601226,2,1,258.0,1,1
E,E01006880,72.419,41.3,37.7,77.70145748740423,1,1,259.0,1,1
E,E01027416,73.732,46.9,35.4,77.6741065949671,1,1,260.0,1,1
E,E01033764,74.468,47.0,34.1,77.6536099902952,1,1,261.0,1,1
E,E01033483,73.994,41.0,34.9,77.64890428723396,1,1,262.0,1,1
E,E01005203,75.035,44.4,33.1,77.63853865956749,1,1,263.0,1,1
E,E01011973,72.905,46.0,36.7,77.61982810868072,1,1,264.0,1,1
E,E01010819,75.768,46.300000000000004,31.8,77.61557694200687,1,1,265.0,1,1
E,E01012170,72.771,53.0,36.9,77.6059152663236,1,1,266.0,1,1
E,E01019143,75.081,38.0,32.9,77.58014152385506,1,1,267.0,1,1
E,E01016111,73.322,40.699999999999996,35.9,77.577696666856,1,1,268.0,1,1
E,E01008736,72.638,48.9,36.6,77.35233529491357,1,1,269.0,1,1
E,E01030250,74.332,41.3,33.7,77.34946713932656,1,1,270.0,1,1
N,95NN04W1,39.32632968154041,14.3,34.6,77.34375254802846,2,1,271.0,1,1
E,E01007006,74.774,41.4,32.9,77.32787830490795,1,1,272.0,1,1
N,95GG44S1,44.57944882196389,14.6,31.2,77.28934850036087,1,1,273.0,1,1
S,S01009126,77.25736270273397,37.0,29.0,77.25736270273397,1,1,274.0,1,1
S,S01007872,77.24879504735314,44.0,30.0,77.24879504735314,1,1,275.0,1,1
E,E01019156,71.737,43.3,37.9,77.23725069070507,1,1,276.0,1,1
S,S01010023,77.23344524443823,47.0,33.0,77.23344524443823,1,1,277.0,1,1
E,E01007970,70.205,37.4,40.5,77.22894164227417,1,1,278.0,1,1
S,S01013075,77.22737656194398,40.0,31.0,77.22737656194398,1,1,279.0,1,1
E,E01012000,71.572,46.300000000000004,38.0,77.14976724849456,1,1,280.0,1,1
E,E01028263,72.967,37.9,35.6,77.14169834167964,1,1,281.0,1,1
N,95ZZ03W1,35.10519867045563,14.8,37.1,77.11054797751423,2,1,282.0,1,1
E,E01014726,75.488,40.8,31.2,77.09691313903934,1,1,283.0,1,1
E,E01013948,71.684,46.6,37.6,77.04940706299459,1,1,284.0,1,1
S,S01009843,76.97627258514564,42.0,30.0,76.97627258514564,1,1,285.0,1,1
E,E01006703,72.673,40.1,35.699999999999996,76.94821504525355,1,1,286.0,1,1
E,E01014831,72.904,47.4,35.3,76.9456376710067,1,1,287.0,1,1
S,S01012491,76.92414003055032,42.0,32.0,76.92414003055032,1,1,288.0,1,1
E,E01009365,72.39,50.7,36.1,76.90806379609568,1,1,289.0,1,1
E,E01012076,74.309,49.6,32.800000000000004,76.89768804048438,1,1,290.0,1,1
E,E01007121,72.839,47.099999999999994,35.3,76.8922268917508,1,1,291.0,1,1
E,E01006963,73.993,44.0,33.300000000000004,76.87851831622027,1,1,292.0,1,1
E,E01013140,75.879,43.9,29.9,76.79292855216306,1,1,293.0,1,1
E,E01013877,73.881,44.800000000000004,33.300000000000004,76.78648743504087,1,1,294.0,1,1
E,E01012112,71.936,42.199999999999996,36.6,76.77549887894985,1,1,295.0,1,1
S,S01013395,76.77292599420923,41.0,29.0,76.77292599420923,1,1,296.0,1,1
E,E01007289,71.878,47.9,36.6,76.72784002976766,1,1,297.0,1,1
E,E01006677,73.333,51.9,33.900000000000006,76.62478008071788,1,1,298.0,1,1
S,S01010118,76.6092886015822,40.0,27.0,76.6092886015822,1,1,299.0,1,1
S,S01010121,76.55816384982101,41.0,28.0,76.55816384982101,1,1,300.0,1,1
E,E01019663,71.148,47.9,37.2,76.4165824935281,1,1,301.0,1,1
E,E01025156,72.179,48.699999999999996,35.4,76.3979998228992,1,1,302.0,1,1
S,S01010336,76.38315234906952,38.0,32.0,76.38315234906952,1,1,303.0,1,1
E,E01006779,72.513,43.9,34.699999999999996,76.335764691156,1,1,304.0,1,1
S,S01011383,76.31324019729831,36.0,33.0,76.31324019729831,1,1,305.0,1,1
N,95GG12S5,44.66674996101168,15.4,30.3,76.28189506167207,1,1,306.0,1,1
E,E01012091,73.207,46.400000000000006,33.4,76.28075650604185,1,1,307.0,1,1
E,E01015842,73.557,47.4,32.800000000000004,76.27976640970843,1,1,308.0,1,1
E,E01012100,70.723,40.0,37.6,76.25974923430351,1,1,309.0,1,1
E,E01006436,72.718,38.4,34.0,76.16752970519727,1,1,310.0,1,1
S,S01010455,76.16562791138365,41.0,36.0,76.16562791138365,1,1,311.0,1,1
E,E01006248,73.622,40.6,32.4,76.14078612228496,1,1,312.0,1,1
S,S01010903,76.10099192681004,42.0,34.0,76.10099192681004,1,1,313.0,1,1
E,E01006766,74.389,43.1,31.0,76.0976645841268,1,1,314.0,1,1
E,E01019139,71.505,36.4,35.9,76.0846599605795,1,1,315.0,1,1
E,E01005255,72.236,41.099999999999994,34.599999999999994,76.0600548344264,1,1,316.0,1,1
E,E01012127,70.522,42.9,37.5,76.0464889040885,1,1,317.0,1,1
S,S01010111,76.0181672568283,42.0,29.0,76.0181672568283,1,1,318.0,1,1
E,E01006460,73.046,42.699999999999996,33.1,76.00416881433694,1,1,319.0,1,1
E,E01008380,72.353,46.2,34.2,75.96380317040766,1,1,320.0,1,1
S,S01011361,75.96178494620469,35.0,33.0,75.96178494620469,1,1,321.0,1,1
S,S01010163,75.88752679764269,39.0,30.0,75.88752679764269,1,1,322.0,1,1
S,S01011384,75.88480995769024,40.0,30.0,75.88480995769024,1,1,323.0,1,1
N,95LL07W1,48.529573472050565,21.6,27.5,75.8840797486441,1,1,324.0,1,1
E,E01024657,74.458,42.8,30.4,75.86577558054866,1,1,325.0,1,1
