local-authority-code,official-name,la-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,density,la-imd-pop-quintile,la-imd-pop-decile
DRS,Derry City and Strabane District Council,62.310842986626255,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.14002141667327675,0.8599785833267233,120.79056754596323,1,1
BFS,Belfast City Council,55.48762251712829,1st IMD quintile,Councils in most deprived quintile (20%),0.018375412930627655,0.30866564417177916,0.6729589428975932,2482.31884057971,1,1
FMO,Fermanagh and Omagh District Council,48.63055912618788,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.05215458130680318,0.9478454186931968,40.96962290502793,1,1
NMD,"Newry, Mourne and Down District Council",48.61508761840621,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.18287982669796954,0.8171201733020305,108.0077288941736,1,1
CCG,Causeway Coast and Glens Borough Council,46.683862853538415,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.1902894658722981,0.8097105341277019,72.98237663645519,1,1
BPL,Blackpool Borough Council,45.48705725513819,1st IMD quintile,Councils in most deprived quintile (20%),0.042489565853448645,0.38860203949916095,0.5689083946473904,3953.7428571428572,1,1
KWL,Knowsley Metropolitan Borough Council,43.16548272593496,1st IMD quintile,Councils in most deprived quintile (20%),0.05929259853375933,0.3229772905039042,0.6177301109623364,1752.3218390804598,1,1
LIV,Liverpool City Council,42.536504286787064,1st IMD quintile,Councils in most deprived quintile (20%),0.11840166090410045,0.2712221057661804,0.6103762333297191,4468.517857142857,1,1
ABC,"Armagh City, Banbridge and Craigavon Borough Council",41.831160493199235,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.3931006482142607,0.6068993517857393,162.355754857997,1,1
MUL,Mid Ulster District Council,41.492461865382964,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.24183586350417544,0.7581641364958246,81.35062807209175,1,1
KHL,Hull City Council,40.63107646144015,1st IMD quintile,Councils in most deprived quintile (20%),0.10838485168105075,0.3429197237641371,0.5486954245548122,3598.972222222222,1,1
MDB,Middlesbrough Borough Council,40.38096358348702,1st IMD quintile,Councils in most deprived quintile (20%),0.2517520215633423,0.1767201021421478,0.5715278762945099,2616.3888888888887,1,1
MAN,Manchester City Council,39.820807429755924,1st IMD quintile,Councils in most deprived quintile (20%),0.045565045635588164,0.3871789862858094,0.5672559680786025,4790.870689655172,1,1
BUN,Burnley Borough Council,38.554301968061175,1st IMD quintile,Councils in most deprived quintile (20%),0.1488416554206028,0.3084570400359874,0.5427013045434098,804.9009009009009,1,1
BIR,Birmingham City Council,38.10821623448962,1st IMD quintile,Councils in most deprived quintile (20%),0.09584468951214556,0.3280502287583989,0.5761050817294555,4255.690298507463,1,1
MEA,Mid and East Antrim Borough Council,37.700025348951,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.5967044801838024,0.4032955198161976,131.67422096317281,1,1
BBD,Blackburn with Darwen Borough Council,36.19481978142368,1st IMD quintile,Councils in most deprived quintile (20%),0.20778778324070116,0.24861051731509193,0.5436016994442069,1095.109489051095,1,1
ANN,Antrim and Newtownabbey Borough Council,35.94093435253465,1st IMD quintile,Councils in most deprived quintile (20%),0.016743311036789298,0.5915621516164994,0.3916945373467113,251.76182136602452,1,1
AND,Ards and North Down Borough Council,35.823503630878164,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.5207564404833911,0.47924355951660885,286.31802120141344,1,1
LCR,Liverpool City Region,35.14974826911731,1st IMD quintile,Councils in most deprived quintile (20%),0.22485121719723983,0.3105558833337609,0.4645928994689993,2136.632513661202,1,1
SAW,Sandwell Metropolitan Borough Council,35.10112444207642,1st IMD quintile,Councils in most deprived quintile (20%),0.046956918861318316,0.393204445121023,0.5598386360176587,3826.0697674418607,1,1
HPL,Hartlepool Borough Council,34.960676467762084,1st IMD quintile,Councils in most deprived quintile (20%),0.27003192295783823,0.21673446291491838,0.5132336141272434,998.2553191489362,1,1
BRD,City of Bradford Metropolitan District Council,34.88322839474152,1st IMD quintile,Councils in most deprived quintile (20%),0.18934150462414037,0.32615381195162435,0.48450468342423525,1481.224043715847,1,1
NGM,Nottingham City Council,34.85831456293181,1st IMD quintile,Councils in most deprived quintile (20%),0.1071763292279964,0.3751096425352959,0.5177140282367078,4494.64,1,1
STE,Stoke-on-Trent City Council,34.85016334275963,1st IMD quintile,Councils in most deprived quintile (20%),0.1131662603607996,0.3629449049244271,0.5238888347147733,2759.3763440860216,1,1
RCH,Rochdale Metropolitan Borough Council,34.75680797349064,1st IMD quintile,Councils in most deprived quintile (20%),0.18601064690754096,0.35267431613402156,0.4613150369584375,1415.5632911392406,1,1
HYN,Hyndburn Borough Council,34.682468911565465,1st IMD quintile,Councils in most deprived quintile (20%),0.20524906531100773,0.29778019076292833,0.49697074392606394,1111.4109589041095,1,2
HAS,Hastings Borough Council,34.57192434789178,1st IMD quintile,Councils in most deprived quintile (20%),0.12430256526478238,0.43839371472356226,0.4373037200116554,3085.133333333333,1,2
SLF,Salford City Council,34.33304038495716,1st IMD quintile,Councils in most deprived quintile (20%),0.15961195206193932,0.379490329709389,0.46089771822867165,2708.216494845361,1,2
OLD,Oldham Metropolitan Borough Council,33.83780249251402,1st IMD quintile,Councils in most deprived quintile (20%),0.21433511872126862,0.27426932647294505,0.5113955548057864,1673.4366197183099,1,2
GRY,Great Yarmouth Borough Council,33.29233555810582,1st IMD quintile,Councils in most deprived quintile (20%),0.13386888942578723,0.4815072078601917,0.3846239027140211,570.1034482758621,1,2
BDG,London Borough of Barking and Dagenham,32.72231926765802,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.54030886870262,0.45969113129738004,5947.416666666667,1,2
HCK,London Borough of Hackney,32.56071419678429,1st IMD quintile,Councils in most deprived quintile (20%),0.0,0.6280983210017075,0.3719016789982925,14786.368421052632,1,2
WLV,City of Wolverhampton Council,32.53454664580778,1st IMD quintile,Councils in most deprived quintile (20%),0.1697201897044696,0.3125719080943358,0.5177079022011946,3831.985507246377,1,2
HAL,Halton Borough Council,32.33652536898231,1st IMD quintile,Councils in most deprived quintile (20%),0.28724209875589213,0.23606367359554903,0.47669422764855884,1642.5189873417721,1,2
WLL,Walsall Metropolitan Borough Council,32.17597533610296,1st IMD quintile,Councils in most deprived quintile (20%),0.22419941291448028,0.2545835405880663,0.5212170464974534,2756.8846153846152,1,2
WMCA,West Midlands Combined Authority,32.128698761384314,1st IMD quintile,Councils in most deprived quintile (20%),0.1895969120997394,0.35320727503182414,0.4571958128684364,3259.3425720620844,1,2
BGW,Blaenau Gwent County Borough Council,31.98478372220768,1st IMD quintile,Councils in most deprived quintile (20%),0.016919069021785808,0.5739887206206521,0.40909221035756205,642.3853211009174,1,2
GLG,Glasgow City Council,31.920089483210823,1st IMD quintile,Councils in most deprived quintile (20%),0.2786517563810968,0.30442886024766236,0.41691938337124085,3632.2285714285713,1,2
SHN,St Helens Council,31.788258675969765,1st IMD quintile,Councils in most deprived quintile (20%),0.22953733698812193,0.3622338510950522,0.40822881191682586,1331.5808823529412,1,2
STY,South Tyneside Council,31.715865058022466,1st IMD quintile,Councils in most deprived quintile (20%),0.18022732089868587,0.3758478168715557,0.44392486222975835,2361.453125,1,2
TAM,Tameside Metropolitan Borough Council,31.66438354827743,1st IMD quintile,Councils in most deprived quintile (20%),0.1550379040411845,0.4079154764164897,0.4370466195423258,2205.019417475728,1,2
THA,Thanet District Council,31.44299463085357,1st IMD quintile,Councils in most deprived quintile (20%),0.18111356942545906,0.4632403714716534,0.3556460591028875,1360.173076923077,1,2
NEL,North East Lincolnshire Council,31.342407130725793,1st IMD quintile,Councils in most deprived quintile (20%),0.35128444564216016,0.28159410389626666,0.3671214504615732,825.720207253886,1,2
PEN,Pendle Borough Council,31.17465717821782,1st IMD quintile,Councils in most deprived quintile (20%),0.2187988535695675,0.3840433385443808,0.39715780788605176,545.2366863905326,1,2
BOL,Bolton Metropolitan Borough Council,31.13011120848548,1st IMD quintile,Councils in most deprived quintile (20%),0.27354199269692225,0.28520605112154407,0.4412519561815336,2058.9142857142856,1,2
TVCA,Tees Valley Combined Authority,30.91782305338904,1st IMD quintile,Councils in most deprived quintile (20%),0.32286846247618145,0.28384747848934233,0.3932840590344762,851.7861635220125,1,2
LCE,Leicester City Council,30.85077790324766,1st IMD quintile,Councils in most deprived quintile (20%),0.11075195356610507,0.5414031799087583,0.34784486652513663,4849.808219178082,1,2
SND,Sunderland City Council,30.691123656397973,1st IMD quintile,Councils in most deprived quintile (20%),0.21465583983003547,0.39367674330674635,0.39166741686321815,2028.0729927007299,1,2
DNC,Doncaster Metropolitan Borough Council,30.49772315880599,1st IMD quintile,Councils in most deprived quintile (20%),0.23379396582128315,0.38910513322004553,0.3771009009586713,550.6778169014085,1,2
TEN,Tendring District Council,30.49612584521121,1st IMD quintile,Councils in most deprived quintile (20%),0.161605065467621,0.5617933829599961,0.2766015515723828,438.55059523809524,1,2
GMCA,Greater Manchester Combined Authority,30.29490712547158,1st IMD quintile,Councils in most deprived quintile (20%),0.2626581363380854,0.35063473177213555,0.38670713188977907,2233.9498039215687,1,2
BNS,Barnsley Metropolitan Borough Council,30.00411464519213,1st IMD quintile,Councils in most deprived quintile (20%),0.17892297845794886,0.45702121798870643,0.3640558035533447,754.0151975683891,1,2
NET,Newcastle City Council,29.949040297866716,1st IMD quintile,Councils in most deprived quintile (20%),0.28533121986658744,0.34980516478436036,0.36486361534905226,2715.2566371681414,1,2
ELI,East Lindsey District Council,29.844699584412286,1st IMD quintile,Councils in most deprived quintile (20%),0.18037494619938332,0.5010336774220862,0.3185913763785306,80.37917374080362,1,2
MTY,Merthyr Tydfil County Borough Council,29.835047029874808,1st IMD quintile,Councils in most deprived quintile (20%),0.10667042402944005,0.5979511321818122,0.2953784437887478,544.3603603603603,1,2
WRL,Wirral Borough Council,29.793185169639305,1st IMD quintile,Councils in most deprived quintile (20%),0.3422476397406261,0.31475165966587554,0.34300070059349835,2014.5093167701864,1,2
RCC,Redcar and Cleveland Borough Council,29.791865154939845,1st IMD quintile,Councils in most deprived quintile (20%),0.2806416332482683,0.36024790375501275,0.3591104629967189,560.1142857142858,1,2
ROT,Rotherham Metropolitan Borough Council,29.7412722569901,1st IMD quintile,Councils in most deprived quintile (20%),0.2718651450015259,0.3726032455324007,0.3555316094660734,923.2891986062717,1,2
PRE,Preston City Council,29.614644727005977,1st IMD quintile,Councils in most deprived quintile (20%),0.26419813462814823,0.3095888496873581,0.42621301568449366,1015.1197183098592,1,2
IVC,Inverclyde Council,29.555251163325117,1st IMD quintile,Councils in most deprived quintile (20%),0.37169665809768637,0.2153470437017995,0.41295629820051416,481.625,1,2
LBC,Lisburn and Castlereagh City Council,29.500533368302182,2nd IMD quintile,Councils in second most deprived quintile (20%),0.0,0.7391266718595005,0.26087332814049946,289.4308300395257,2,3
NWM,London Borough of Newham,29.404628489468585,2nd IMD quintile,Councils in second most deprived quintile (20%),0.010256729739985388,0.7723555364252663,0.21738773383474827,9868.5,2,3
WDU,West Dunbartonshire Council,29.016676482041536,2nd IMD quintile,Councils in second most deprived quintile (20%),0.20974924097604858,0.4231305521196447,0.36712020690430675,555.5974842767296,2,3
SCR,South Yorkshire Mayoral Combined Authority,28.93824727541128,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2742693503285972,0.3691423826489333,0.35658826702246954,911.7615979381443,2,3
WYCA,West Yorkshire Combined Authority,28.75678036921391,2nd IMD quintile,Councils in second most deprived quintile (20%),0.29071597521767706,0.3576699197288367,0.3516141050534862,1155.2881773399015,2,3
NECA,North East Combined Authority,28.52562229956152,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2266817708019262,0.4396380176253198,0.33368021157275396,453.124951342935,2,3
MAS,Mansfield District Council,28.508844565605187,2nd IMD quintile,Councils in second most deprived quintile (20%),0.25316293578988774,0.34854957781782586,0.3982874863922864,1420.142857142857,2,3
GAT,Gateshead Metropolitan Borough Council,28.340326975328498,2nd IMD quintile,Councils in second most deprived quintile (20%),0.22782905644502735,0.4724802652743065,0.29969067828066615,1422.1830985915492,2,3
TOB,Torbay Council,28.21644415986614,2nd IMD quintile,Councils in second most deprived quintile (20%),0.21686578993718075,0.5493820818411319,0.2337521282216873,2162.190476190476,2,3
HRY,London Borough of Haringey,28.130705528072156,2nd IMD quintile,Councils in second most deprived quintile (20%),0.1487639914088004,0.5333839573864588,0.3178520512047408,8878.566666666668,2,3
NTL,Neath Port Talbot County Borough Council,28.03591706182188,2nd IMD quintile,Councils in second most deprived quintile (20%),0.21121306213585458,0.472476712137599,0.31631022572654643,327.40589569161,2,3
PTE,Peterborough City Council,27.880698124681718,2nd IMD quintile,Councils in second most deprived quintile (20%),0.21171369382821037,0.39284284012083515,0.3954434660509545,590.7463556851312,2,3
DND,Dundee City Council,27.750628734912283,2nd IMD quintile,Councils in second most deprived quintile (20%),0.3556723814626306,0.3030873292258237,0.34124028931154565,2480.3333333333335,2,3
LDS,Leeds City Council,27.68480163502236,2nd IMD quintile,Councils in second most deprived quintile (20%),0.3540287389726139,0.32002839350983875,0.32594286751754736,1447.0760869565217,2,3
SWL,Swale Borough Council,27.598931124318707,2nd IMD quintile,Councils in second most deprived quintile (20%),0.24078836902493303,0.5167641689209899,0.2424474620540771,404.8659517426274,2,3
NOW,Norwich City Council,27.56683175289707,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2504108185782476,0.37238303230350067,0.37720614911825173,3645.5641025641025,2,3
TWH,London Borough of Tower Hamlets,27.521556559762274,2nd IMD quintile,Councils in second most deprived quintile (20%),0.12821752451923818,0.6023187423978814,0.2694637330828804,16598.45,2,3
ISL,London Borough of Islington,27.448605092651782,2nd IMD quintile,Councils in second most deprived quintile (20%),0.07710740018229285,0.696911332263772,0.22598126755393516,16541.0,2,3
WKF,Wakefield Metropolitan District Council,27.369309972093987,2nd IMD quintile,Councils in second most deprived quintile (20%),0.265477502928409,0.4263907071820667,0.30813178988952433,1037.1445427728613,2,3
RCT,Rhondda Cynon Taf County Borough Council,27.30159914517987,2nd IMD quintile,Councils in second most deprived quintile (20%),0.22159543073148086,0.5063830492738245,0.2720215199946946,570.4551886792453,2,3
SHF,Sheffield City Council,27.292290067760614,2nd IMD quintile,Councils in second most deprived quintile (20%),0.33719071287998864,0.31983250492003973,0.34297678219997163,1601.125,2,3
NWP,Newport City Council,27.276517596860685,2nd IMD quintile,Councils in second most deprived quintile (20%),0.30018878171144847,0.34617523080503765,0.35363598748351394,823.4052631578948,2,3
POR,Portsmouth City Council,27.274293878690585,2nd IMD quintile,Councils in second most deprived quintile (20%),0.1428677787859752,0.616211814522696,0.24092040669132872,5367.3,2,3
SFT,Sefton Metropolitan Borough Council,27.25746748308672,2nd IMD quintile,Councils in second most deprived quintile (20%),0.33712962627980175,0.3708440360334286,0.29202633768676967,1757.3184713375797,2,3
NAY,North Ayrshire Council,27.03259516619809,2nd IMD quintile,Councils in second most deprived quintile (20%),0.3130770372569393,0.3340730295383702,0.3528499332046905,151.6949152542373,2,3
STH,Southampton City Council,26.88257812054491,2nd IMD quintile,Councils in second most deprived quintile (20%),0.20523126881039125,0.5187311896087439,0.2760375415808649,5057.44,2,3
DER,Derby City Council,26.78383416374533,2nd IMD quintile,Councils in second most deprived quintile (20%),0.30451376203838293,0.3355434470000233,0.35994279096159376,3292.4871794871797,2,3
LIC,City of Lincoln Council,26.78136226950926,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2656824338613682,0.4540226991208371,0.28029486701779477,2779.1388888888887,2,3
PLY,Plymouth City Council,26.74908324303701,2nd IMD quintile,Councils in second most deprived quintile (20%),0.29104921785578025,0.4282144219763449,0.28073636016787484,3285.4875,2,3
LEW,London Borough of Lewisham,26.743396368059326,2nd IMD quintile,Councils in second most deprived quintile (20%),0.08370988942002733,0.7142119133408753,0.2020781972390973,8723.114285714286,2,3
DUR,Durham County Council,26.553178170286778,2nd IMD quintile,Councils in second most deprived quintile (20%),0.24577527759227608,0.46936581059208365,0.28485891181564027,239.50988319856245,2,4
CLD,Calderdale Metropolitan Borough Council,26.492248970230072,2nd IMD quintile,Councils in second most deprived quintile (20%),0.28405570925255963,0.40992173275637844,0.3060225579910619,580.8763736263736,2,4
ASH,Ashfield District Council,26.403706343126068,2nd IMD quintile,Councils in second most deprived quintile (20%),0.19422598852389814,0.5462561953751622,0.25951781610093966,1166.7,2,4
BST,Bristol City Council,26.384323311256278,2nd IMD quintile,Councils in second most deprived quintile (20%),0.29089057074477154,0.4431963606307607,0.2659130686244678,4235.145454545454,2,4
NLK,North Lanarkshire Council,26.232545065727805,2nd IMD quintile,Councils in second most deprived quintile (20%),0.29402115007176965,0.4093124761988458,0.29666637372938454,725.8297872340426,2,4
LUT,Luton Borough Council,26.092169648724255,2nd IMD quintile,Councils in second most deprived quintile (20%),0.16404445862981806,0.5394598501774215,0.2964956911927605,4965.767441860465,2,4
IPS,Ipswich Borough Council,26.071824282573605,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2731150438599695,0.4127219475141148,0.31416300862591573,3399.475,2,4
COV,Coventry City Council,26.03264564318033,2nd IMD quintile,Councils in second most deprived quintile (20%),0.2483681945300535,0.5062028795142132,0.24542892595573332,3832.191919191919,2,4
WGN,Wigan Metropolitan Borough Council,25.922569493887337,2nd IMD quintile,Councils in second most deprived quintile (20%),0.3643652141105452,0.33102092727482946,0.30461385861462537,1759.1063829787233,2,4
ENF,London Borough of Enfield,25.85252469187583,2nd IMD quintile,Councils in second most deprived quintile (20%),0.23687064476892933,0.46971485407167296,0.2934145011593977,4118.358024691358,2,4
STT,Stockton-on-Tees Borough Council,25.83641617852727,2nd IMD quintile,Councils in second most deprived quintile (20%),0.41829154589861567,0.29323327320266734,0.288475180898717,963.0195121951219,2,4
SWK,London Borough of Southwark,25.735333823667787,2nd IMD quintile,Councils in second most deprived quintile (20%),0.1357055484113791,0.6790860333092871,0.18520841827933382,11035.068965517241,2,4
DAL,Darlington Borough Council,25.71620211042761,2nd IMD quintile,Councils in second most deprived quintile (20%),0.3409829311910714,0.3686600563654579,0.2903570124434707,545.1878172588832,2,4
BEN,London Borough of Brent,25.649944149121666,2nd IMD quintile,Councils in second most deprived quintile (20%),0.10916666413966056,0.7306888719747946,0.16014446388554482,7622.162790697675,2,4
FEN,Fenland District Council,25.61847238095238,2nd IMD quintile,Councils in second most deprived quintile (20%),0.16674521354933727,0.6452626411389298,0.18799214531173294,186.95970695970695,2,4
