IMD Decile distribution,E,S,W
1,0.0993,0.0957,0.1207
2,0.1003,0.0855,0.1198
3,0.1007,0.0808,0.121
4,0.1004,0.0777,0.1322
5,0.0989,0.0922,0.134
6,0.0981,0.1076,0.1205
7,0.0993,0.1098,0.0951
8,0.1009,0.1032,0.0784
9,0.1007,0.1095,0.0709
10,0.1015,0.1381,0.0074
