IMD Decile distribution,E,N,S,W
1,0.0926,0.3773,0.0894,0.0843
2,0.0994,0.2203,0.0732,0.0844
3,0.1015,0.1576,0.0708,0.0887
4,0.1001,0.1156,0.0799,0.1238
5,0.099,0.0905,0.0918,0.1384
6,0.0981,0.0367,0.1215,0.1353
7,0.0986,0.002,0.1311,0.1299
8,0.1019,0.0,0.1194,0.0916
9,0.1021,0.0,0.1144,0.0982
10,0.1067,0.0,0.1085,0.0253
