IMD Decile distribution,E,S,W
1,0.099,0.0953,0.1252
2,0.1005,0.0845,0.1168
3,0.1011,0.0771,0.1209
4,0.0997,0.08,0.14
5,0.0987,0.0927,0.135
6,0.098,0.1102,0.119
7,0.0991,0.1117,0.0964
8,0.1011,0.1063,0.0694
9,0.1007,0.1096,0.0713
10,0.1021,0.1325,0.0059
