IMD Decile distribution,E,N,S,W
1,0.0918,0.4053,0.0897,0.0815
2,0.0969,0.2328,0.0854,0.1009
3,0.1,0.1595,0.0794,0.1009
4,0.1011,0.1037,0.0769,0.1179
5,0.1006,0.0713,0.0893,0.1266
6,0.0995,0.0229,0.1067,0.1424
7,0.1017,0.0036,0.1081,0.1143
8,0.103,0.0009,0.1056,0.0971
9,0.1032,0.0,0.1086,0.0881
10,0.1024,0.0,0.1504,0.0303
