parl25,parl25-deprivation-score,parl25-imd-pop-quintile,parl25-imd-pop-decile,label
UKPARL.2025.BTW,72.52446063525306,1,1,1st IMD quintile
UKPARL.2025.FOY,63.659910580249026,1,1,1st IMD quintile
UKPARL.2025.BTN,60.522360315715474,1,1,1st IMD quintile
UKPARL.2025.WTY,53.56612025662986,1,1,1st IMD quintile
UKPARL.2025.NAR,50.73512991373751,1,1,1st IMD quintile
UKPARL.2025.BPS,50.480492896551084,1,1,1st IMD quintile
UKPARL.2025.LRV,49.29088149349514,1,1,1st IMD quintile
UKPARL.2025.BLA,48.61403681127604,1,1,1st IMD quintile
UKPARL.2025.KNW,47.98310505642051,1,1,1st IMD quintile
UKPARL.2025.ELD,47.38041885025132,1,1,1st IMD quintile
UKPARL.2025.LWL,47.35001208407566,1,1,1st IMD quintile
UKPARL.2025.BSN,45.56298935604408,1,1,1st IMD quintile
UKPARL.2025.LWD,45.320432120486366,1,1,1st IMD quintile
UKPARL.2025.FST,45.129838486129366,1,1,1st IMD quintile
UKPARL.2025.SDW,44.987192607767,1,1,1st IMD quintile
UKPARL.2025.BDE,44.63252375540858,1,1,1st IMD quintile
UKPARL.2025.MTE,44.556291919951974,1,1,1st IMD quintile
UKPARL.2025.LSO,44.0883610070423,1,1,1st IMD quintile
UKPARL.2025.BMS,43.640897763855506,1,1,1st IMD quintile
UKPARL.2025.UBN,43.229367888715814,1,1,1st IMD quintile
UKPARL.2025.SBH,42.5775983914671,1,1,1st IMD quintile
UKPARL.2025.BER,42.369586033506955,1,1,1st IMD quintile
UKPARL.2025.BDW,42.20331413722772,1,1,1st IMD quintile
UKPARL.2025.BPB,42.13629881351289,1,1,1st IMD quintile
UKPARL.2025.BTL,41.758991887615664,1,1,1st IMD quintile
UKPARL.2025.BYA,41.401979767558295,1,1,1st IMD quintile
UKPARL.2025.MUL,41.05334482403424,1,1,1st IMD quintile
UKPARL.2025.GNE,40.638566500641794,1,1,1st IMD quintile
UKPARL.2025.MCT,40.537191425982,1,1,1st IMD quintile
UKPARL.2025.BLS,40.49543536543979,1,1,1st IMD quintile
UKPARL.2025.NAN,40.44026662431669,1,1,1st IMD quintile
UKPARL.2025.WAB,40.11853207328833,1,1,1st IMD quintile
UKPARL.2025.HUE,39.93822777191727,1,1,1st IMD quintile
UKPARL.2025.BDS,39.72514469694602,1,1,1st IMD quintile
UKPARL.2025.BKH,39.606425867623706,1,1,1st IMD quintile
UKPARL.2025.GAD,39.60270924882793,1,1,1st IMD quintile
UKPARL.2025.SGF,39.522818838452565,1,1,1st IMD quintile
UKPARL.2025.BNF,39.12389118568155,1,1,1st IMD quintile
UKPARL.2025.WSE,38.824948193520754,1,1,1st IMD quintile
UKPARL.2025.BBN,38.673179141288685,1,1,1st IMD quintile
UKPARL.2025.RCD,38.63208952840733,1,1,1st IMD quintile
UKPARL.2025.GGC,38.60899572244632,1,1,1st IMD quintile
UKPARL.2025.BHG,38.454657278974025,1,1,1st IMD quintile
UKPARL.2025.BUR,38.245489167433085,1,1,1st IMD quintile
UKPARL.2025.BTE,38.09263646945371,1,1,1st IMD quintile
UKPARL.2025.MRH,37.45673526011561,1,1,1st IMD quintile
UKPARL.2025.SFD,37.379141204807595,1,1,1st IMD quintile
UKPARL.2025.STC,37.33224331657956,1,1,1st IMD quintile
UKPARL.2025.NGN,37.26883798877745,1,1,1st IMD quintile
UKPARL.2025.OLW,37.24852979285801,1,1,1st IMD quintile
UKPARL.2025.TIP,37.15099511781795,1,1,1st IMD quintile
UKPARL.2025.LEA,37.084401596062946,1,1,1st IMD quintile
UKPARL.2025.EAS,35.94000265509852,1,1,1st IMD quintile
UKPARL.2025.EAN,35.90390920659977,1,1,1st IMD quintile
UKPARL.2025.GEA,35.54586076354527,1,1,1st IMD quintile
UKPARL.2025.HUN,35.236743821451554,1,1,1st IMD quintile
UKPARL.2025.LEW,35.17903098332677,1,1,1st IMD quintile
UKPARL.2025.DES,35.14526765748452,1,1,1st IMD quintile
UKPARL.2025.BNS,35.14056349165108,1,2,1st IMD quintile
UKPARL.2025.TOT,35.13690756800147,1,2,1st IMD quintile
UKPARL.2025.RHM,34.97822707657311,1,2,1st IMD quintile
UKPARL.2025.NCL,34.96544524092641,1,2,1st IMD quintile
UKPARL.2025.BTS,34.75969564442822,1,2,1st IMD quintile
UKPARL.2025.WLL,34.60798423155226,1,2,1st IMD quintile
UKPARL.2025.JGE,34.58099765446118,1,2,1st IMD quintile
UKPARL.2025.HPL,34.5539677762226,1,2,1st IMD quintile
UKPARL.2025.NGE,34.55323520793951,1,2,1st IMD quintile
UKPARL.2025.WYT,34.34540078174712,1,2,1st IMD quintile
UKPARL.2025.AUL,34.33433660641376,1,2,1st IMD quintile
UKPARL.2025.LWV,34.271315349532486,1,2,1st IMD quintile
UKPARL.2025.CLT,34.25831698031111,1,2,1st IMD quintile
UKPARL.2025.SKN,34.230592559166624,1,2,1st IMD quintile
UKPARL.2025.SMK,34.227323463249206,1,2,1st IMD quintile
UKPARL.2025.SHE,34.19902314493472,1,2,1st IMD quintile
UKPARL.2025.ETH,34.1716112905635,1,2,1st IMD quintile
UKPARL.2025.BGR,34.05174720212656,1,2,1st IMD quintile
UKPARL.2025.HSD,34.02653452934341,1,2,1st IMD quintile
UKPARL.2025.SHS,33.91342598737455,1,2,1st IMD quintile
