pcon,pcon-deprivation-score,pcon-imd-pop-quintile,pcon-imd-pop-decile,label
N06000004,71.9006169718264,1,1,1st IMD quintile
N06000002,65.38729141722065,1,1,1st IMD quintile
N06000008,63.10188564348571,1,1,1st IMD quintile
E14000794,55.82417369392538,1,1,1st IMD quintile
N06000018,54.88352367656629,1,1,1st IMD quintile
N06000011,50.463105691555164,1,1,1st IMD quintile
E14000563,49.29650405057219,1,1,1st IMD quintile
E14000573,49.00181414343877,1,1,1st IMD quintile
N06000006,47.81467916687612,1,1,1st IMD quintile
E14000561,47.051530381649776,1,1,1st IMD quintile
E14000571,47.04160264133457,1,1,1st IMD quintile
E14000775,46.522150796836925,1,1,1st IMD quintile
E14000796,45.59920906429554,1,1,1st IMD quintile
E14000819,45.4559125330172,1,1,1st IMD quintile
E14000564,44.97981505578076,1,1,1st IMD quintile
N06000007,44.78015792609703,1,1,1st IMD quintile
N06000015,44.76939539369285,1,1,1st IMD quintile
E14000587,44.644486939255174,1,1,1st IMD quintile
E14000866,44.5638049373574,1,1,1st IMD quintile
E14000921,44.11491820987654,1,1,1st IMD quintile
E14000559,44.051791969064055,1,1,1st IMD quintile
E14000778,42.80784091808078,1,1,1st IMD quintile
N06000017,42.74928900626301,1,1,1st IMD quintile
N06000010,42.40653306347661,1,1,1st IMD quintile
E14000581,42.20251706756279,1,1,1st IMD quintile
E14000589,42.17544704154893,1,1,1st IMD quintile
S14000032,42.17335658867449,1,1,1st IMD quintile
E14000777,41.74055831306584,1,1,1st IMD quintile
E14000807,40.96990580652183,1,1,1st IMD quintile
E14000568,40.794518877978895,1,1,1st IMD quintile
E14000773,40.54752538282956,1,1,1st IMD quintile
N06000012,40.13383968370222,1,1,1st IMD quintile
S14000030,39.84081457015104,1,1,1st IMD quintile
E14001011,39.79337229402424,1,1,1st IMD quintile
E14000808,39.419440251983964,1,1,1st IMD quintile
E14000570,39.38047543360458,1,1,1st IMD quintile
E14000565,39.29147593811437,1,1,1st IMD quintile
E14000904,38.977308296962434,1,1,1st IMD quintile
E14000795,38.93871890431178,1,1,1st IMD quintile
E14000562,38.82398053058015,1,1,1st IMD quintile
N06000001,38.74047030089032,1,1,1st IMD quintile
N06000016,38.68062846098938,1,1,1st IMD quintile
E14000772,38.628811565852615,1,1,1st IMD quintile
E14000609,38.554301968061175,1,1,1st IMD quintile
E14000897,38.43211233991999,1,1,1st IMD quintile
E14000588,38.25947971030936,1,1,1st IMD quintile
E14000771,38.17242526407663,1,1,1st IMD quintile
E14000885,38.14412534405443,1,1,1st IMD quintile
E14000716,37.97821030762089,1,1,1st IMD quintile
E14000781,37.64588338271502,1,1,1st IMD quintile
E14000566,37.55807255457104,1,1,1st IMD quintile
E14000793,37.201934254072405,1,1,1st IMD quintile
E14000579,37.07667394516346,1,1,1st IMD quintile
E14001050,37.00718008720012,1,1,1st IMD quintile
N06000005,36.91611384109566,1,1,1st IMD quintile
E14001030,36.74026388120177,1,1,1st IMD quintile
E14000871,36.58305861882924,1,1,1st IMD quintile
E14000972,36.55919035190146,1,1,1st IMD quintile
E14000784,36.55895827747682,1,1,1st IMD quintile
E14000865,36.33271061648431,1,1,1st IMD quintile
E14000677,36.12225120755358,1,1,1st IMD quintile
E14000642,35.99501186272346,1,1,1st IMD quintile
S14000035,35.706545425406624,1,1,1st IMD quintile
E14000708,35.61112897490808,1,2,1st IMD quintile
E14000709,35.47571102390296,1,2,1st IMD quintile
E14000831,35.28017064513507,1,2,1st IMD quintile
E14001010,35.21108441156304,1,2,1st IMD quintile
E14000663,35.14526765748452,1,2,1st IMD quintile
E14000572,35.05152667140397,1,2,1st IMD quintile
E14000733,34.960676467762084,1,2,1st IMD quintile
E14001029,34.93100620916061,1,2,1st IMD quintile
