IMD Decile distribution,E,N,S,W
1,0.0996,0.0785,0.0965,0.1257
2,0.0995,0.1372,0.0826,0.1163
3,0.0979,0.2058,0.0752,0.1165
4,0.0959,0.233,0.0771,0.133
5,0.0958,0.2144,0.0863,0.1303
6,0.0971,0.1296,0.1072,0.1213
7,0.1015,0.0016,0.119,0.0991
8,0.1037,0.0,0.1077,0.0803
9,0.1037,0.0,0.1126,0.0717
10,0.1052,0.0,0.1359,0.0059
