IMD Decile distribution,E,N,S,W
1,0.0989,0.1116,0.0954,0.1207
2,0.0987,0.1572,0.0843,0.1172
3,0.0968,0.2362,0.0763,0.1166
4,0.0964,0.2251,0.0765,0.1305
5,0.0967,0.192,0.0853,0.1291
6,0.0984,0.0779,0.1102,0.1246
7,0.1023,0.0,0.1118,0.098
8,0.1037,0.0,0.1067,0.0828
9,0.1039,0.0,0.1109,0.0721
10,0.1044,0.0,0.1425,0.0084
