SOA2001,MDM_rank,Income_perc,Empl_perc,overall_imd_score,new_rank,agreement,2010_income_score
95LL23W1,164,17.1,27.5,34.17687107785805,164.0,True,34.0
95LL24S1,534,14.7,13.0,15.115005196813467,534.0,True,14.000000000000002
95LL24S2,577,10.9,16.7,13.49519964646029,577.0,True,23.0
95LL25S1,715,12.0,11.1,8.744841849987372,715.0,True,14.000000000000002
95LL25S2,767,10.5,11.4,7.011863419179084,767.0,True,8.0
95LL26S1,14,24.4,40.1,64.25391282690599,14.0,True,38.0
95LL26S2,772,8.9,14.4,6.903613852060978,772.0,True,13.0
95MM01S1,101,15.7,37.4,41.39625461397144,100.0,False,51.0
95MM01S2,545,15.2,15.7,14.67807337952662,545.0,True,22.0
95MM01S3,525,13.9,18.8,15.50295082208779,525.0,True,20.0
95MM02S1,621,11.1,19.9,12.186604763527178,621.0,True,26.0
95MM02S2,808,10.4,12.0,5.5295743652711105,808.0,True,11.0
95MM03W1,245,16.9,19.6,27.543946402555537,245.0,True,23.0
95MM04W1,196,13.0,35.8,30.85040431334904,197.0,False,44.0
95MM05W1,13,21.5,49.4,64.97774827881761,13.0,True,64.0
95MM06S1,226,13.1,32.3,28.71396393678819,226.0,True,41.0
95MM06S2,59,17.8,44.5,48.82798060176939,59.0,True,55.00000000000001
95MM07W1,287,13.1,28.7,25.276299458320384,287.0,True,37.0
95MM08S1,43,19.7,46.8,52.91735436410811,44.0,False,56.00000000000001
95MM08S2,633,9.5,18.0,11.752755848329423,633.0,True,18.0
95MM09S1,490,11.5,22.3,16.735649200059022,490.0,True,28.999999999999996
95MM09S2,340,14.3,19.0,22.57100697441476,340.0,True,20.0
95MM10S1,10,21.4,48.2,66.50126331917342,10.0,True,82.0
95MM10S2,69,19.0,39.5,47.23622112555935,69.0,True,64.0
95MM11W1,33,19.0,49.2,58.40033442361174,33.0,True,65.0
95MM12S1,142,18.0,30.4,35.96947740263185,142.0,True,34.0
95MM12S2,3,22.0,50.7,71.31017101003705,3.0,True,68.0
95MM12S3,149,17.0,30.4,35.70840998700424,148.0,False,47.0
95MM13S1,650,7.9,18.0,11.109868459235267,650.0,True,15.0
95MM13S2,22,19.9,47.1,62.38552430314529,22.0,True,65.0
95MM13S3,130,13.1,41.2,37.34432232432016,130.0,True,44.0
95MM13S4,300,14.3,25.6,24.738703551560274,300.0,True,47.0
95MM13S5,738,11.1,13.6,7.906986581499377,738.0,True,14.000000000000002
95MM14S1,416,13.2,26.0,19.423563868848618,416.0,True,22.0
95MM14S2,38,20.8,41.9,54.41222568277594,38.0,True,47.0
95MM15S1,421,14.3,22.0,19.241443622775588,421.0,True,20.0
95MM15S2,636,12.1,16.5,11.66251629003088,636.0,True,18.0
95MM16S1,180,17.1,26.6,32.65383164692894,180.0,True,45.0
95MM16S2,634,11.3,16.4,11.704125129190329,634.0,True,19.0
95MM17S1,713,9.3,17.8,8.830801399033001,713.0,True,17.0
95MM17S2,229,13.7,33.3,28.605906591694964,229.0,True,42.0
95MM18S1,470,13.1,19.1,17.47253960979732,470.0,True,31.0
95MM18S2,603,11.1,16.4,12.715714213736169,603.0,True,23.0
95MM19S1,630,8.9,19.5,11.827294049349652,630.0,True,17.0
95MM19S2,415,13.1,22.9,19.50078286384533,415.0,True,22.0
95MM20S1,274,13.4,32.0,25.774516969248417,273.0,False,34.0
95MM20S2,513,12.7,19.6,15.975919533746747,512.0,False,27.0
95MM21S1,278,14.7,26.2,25.70972026260043,277.0,False,27.0
95MM21S2,739,9.1,15.8,7.895374794275107,739.0,True,13.0
95MM22S1,419,12.0,21.8,19.372677358393783,419.0,True,27.0
95MM22S2,755,7.4,17.4,7.433610235959009,755.0,True,20.0
95MM23W1,68,19.2,39.0,47.519048089673035,68.0,True,46.0
95MM24W1,86,16.1,43.1,43.47188681540372,86.0,True,64.0
95MM25S1,19,18.7,51.3,62.840924741171385,19.0,True,66.0
95MM25S2,27,21.6,43.3,60.33400162180373,27.0,True,70.0
95MM25S3,51,20.1,40.5,51.30440551317715,51.0,True,48.0
95MM25S4,327,14.9,23.2,23.27122337193508,327.0,True,33.0
95MM26S1,144,16.4,32.8,35.78612810717403,144.0,True,47.0
95MM26S2,578,8.2,22.0,13.46585677542521,578.0,True,23.0
95MM27S1,5,23.2,51.9,69.45735238507568,5.0,True,59.0
95MM27S2,405,13.9,19.1,19.814232223437884,405.0,True,23.0
95MM28W1,6,23.0,51.5,68.35392809625682,6.0,True,60.0
95MM29W1,153,16.5,30.1,35.08379340426711,153.0,True,45.0
95MM30W1,45,19.7,45.0,52.43238045131712,45.0,True,64.0
95NN01S1,176,14.6,32.7,33.026630688469226,176.0,True,38.0
95NN01S2,305,14.4,24.7,24.616262722699496,304.0,False,26.0
95NN02W1,599,9.8,18.6,12.83537606846771,599.0,True,19.0
95NN03S1,396,15.5,21.0,20.34017615527383,395.0,False,18.0
95NN03S2,475,11.6,20.7,17.336643193402036,474.0,False,20.0
