pcon,lsoa11,pcds
N06000011,95VV29W1,156
N06000002,95WW16S2,43
E14000604,E01000782,29
E14000750,E01000850,545
E14000750,E01000918,1242
E14000656,E01001071,57
E14000674,E01001245,37
E14000692,E01001390,36
E14000687,E01001508,44
E14000720,E01001807,20
E14000593,E01002563,32
E14000593,E01002564,35
E14000764,E01002726,3429
E14000763,E01002756,35
E14000768,E01002852,56
E14000787,E01003200,406
E14000634,E01003673,35
E14000760,E01003752,43
E14000621,E01004084,49
E14000984,E01004145,38
E14001036,E01004727,91
E14000578,E01004768,46
E14000578,E01004801,27
E14000579,E01004817,218
E14000578,E01004819,26
E14000580,E01004835,53
E14000580,E01004836,40
E14000579,E01004838,34
E14000578,E01004864,38
E14000579,E01004892,44
E14000580,E01004899,21
E14000612,E01004945,57
E14000612,E01005006,80
E14000612,E01005054,59
E14000611,E01005060,46
E14000807,E01005067,69
E14000807,E01005108,124
E14000808,E01005178,29
E14000571,E01005223,90
E14000807,E01005225,65
E14000807,E01005226,71
E14000807,E01005228,109
E14000807,E01005229,68
E14000808,E01005230,48
E14000808,E01005231,22
E14000808,E01005232,72
E14000807,E01005240,71
E14000807,E01005241,46
E14000571,E01005250,76
E14000571,E01005251,58
E14000808,E01005284,38
E14000809,E01005296,56
E14000808,E01005298,28
E14000808,E01005299,48
E14000808,E01005301,82
E14000870,E01005322,27
E14000871,E01005376,73
E14000871,E01005378,33
E14000871,E01005380,18
E14000871,E01005394,38
E14000871,E01005434,200
E14000897,E01005473,51
E14000747,E01005488,29
E14000747,E01005587,25
E14000897,E01005588,24
E14000897,E01005590,48
E14000897,E01005592,13
E14000571,E01005610,71
E14001054,E01005638,42
E14001054,E01005695,72
E14000911,E01005696,76
E14001054,E01005697,88
E14000627,E01005798,25
E14000627,E01005803,25
E14000738,E01005807,27
E14000627,E01005815,18
E14000738,E01005824,22
E14000738,E01005827,35
E14000738,E01005829,14
E14000627,E01005830,49
E14000627,E01005831,26
E14000738,E01005832,34
E14000738,E01005838,165
E14000738,E01005840,51
E14000661,E01005862,25
E14000661,E01005863,20
E14000969,E01005866,38
E14000661,E01005915,67
E14000661,E01005916,40
E14000969,E01005917,109
E14000969,E01005919,29
E14000661,E01005920,17
E14000537,E01005938,50
E14000537,E01005944,40
E14000537,E01005951,56
E14000537,E01005963,20
E14000537,E01005965,54
E14000661,E01005967,35
E14000661,E01006009,38
E14000661,E01006013,14
E14001059,E01006165,117
E14000532,E01006166,28
E14000532,E01006169,31
E14000532,E01006170,48
E14000979,E01006171,59
E14000979,E01006185,117
E14000805,E01006217,46
E14000805,E01006220,38
E14001039,E01006236,57
E14000580,E01006242,73
E14000785,E01006244,124
E14000785,E01006245,85
E14000805,E01006272,67
E14000805,E01006281,20
E14000785,E01006282,43
E14000785,E01006288,31
E14000580,E01006292,64
E14000785,E01006293,67
E14001039,E01006310,74
E14000805,E01006322,20
E14000785,E01006327,76
E14000805,E01006405,32
E14000775,E01006424,47
E14000963,E01006461,27
E14000963,E01006463,273
E14000775,E01006466,51
E14000708,E01006532,46
E14000794,E01006540,23
E14000795,E01006552,20
E14000793,E01006557,24
E14000796,E01006565,13
E14000796,E01006567,38
E14000796,E01006569,25
E14000795,E01006576,30
E14000795,E01006580,21
E14000796,E01006584,25
E14000795,E01006594,20
E14000794,E01006604,22
E14000794,E01006606,32
E14000794,E01006648,131
E14000794,E01006659,40
E14000796,E01006660,16
E14000796,E01006663,25
E14000793,E01006680,17
E14000708,E01006681,41
E14000793,E01006682,26
E14000708,E01006683,28
E14000793,E01006684,47
E14000795,E01006691,38
E14000794,E01006693,39
E14000794,E01006698,29
E14000794,E01006700,19
E14000793,E01006703,54
E14000795,E01006711,73
E14000796,E01006717,24
E14000795,E01006718,20
E14000793,E01006721,55
E14000793,E01006723,214
E14000793,E01006724,13
E14000796,E01006730,15
E14000795,E01006746,53
E14000793,E01006747,147
E14000793,E01006748,26
E14000795,E01006751,66
E14000795,E01006752,49
E14000794,E01006762,16
E14000795,E01006773,19
E14000708,E01006774,23
E14000793,E01006779,104
E14000963,E01006844,48
E14000962,E01006874,25
E14000963,E01006876,29
E14000963,E01006877,110
E14000963,E01006879,36
E14000963,E01006881,42
E14000962,E01006899,38
E14000963,E01006900,72
E14000581,E01007021,28
E14000916,E01007023,35
E14000581,E01007025,13
E14000916,E01007026,21
E14000581,E01007106,59
E14000581,E01007108,34
E14001043,E01007111,72
E14001043,E01007112,53
E14001043,E01007115,84
E14000559,E01007173,44
E14001044,E01007183,83
E14001043,E01007184,76
E14001043,E01007185,85
E14001043,E01007188,69
E14001043,E01007192,41
E14001010,E01007223,74
E14000559,E01007290,104
E14001010,E01007299,42
E14001010,E01007306,72
E14000542,E01007318,44
E14000542,E01007322,46
E14000542,E01007344,55
E14000876,E01007379,26
E14000541,E01007380,51
E14000542,E01007399,54
E14000541,E01007414,53
E14000876,E01007424,69
E14000876,E01007442,50
E14000876,E01007444,45
E14000541,E01007445,54
E14000542,E01007459,69
E14000667,E01007620,43
E14000669,E01007632,37
E14000669,E01007634,41
E14000667,E01007635,36
E14000667,E01007640,50
E14000903,E01007684,36
E14000903,E01007685,59
E14000903,E01007686,39
E14000903,E01007687,71
E14001028,E01007688,47
E14000904,E01007699,92
E14000903,E01007701,29
E14000904,E01007708,37
E14000904,E01007710,19
E14000903,E01007712,36
E14000904,E01007714,815
E14001028,E01007720,64
E14000904,E01007724,20
E14001028,E01007727,37
E14000904,E01007728,26
E14000904,E01007737,45
E14001028,E01007784,99
E14000923,E01007825,41
