pcon,lsoa11,pcds
E14000923,E01007826,22
E14000923,E01007829,52
E14000920,E01007838,19
E14000920,E01007839,18
E14000921,E01007854,68
E14000919,E01007859,38
E14000922,E01007862,49
E14000919,E01007863,26
E14000919,E01007867,45
E14000921,E01007877,40
E14000919,E01007881,35
E14000920,E01007883,114
E14000919,E01007885,53
E14000920,E01007910,31
E14000920,E01007913,77
E14000923,E01007917,31
E14000922,E01007929,41
E14000922,E01007962,24
E14000923,E01007966,17
E14000923,E01007978,43
E14000923,E01007981,56
E14000921,E01007996,25
E14000919,E01008013,52
E14000919,E01008015,33
E14000919,E01008017,35
E14000919,E01008046,27
E14000919,E01008048,30
E14000919,E01008050,20
E14000876,E01008056,15
E14000919,E01008066,13
E14000922,E01008074,18
E14000921,E01008093,55
E14000923,E01008097,34
E14000923,E01008099,27
E14000922,E01008126,41
E14000922,E01008128,52
E14000922,E01008152,30
E14000919,E01008154,28
E14000922,E01008159,21
E14000919,E01008160,16
E14000574,E01008208,24
E14000709,E01008211,24
E14000709,E01008217,16
E14000709,E01008259,249
E14000765,E01008281,37
E14000765,E01008282,14
E14000765,E01008283,28
E14000833,E01008293,25
E14000831,E01008295,32
E14000833,E01008296,23
E14000831,E01008298,25
E14000833,E01008339,28
E14000833,E01008352,22
E14000831,E01008353,295
E14000831,E01008355,90
E14000831,E01008356,66
E14000833,E01008358,35
E14000831,E01008397,219
E14000831,E01008419,53
E14000831,E01008420,28
E14000853,E01008524,146
E14001006,E01008529,36
E14000853,E01008540,37
E14000853,E01008541,43
E14000853,E01008545,31
E14000944,E01008605,12
E14000765,E01008617,65
E14000944,E01008670,21
E14000944,E01008671,58
E14000944,E01008672,42
E14001020,E01008729,26
E14001020,E01008731,33
E14000754,E01008732,26
E14000754,E01008767,24
E14000982,E01008780,43
E14000982,E01008782,22
E14000982,E01008784,43
E14000754,E01008785,21
E14001020,E01008799,27
E14000982,E01008812,26
E14001020,E01008814,57
E14000982,E01008817,26
E14001020,E01008819,28
E14001020,E01008821,37
E14000754,E01008825,20
E14000982,E01008826,19
E14000754,E01008828,21
E14000564,E01008899,61
E14000566,E01008906,30
E14000566,E01008916,29
E14000567,E01008932,20
E14000562,E01008933,15
E14000567,E01008934,22
E14000567,E01008954,35
E14000565,E01008958,27
E14000567,E01008963,22
E14000565,E01008977,15
E14000560,E01008984,26
E14000564,E01008987,18
E14000560,E01008988,92
E14000560,E01008995,49
E14000562,E01008996,27
E14000561,E01009001,27
E14000562,E01009014,35
E14000568,E01009018,43
E14000564,E01009051,29
E14000566,E01009060,13
E14000566,E01009062,21
E14000560,E01009077,30
E14000560,E01009078,11
E14000563,E01009082,40
E14000563,E01009091,28
E14000563,E01009093,23
E14000560,E01009138,22
E14000564,E01009145,40
E14000563,E01009194,56
E14000564,E01009198,402
E14000564,E01009199,71
E14000565,E01009218,24
E14000566,E01009221,21
E14000565,E01009291,21
E14000565,E01009294,63
E14000567,E01009295,27
E14000563,E01009328,21
E14000563,E01009329,23
E14000564,E01009332,66
E14000564,E01009333,9
E14000563,E01009335,25
E14000568,E01009337,13
E14000568,E01009340,33
E14000564,E01009344,28
E14000566,E01009352,25
E14000566,E01009355,348
E14000564,E01009359,54
E14000564,E01009362,39
E14000562,E01009363,35
E14000564,E01009364,66
E14000562,E01009365,64
E14000985,E01009458,26
E14000985,E01009460,32
E14000985,E01009461,36
E14000560,E01009495,24
E14000565,E01009498,28
E14000560,E01009500,34
E14000565,E01009502,23
E14000565,E01009505,30
E14000651,E01009532,26
E14000649,E01009543,43
E14000649,E01009589,29
E14000649,E01009611,45
E14000651,E01009686,33
E14000650,E01009687,22
E14000650,E01009701,34
E14000650,E01009702,33
E14000651,E01009703,31
E14000649,E01009708,21
E14000976,E01009731,47
E14001050,E01009769,42
E14000671,E01009771,34
E14000671,E01009778,26
E14000722,E01009813,18
E14000672,E01009840,51
E14000672,E01009844,51
E14000976,E01009861,30
E14000722,E01009863,33
E14000672,E01009872,29
E14000672,E01009874,41
E14000976,E01009875,18
E14000976,E01009877,22
E14000672,E01009920,35
E14001016,E01009934,34
E14001016,E01009935,49
E14001029,E01009966,16
E14001029,E01009981,78
E14000722,E01009999,46
E14001030,E01010017,432
E14001030,E01010019,39
E14001016,E01010021,34
E14001016,E01010053,120
E14001030,E01010078,31
E14000722,E01010079,21
E14001030,E01010080,24
E14001029,E01010092,26
E14000812,E01010115,44
E14000931,E01010207,19
E14000812,E01010212,14
E14000812,E01010214,22
E14000812,E01010215,34
E14000931,E01010227,23
E14001011,E01010268,28
E14001012,E01010270,26
E14001012,E01010325,37
E14001012,E01010368,889
E14001011,E01010405,56
E14001051,E01010503,16
E14001051,E01010521,528
E14001051,E01010522,340
E14001050,E01010530,120
E14001051,E01010542,24
E14001051,E01010544,36
E14000925,E01010587,78
E14000925,E01010603,19
E14000925,E01010604,42
E14000588,E01010610,28
E14000587,E01010613,110
E14000587,E01010614,43
E14000587,E01010615,30
E14000588,E01010662,22
E14000588,E01010664,16
E14000587,E01010685,52
E14000587,E01010686,49
E14000587,E01010687,30
E14000587,E01010730,100
E14000589,E01010731,54
E14000587,E01010732,419
E14000589,E01010733,42
E14000587,E01010743,50
E14000587,E01010744,18
E14000588,E01010745,23
E14000588,E01010747,43
E14000588,E01010761,45
E14000925,E01010777,50
E14000925,E01010787,39
E14000925,E01010789,32
E14000589,E01010791,39
E14000589,E01010792,40
E14000589,E01010793,45
E14000589,E01010795,83
E14000589,E01010796,49
E14000589,E01010797,54
E14000589,E01010824,29
E14000614,E01010890,70
E14000614,E01010922,79
E14000723,E01010934,101
E14000614,E01010957,97
E14000614,E01010959,44
E14000723,E01010979,128
E14000723,E01010991,49
E14000548,E01011019,49
E14000548,E01011021,166
E14000666,E01011022,37
E14000666,E01011025,33
E14000548,E01011037,59
E14000756,E01011042,34
E14000756,E01011047,43
E14000756,E01011092,43
E14000666,E01011128,47
E14000666,E01011190,47
E14000756,E01011191,29
E14000666,E01011192,40
E14000756,E01011200,57
E14000645,E01011204,33
E14000756,E01011222,68
E14000756,E01011229,241
E14000756,E01011230,28
E14000756,E01011233,17
E14000756,E01011235,89
E14000756,E01011237,37
E14000756,E01011240,23
E14000780,E01011268,20
E14000780,E01011269,40
E14000886,E01011273,39
E14000886,E01011274,341
E14000780,E01011276,39
E14000781,E01011328,38
E14000781,E01011334,65
E14000781,E01011335,89
E14000781,E01011337,27
E14000777,E01011340,20
E14000781,E01011362,70
E14000777,E01011363,637
E14000780,E01011388,43
E14000778,E01011410,59
E14000778,E01011411,64
E14000778,E01011420,31
E14000778,E01011422,32
E14000778,E01011426,58
E14000778,E01011429,66
E14000777,E01011443,22
E14000777,E01011444,20
E14000780,E01011449,24
E14000777,E01011470,159
E14000781,E01011481,19
E14000781,E01011483,37
E14000777,E01011490,76
E14000826,E01011496,34
E14000777,E01011502,17
E14000826,E01011546,65
E14000689,E01011561,54
E14000886,E01011580,48
E14000886,E01011587,99
E14000781,E01011591,43
E14000886,E01011596,61
E14000777,E01011617,23
E14000777,E01011621,88
E14000778,E01011622,36
E14000778,E01011624,36
E14000689,E01011630,34
E14000689,E01011634,19
E14000689,E01011639,30
E14000779,E01011650,43
E14000779,E01011669,33
E14000777,E01011670,92
E14000779,E01011671,350
E14000777,E01011677,30
E14000781,E01011686,28
E14000780,E01011687,39
E14000780,E01011691,33
E14000780,E01011692,32
E14000780,E01011693,41
E14000689,E01011715,30
E14000836,E01011775,68
E14001009,E01011825,71
E14000826,E01011876,103
E14000826,E01011880,63
E14000826,E01011884,30
E14000826,E01011887,78
E14000826,E01011889,35
E14000826,E01011892,38
E14000740,E01011908,48
E14000740,E01011917,71
E14001009,E01011923,82
E14000971,E01012219,41
E14000970,E01012248,48
E14000970,E01012262,46
E14000970,E01012269,60
E14000573,E01012676,28
E14000914,E01013280,30
E14000889,E01016373,28
E14000822,E01016810,35
E14000822,E01016813,72
E14000538,E01017915,48
E14000680,E01022592,170
E14000828,E01023036,101
E14000536,E01024041,66
E14000943,E01024966,50
E14000792,E01026185,66
E14000816,E01026885,85
E14000810,E01028238,25
E14001026,E01029059,121
E14001026,E01029068,38
E14000932,E01029069,49
E14000834,E01029576,76
E14000754,E01032484,53
E14000777,E01032495,31
E14000780,E01032502,33
E14000794,E01032510,31
E14000970,E01032544,54
E14000872,E01032570,38
E14000760,E01032581,31
E14000996,E01032628,118
E14000911,E01032684,55
E14000665,E01032696,66
E14000545,E01032841,55
E14000780,E01032876,62
E14000911,E01032907,812
E14000911,E01032911,89
E14001028,E01032926,30
E14001028,E01032927,50
E14000780,E01032946,53
E14000942,E01032985,39
E14000778,E01033031,236
E14000777,E01033035,27
E14000982,E01033076,54
E14000773,E01033109,170
E14000920,E01033269,681
E14000919,E01033270,100
E14000876,E01033280,32
E14000571,E01033330,113
E14000970,E01033477,138
E14000566,E01033621,63
E14000564,E01033628,68
E14000564,E01033635,53
E14000564,E01033638,43
E14000563,E01033644,66
E14000563,E01033647,12
E14000807,E01033666,146
E14000571,E01033674,163
E14000589,E01033692,80
E14000587,E01033693,742
E14000793,E01033758,79
E14000796,E01033759,72
E14000795,E01033763,100
E14000793,E01033764,114
S14000002,S01006552,32
S14000001,S01006555,33
S14000001,S01006559,27
S14000002,S01006567,42
S14000002,S01006568,46
S14000001,S01006569,19
S14000002,S01006570,27
S14000002,S01006572,34
S14000002,S01006586,222
S14000001,S01006587,121
S14000002,S01006648,74
S14000001,S01006732,87
S14000001,S01006738,71
S14000037,S01006745,51
S14000037,S01006746,35
S14000037,S01006762,70
S14000037,S01006779,20
S14000037,S01006780,36
S14000037,S01006782,126
S14000001,S01006783,27
S14000037,S01006788,87
S14000058,S01006877,100
S14000037,S01006878,70
S14000058,S01006881,59
S14000058,S01006885,54
S14000058,S01006886,69
S14000058,S01006887,36
S14000058,S01006910,59
S14000037,S01006912,101
S14000037,S01006922,36
S14000037,S01006924,43
S14000058,S01006928,89
S14000007,S01006975,128
S14000007,S01006978,124
S14000037,S01006992,48
S14000007,S01006995,96
S14000037,S01006999,100
S14000007,S01007015,96
S14000007,S01007061,88
S14000007,S01007065,103
S14000016,S01007133,32
S14000015,S01007134,23
S14000015,S01007144,24
S14000004,S01007240,33
S14000014,S01007565,50
S14000014,S01007566,23
S14000014,S01007567,34
S14000013,S01007593,38
S14000014,S01007600,43
S14000013,S01007602,9
S14000013,S01007603,17
S14000013,S01007611,36
S14000013,S01007615,40
S14000013,S01007616,21
S14000013,S01007627,54
S14000014,S01007628,31
S14000016,S01007705,238
S14000015,S01007711,60
S14000015,S01007727,25
S14000016,S01007728,24
S14000015,S01007729,16
S14000015,S01007732,28
S14000015,S01007733,25
S14000015,S01007736,16
S14000015,S01007807,20
S14000016,S01007808,23
S14000016,S01007809,23
S14000016,S01007811,31
S14000040,S01007887,47
S14000006,S01007897,34
S14000040,S01007899,25
S14000006,S01007919,17
S14000006,S01007920,12
S14000018,S01008086,42
S14000018,S01008107,29
S14000018,S01008130,72
S14000018,S01008133,42
S14000018,S01008134,75
S14000018,S01008135,71
S14000018,S01008136,11
S14000012,S01008140,11
S14000012,S01008143,37
S14000018,S01008144,44
S14000012,S01008161,58
S14000025,S01008423,40
S14000025,S01008472,23
S14000026,S01008475,15
S14000025,S01008478,25
S14000025,S01008479,24
S14000025,S01008481,20
S14000025,S01008494,32
S14000025,S01008506,18
S14000025,S01008507,37
S14000024,S01008514,26
S14000024,S01008516,15
S14000025,S01008522,6
S14000025,S01008523,21
S14000025,S01008536,11
S14000024,S01008537,12
S14000024,S01008568,18
S14000022,S01008598,17
S14000024,S01008599,23
S14000024,S01008600,23
S14000022,S01008601,41
S14000024,S01008604,17
S14000024,S01008611,25
S14000024,S01008632,14
S14000024,S01008633,21
S14000024,S01008646,14
S14000025,S01008650,12
S14000025,S01008651,42
S14000025,S01008655,31
S14000025,S01008659,50
S14000025,S01008660,114
S14000022,S01008663,14
S14000022,S01008664,9
S14000023,S01008676,141
S14000023,S01008677,196
S14000022,S01008704,87
S14000023,S01008768,76
S14000023,S01008792,17
S14000023,S01008793,16
S14000022,S01008794,31
S14000022,S01008795,12
S14000023,S01008796,22
S14000023,S01008798,11
S14000022,S01008801,15
S14000023,S01008807,13
S14000023,S01008809,31
S14000023,S01008868,438
S14000026,S01008871,37
S14000026,S01008872,51
S14000026,S01008873,30
S14000026,S01008883,34
S14000026,S01008884,32
S14000023,S01008892,20
S14000026,S01008894,45
S14000026,S01008898,32
S14000026,S01008901,16
S14000023,S01008902,30
S14000023,S01008928,32
S14000025,S01008985,13
S14000025,S01008989,4
S14000025,S01008990,264
S14000025,S01008992,57
S14000026,S01008993,107
S14000028,S01009144,45
S14000028,S01009176,42
S14000028,S01009181,35
S14000043,S01009192,15
S14000043,S01009193,23
S14000028,S01009196,12
S14000043,S01009197,36
S14000043,S01009210,27
S14000028,S01009213,29
S14000017,S01009277,58
S14000017,S01009387,22
S14000017,S01009405,31
S14000017,S01009409,24
S14000017,S01009411,25
S14000041,S01009412,13
S14000041,S01009417,35
S14000036,S01009442,21
S14000036,S01009443,34
S14000041,S01009455,44
S14000041,S01009456,22
S14000041,S01009490,14
S14000041,S01009492,11
S14000041,S01009494,19
S14000041,S01009496,4
S14000041,S01009516,9
S14000036,S01009520,18
S14000036,S01009541,54
S14000036,S01009544,48
S14000036,S01009547,36
S14000036,S01009611,27
S14000049,S01009641,44
S14000049,S01009647,13
S14000036,S01009661,27
S14000049,S01009671,65
S14000035,S01009775,36
S14000035,S01009852,20
S14000035,S01009854,19
S14000035,S01009859,48
S14000035,S01009862,199
S14000029,S01009870,24
S14000029,S01009873,40
S14000029,S01009874,44
S14000034,S01009877,22
S14000034,S01009879,37
S14000029,S01009880,17
S14000029,S01009885,13
S14000029,S01009889,22
S14000029,S01009897,21
S14000034,S01009904,34
S14000029,S01009909,35
S14000029,S01009911,17
S14000034,S01009913,28
S14000034,S01009937,34
S14000034,S01010000,6
S14000034,S01010002,11
S14000029,S01010021,44
S14000029,S01010050,32
S14000030,S01010054,42
S14000029,S01010055,192
S14000030,S01010068,38
S14000030,S01010117,60
S14000032,S01010156,12
S14000030,S01010157,17
S14000030,S01010158,28
S14000030,S01010163,13
S14000032,S01010168,11
S14000032,S01010169,13
S14000032,S01010188,43
S14000032,S01010236,25
S14000030,S01010244,29
S14000030,S01010245,47
S14000032,S01010247,11
S14000032,S01010254,39
S14000030,S01010255,22
S14000029,S01010257,31
S14000029,S01010260,299
S14000029,S01010261,1148
S14000029,S01010262,36
S14000029,S01010290,40
S14000031,S01010297,71
S14000031,S01010314,41
S14000032,S01010326,26
S14000031,S01010327,22
S14000031,S01010345,11
S14000031,S01010384,31
S14000031,S01010385,18
S14000031,S01010387,19
S14000033,S01010396,26
S14000031,S01010397,15
S14000033,S01010398,290
S14000031,S01010399,26
S14000031,S01010400,25
S14000031,S01010403,31
S14000033,S01010412,27
S14000033,S01010413,31
S14000033,S01010466,16
S14000031,S01010467,19
S14000033,S01010468,17
S14000055,S01010528,21
S14000039,S01010656,20
S14000039,S01010657,9
S14000055,S01010663,28
S14000055,S01010693,25
S14000055,S01010695,15
S14000010,S01011182,19
S14000010,S01011233,23
S14000010,S01011291,10
S14000003,S01011417,32
S14000047,S01011419,9
S14000047,S01011420,32
S14000003,S01011422,14
S14000003,S01011426,32
S14000003,S01011429,38
S14000003,S01011446,85
S14000047,S01011448,24
S14000003,S01011452,12
S14000047,S01011453,10
S14000003,S01011457,17
S14000047,S01011458,23
S14000047,S01011459,13
S14000047,S01011497,13
S14000003,S01011498,7
S14000003,S01011504,46
S14000047,S01011512,21
S14000047,S01011521,20
S14000011,S01011522,63
S14000011,S01011523,30
S14000011,S01011525,18
S14000011,S01011600,85
S14000003,S01011685,20
S14000011,S01011688,15
S14000011,S01011689,22
S14000030,S01011696,7
S14000011,S01011719,17
S14000012,S01011723,12
S14000012,S01011726,6
S14000012,S01011789,69
S14000050,S01011873,41
S14000050,S01011878,55
S14000054,S01011905,18
S14000050,S01011908,9
S14000054,S01011995,36
S14000050,S01012004,27
S14000054,S01012018,61
S14000052,S01012030,150
S14000053,S01012032,35
S14000053,S01012051,15
S14000052,S01012066,8
S14000052,S01012067,20
S14000052,S01012068,31
S14000053,S01012127,216
S14000052,S01012134,29
S14000053,S01012137,28
S14000052,S01012138,17
S14000052,S01012145,10
S14000052,S01012153,89
S14000052,S01012155,19
S14000052,S01012220,9
S14000052,S01012243,21
S14000014,S01012262,38
S14000006,S01012450,45
S14000006,S01012499,16
S14000010,S01012507,28
S14000006,S01012509,17
S14000010,S01012510,12
S14000006,S01012511,16
S14000010,S01012517,32
S14000014,S01012573,32
S14000014,S01012580,21
S14000042,S01012582,35
S14000042,S01012586,22
S14000042,S01012588,20
S14000019,S01012632,26
S14000042,S01012633,24
S14000042,S01012636,33
S14000014,S01012641,25
S14000019,S01012649,15
S14000019,S01012652,22
S14000019,S01012681,27
S14000042,S01012682,12
S14000042,S01012683,10
S14000019,S01012695,26
S14000019,S01012699,41
S14000042,S01012700,24
S14000042,S01012726,12
S14000056,S01012727,6
S14000056,S01012731,13
S14000056,S01012733,32
S14000056,S01012777,11
S14000056,S01012790,14
S14000042,S01012791,24
S14000056,S01012792,14
S14000042,S01012797,19
S14000056,S01012820,62
S14000056,S01012836,11
S14000056,S01012891,17
S14000056,S01012897,22
S14000019,S01012900,99
S14000044,S01013337,33
S14000044,S01013348,16
S14000044,S01013357,16
S14000044,S01013358,23
S14000043,S01013360,12
S14000044,S01013365,13
S14000043,S01013380,63
S14000043,S01013401,62
S14000044,S01013404,158
S14000043,S01013434,26
S14000044,S01013453,19
S14000043,S01013454,22
S14000044,S01013455,39
S14000044,S01013466,21
W07000061,W01000086,65
W07000072,W01001465,108
W07000080,W01001881,28
W07000071,W01001898,43
N06000014,95AA01S1,35
N06000014,95AA01S2,71
N06000014,95AA01S3,67
N06000014,95AA02W1,50
N06000014,95AA03W1,51
N06000014,95AA04W1,118
N06000014,95AA05W1,56
N06000014,95AA06S1,45
N06000014,95AA06S2,39
N06000014,95AA07W1,72
N06000014,95AA08W1,79
N06000014,95AA09W1,60
N06000014,95AA10W1,30
N06000014,95AA11S1,93
N06000014,95AA11S2,50
N06000014,95AA12W1,91
N06000014,95AA13S1,58
N06000014,95AA13S2,27
N06000014,95AA14W1,73
N06000014,95AA15S1,122
N06000014,95AA15S2,31
N06000014,95AA16W1,30
N06000014,95AA17W1,39
N06000014,95AA18W1,87
N06000014,95AA19W1,73
N06000016,95BB01S1,54
N06000016,95BB01S2,57
N06000016,95BB02W1,80
N06000016,95BB03S1,44
N06000016,95BB03S2,82
N06000016,95BB04S1,62
N06000016,95BB04S2,60
N06000016,95BB05S1,46
N06000016,95BB05S2,86
N06000016,95BB06W1,215
N06000016,95BB07S1,63
N06000016,95BB07S2,29
N06000016,95BB08S1,31
N06000016,95BB08S2,21
N06000016,95BB09S1,37
N06000016,95BB09S2,56
N06000013,95BB10S1,79
N06000013,95BB10S2,97
N06000013,95BB11S1,31
N06000013,95BB11S2,46
N06000016,95BB12S1,35
N06000016,95BB12S2,33
N06000016,95BB13S1,53
N06000016,95BB13S2,68
N06000016,95BB13S3,58
N06000016,95BB14S1,72
N06000016,95BB14S2,66
N06000016,95BB15S1,49
N06000016,95BB15S2,47
N06000016,95BB16S1,53
N06000016,95BB16S2,60
N06000016,95BB17S1,75
N06000016,95BB17S2,81
N06000013,95BB18S1,42
N06000013,95BB18S2,66
N06000016,95BB19S1,94
N06000016,95BB19S2,63
N06000016,95BB19S3,44
N06000016,95BB20S1,58
N06000016,95BB20S2,31
N06000016,95BB21S1,53
N06000016,95BB21S2,68
N06000016,95BB22S1,20
N06000016,95BB22S2,31
N06000016,95BB23S1,72
N06000016,95BB23S2,57
N06000011,95CC01W1,70
N06000011,95CC02W1,94
N06000011,95CC03W1,121
N06000011,95CC04W1,101
N06000011,95CC05W1,86
N06000011,95CC06S1,38
N06000011,95CC06S2,35
N06000011,95CC07W1,111
N06000011,95CC08W1,70
N06000011,95CC09S1,47
N06000011,95CC09S2,54
N06000011,95CC10W1,87
N06000011,95CC11W1,65
N06000011,95CC12W1,111
N06000011,95CC13W1,113
N06000011,95CC14W1,70
N06000011,95CC15W1,71
N06000011,95CC16W1,92
N06000011,95CC17W1,85
N06000011,95CC18W1,113
N06000011,95CC19W1,111
N06000011,95CC20S1,25
N06000011,95CC20S2,39
N06000011,95CC21W1,88
N06000011,95CC22W1,85
N06000012,95DD01W1,70
N06000012,95DD02S1,18
N06000012,95DD02S2,53
N06000012,95DD03W1,75
N06000012,95DD04W1,36
N06000012,95DD05W1,39
N06000012,95DD06W1,57
N06000012,95DD07S1,47
N06000012,95DD07S2,45
N06000012,95DD08W1,168
N06000012,95DD09W1,106
N06000012,95DD10W1,60
N06000012,95DD11W1,41
N06000012,95DD12W1,62
N06000012,95DD13W1,59
N06000012,95DD14S1,32
N06000012,95DD14S2,68
N06000012,95DD15W1,133
N06000012,95DD16W1,91
N06000012,95DD17W1,87
N06000012,95DD18W1,77
N06000012,95DD19S1,39
N06000012,95DD19S2,48
N06000012,95DD20W1,36
N06000012,95DD21W1,61
N06000012,95DD22S1,54
N06000012,95DD22S2,45
N06000012,95DD23W1,85
N06000012,95DD24W1,46
N06000012,95EE01W1,36
N06000012,95EE02W1,62
N06000012,95EE03W1,42
N06000012,95EE04W1,54
N06000012,95EE05W1,63
N06000012,95EE06W1,50
N06000012,95EE07W1,43
N06000012,95EE08W1,91
N06000012,95EE09W1,49
N06000012,95EE10W1,53
N06000012,95EE11W1,62
N06000012,95EE12W1,57
N06000012,95EE13W1,82
N06000012,95EE14W1,71
N06000012,95EE15W1,71
N06000012,95EE16W1,57
N06000017,95FF01S1,48
N06000017,95FF01S2,70
N06000015,95FF02W1,119
N06000017,95FF03W1,56
N06000015,95FF04W1,130
N06000009,95FF05W1,72
N06000009,95FF06S1,62
N06000009,95FF06S2,55
N06000017,95FF07W1,57
N06000017,95FF08W1,71
N06000017,95FF09W1,81
N06000009,95FF10W1,125
N06000015,95FF11W1,130
N06000017,95FF12W1,87
N06000017,95FF13W1,104
N06000009,95FF14W1,101
N06000015,95FF15W1,67
N06000017,95FF16W1,55
N06000017,95FF17W1,86
