Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006560,Midstocket,Aberdeen City,1018,641,6953,6498.5,6817,6048,6720,6116,5547,5876
S01006561,Midstocket,Aberdeen City,728,443,6975,6888,6873,6714,6629,6844,3906,6509
S01006562,Midstocket,Aberdeen City,972,612,4724,4550,3514,4127,5671,3680,4252,4177.5
S01006563,Midstocket,Aberdeen City,677,395,5035,5609.5,4939,4954,6349,5453,90,2829
S01006564,Rosemount,Aberdeen City,1007,791,3336,3294,3088,3595,2578,6560,2221,608
S01006565,Rosemount,Aberdeen City,1000,888,3653,3675,3803,4499,2041,5613,3067,140
S01006566,Rosemount,Aberdeen City,761,618,5826,4950,5202,5938,5650,6722,2545,1947
S01006567,Rosemount,Aberdeen City,744,607,2656,2757,2013,3028,3539,6205,1695,275
S01006568,Rosemount,Aberdeen City,921,823,5931,5946,5682,6234,4018,6846,2570,649
S01006569,Rosemount,Aberdeen City,561,444,5320,4657,4000,4850,6566,6720,3977,1285
S01006570,Rosemount,Aberdeen City,739,537,6963,6712,6683,6906,6727,6493,4688,4238
S01006571,West End North,Aberdeen City,911,635,6414,6029,6230,6727,6699,6283,715,3853
S01006572,West End North,Aberdeen City,957,622,6930,6953,6902,6924,6972,3422,4036,6285
S01006573,West End North,Aberdeen City,790,535,6974,6702,6895,6893,6804,5395,5882,6618
S01006574,West End North,Aberdeen City,1017,661,6865,6496,6928,6841,6916,4775,2159,6086
S01006575,West End South,Aberdeen City,981,697,6960,6922,6933,6933,6934,4584,4482,5762
S01006576,West End South,Aberdeen City,730,527,6515,6639,5841,6599,6769,4761,1411,4755
S01006577,West End South,Aberdeen City,814,608,6717,6239,5906,6258,6628,6279,4208,1826
S01006578,West End South,Aberdeen City,1105,950,5471,5174,5030,5273,4547,6265,3517,566
S01006579,West End South,Aberdeen City,1048,922,6411,5893,5714,6631,5799,6301,3656,1024
S01006580,West End South,Aberdeen City,724,585,6296,5526,5502.5,6181,6547,6215,3888,1196
S01006581,West End South,Aberdeen City,949,648,6967,6939,6721,6786,6844,4704,6323,6019
S01006582,City Centre West,Aberdeen City,820,705,3921,5328,5465.5,6144,1721,4563,12,722
S01006583,City Centre West,Aberdeen City,695,616,5250,5114,6067,6666,1880,5730,2950,1568
S01006584,City Centre West,Aberdeen City,612,534,6357,6420,6009,6670,4634,6572,2961,640
S01006585,City Centre West,Aberdeen City,831,651,2375,2989,2304,2276,3097,6171,208,394
S01006586,City Centre West,Aberdeen City,1049,854,3228,3878,4407,3686,2926,5174,15,286
S01006587,City Centre East,Aberdeen City,571,500,1562,2398,1866,1922,1370,4030,16,184
S01006588,City Centre East,Aberdeen City,626,571,3265,4588,4289,5423,1656,5881,7,77
S01006589,City Centre East,Aberdeen City,680,572,3415,3779,3923,5558,2848,5486,89,250
S01006590,City Centre East,Aberdeen City,801,718,2720,4034,3850,3970,654,5112,501,231
S01006591,Ferryhill North,Aberdeen City,744,622,4598,4591,4350,4311,3592,6090,2238,522
S01006592,Ferryhill North,Aberdeen City,742,649,6908,6768,6762,6936,6870,4165,4431,2855.5
S01006593,Ferryhill North,Aberdeen City,837,694,6609,6022,6371,6909,5295,5287,4259,1917
S01006594,Ferryhill North,Aberdeen City,534,369,6383,5872,5508,6559,5979,6087,3005,2533
S01006595,Ferryhill North,Aberdeen City,956,808,6116,5461,5507,5651,5163,5624,5654,1991
S01006596,Ferryhill North,Aberdeen City,784,568,6881,6632,6660,6475,6613,5341,4310,2111
S01006597,Ferryhill North,Aberdeen City,530,467,3712,4262,3570,4394,2724,6368,665,391
