Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01007827,Fairmuir,Dundee City,608,441,3061,3315,2982,2772,2509,5679,1291,1645
S01007828,Law,Dundee City,965,614,1211,1169,613,1161,2277,5813,4218,1555
S01007829,Law,Dundee City,548,314,2033,1717,1454,1906,3791,4406,2603,3471
S01007830,Law,Dundee City,921,585,925,794,822,584,1504,6816,2543,1392
S01007831,Law,Dundee City,984,632,885,938,939,830,761,6590,935,558
S01007832,Law,Dundee City,631,411,1260,1287,875,1123,1684,6150,1658,2504
S01007833,Law,Dundee City,804,392,1827,1746,1653,1312,2070,6540,1254,3852
S01007834,Balgay,Dundee City,719,506,1050,825,858,1299,1309,4828,4075,719
S01007835,Balgay,Dundee City,678,422,3671,3244,2943,3154,5060,6530,1850,2135
S01007836,Balgay,Dundee City,558,342,3685,3561,2256,3047,6288,5329,3122,5241
S01007837,Balgay,Dundee City,774,437,5763,5980,4940,4964,4826,4940,2900,5646
S01007838,Balgay,Dundee City,1003,603,6273,5666,5318,5065,6411,5146,5935,4489
S01007839,Menzieshill,Dundee City,681,389,2369,3048,2790,2142,3045,3398,95,1786
S01007840,Menzieshill,Dundee City,714,481,1758,1852,1490,1433,2027,3998,3181,1014
S01007841,Menzieshill,Dundee City,664,422,1725,1866,1363.5,2151,1598,5079,1501,948
S01007842,Menzieshill,Dundee City,782,517,245,356,223,455,234,4818,391,489.5
S01007843,Menzieshill,Dundee City,712,485,1579,1737.5,1308,1659,1449,5477,1974,912
S01007844,Menzieshill,Dundee City,907,655,526,665,272,767,1146,3872,1073,619
S01007845,Charleston,Dundee City,925,598,380,263,465.5,411,618,4644,2060,416
S01007846,Charleston,Dundee City,744,469,1759,1928,1934,1808,1373,3763,832,1692
S01007847,Charleston,Dundee City,881,544,551,565,425,559,1098,3500,1926,718
S01007848,Charleston,Dundee City,827,554,375,348,423,577,434,6345,322,903
S01007849,Charleston,Dundee City,934,601,1093,716,1097,2018,1010,4900,2384,785
S01007850,Lochee,Dundee City,733,436,556,644,689,863,113,3647,3265,2834
S01007851,Lochee,Dundee City,963,554,2808,2539,2929,1732,2676,5737,3538,3858
S01007852,Lochee,Dundee City,695,478,327,297,300,745,304,4135,851,2131
S01007853,Lochee,Dundee City,643,403,25,56,13,72,90,6858,289,981
S01007854,Lochee,Dundee City,1097,683,334,310,267,430,760,6173,265,1451
S01007855,Lochee,Dundee City,542,361,416,581,180,1195,824,5610,223,252
S01007856,Lochee,Dundee City,923,547,2357,3172,2494,2845,934,4849,1114,2768
S01007857,Ardler and St Marys,Dundee City,505,333,818,707,692,1570,895,2257,2579,3049.5
S01007858,Ardler and St Marys,Dundee City,1078,659,801,935,659,558,1453,2932,1155,3724
S01007859,Ardler and St Marys,Dundee City,638,386,435,279,524,280,1511,2913,1799,1158
S01007860,Ardler and St Marys,Dundee City,652,451,2365,2213,2606,3026,1637,2419,4066,3785
S01007861,Ardler and St Marys,Dundee City,650,405,1240,1658,1657,1414,233,3908,2242,930
S01007862,Ardler and St Marys,Dundee City,722,441,1485,1562,1043,2212,2126,2112,3014,1965
S01007863,Ardler and St Marys,Dundee City,911,543,276,271,414,629,250,1915,727,1006
S01007864,Ardler and St Marys,Dundee City,933,581,1437,1482,1057,1844,2336,1953,3283,1290.5
S01007865,Western Edge,Dundee City,955,657,6021,6534,6738,6839,5896,1716,912,6748
S01007866,Western Edge,Dundee City,537,394,5548,5594.5,6033,5991,4095,1360,6726,4421
S01007867,Western Edge,Dundee City,670,428,5133,5590.5,6027.5,6612,5138,782,1708,3456
S01007868,Western Edge,Dundee City,826,510,6565,6450,6095,5932,5928,3154,5648,6172
S01007869,Western Edge,Dundee City,978,628,5802,5674,6004,5149,5980,2107,3125,6400
S01007870,Doon Valley South,East Ayrshire,536,344,2234,3153,2420,2135,2051,716,3301,3340
S01007871,Doon Valley South,East Ayrshire,654,406,158,134,288,144,199,2997,869,2528
S01007872,Doon Valley South,East Ayrshire,638,423,40,30,83,43,196,5036,472,2476.5
S01007873,Doon Valley South,East Ayrshire,645,379,2053,1878.5,2344,834,2527,6575,1871,3237
S01007874,Doon Valley South,East Ayrshire,709,446,1237,1193,1146,506,1949,6550,1433,4329
S01007875,Doon Valley North,East Ayrshire,550,358,2021,2574,1922,1635,2106,1092,5291,3187
S01007876,Doon Valley North,East Ayrshire,1096,695,2802,3060,3316,2553,3136,668,5466,4263
S01007877,Doon Valley North,East Ayrshire,701,455,1112,1425,1237,277,1992,2520,2215,3330
S01007878,Doon Valley North,East Ayrshire,690,375,1153,1593,949,1553,687,1821,3131.5,3519
S01007879,Doon Valley North,East Ayrshire,704,412,679,768,670,831,612,1771,2108,4689.5
S01007880,Doon Valley North,East Ayrshire,396,250,3660,4055.5,3826,4217,4425,400,6928,4255
S01007881,Mauchline Rural,East Ayrshire,524,324,1490,1652,1512,1543,2433,546,4467,3965
S01007882,Mauchline Rural,East Ayrshire,742,513,4344,5257.5,5547,5851,5188,393,664,5813
S01007883,Mauchline Rural,East Ayrshire,1042,671,3726,3886,3648,2817,4771,1228,5789,4983
S01007884,Mauchline Rural,East Ayrshire,630,413,2469,3239,3127,1206,2552,2022,2356,2072
S01007885,Mauchline Rural,East Ayrshire,690,458,229,204.5,240,111,837,2765,1814,1427
S01007886,Mauchline Rural,East Ayrshire,787,500,1258,1180,1326,652,2778,2328,1590,2927
S01007887,Mauchline Rural,East Ayrshire,583,384,4393,5010,4946,4323,4835,447,5383,4677
S01007888,Drongan,East Ayrshire,1000,622,970,1178,1423,1193,289,1681,2725,3191
S01007889,Drongan,East Ayrshire,488,286,1773,2099,1859,1710,1222,2643,1973,2420
S01007890,Drongan,East Ayrshire,745,481,2730,3058.5,3032,2689,2492,936,5792,4560
S01007891,Drongan,East Ayrshire,891,545,2955,3354,3240,2569,2897,1089,4882,3906
S01007892,Mauchline,East Ayrshire,678,400,3898,4013,3661,3083,2960,3958,3735,5028
S01007893,Mauchline,East Ayrshire,999,601,6031,5500.5,5453,4185,5256,5864,5720,5779
S01007894,Mauchline,East Ayrshire,845,564,2979,2564,2876,2687,2640,5541,3359,3260.5
S01007895,Mauchline,East Ayrshire,630,383,4119,3768,3840,2871,4070,5404,3042,4162
S01007896,Mauchline,East Ayrshire,820,500,1135,1540,1268,474,969,2933,3266,1570
S01007897,Cumnock Rural,East Ayrshire,467,286,3676,4159,4345,4472,4767,395,2028,5512
S01007898,Cumnock Rural,East Ayrshire,444,288,4311,4584,5035,4322,4374,891,2483,5560
S01007899,Cumnock Rural,East Ayrshire,368,236,3803,4518.5,3866,4683,4477,363,5484,4633
S01007900,Cumnock Rural,East Ayrshire,550,316,764,653,1368,1153,95,3799,3943,2232
S01007901,Cumnock Rural,East Ayrshire,669,410,1216,1215,1039,1497,1520,1640,2490,3745
S01007902,Cumnock Rural,East Ayrshire,805,473,291,370,283,910,137,883,5110,3234
S01007903,Cumnock Rural,East Ayrshire,600,350,1239,1677.5,596,1671,2455,1488,2519,3517
S01007904,Cumnock Rural,East Ayrshire,837,571,3941,4237,4174.5,4235,5144,588,3877,4447
S01007905,New Cumnock,East Ayrshire,603,387,585,419,803,776,513,3633,1402,2245
S01007906,New Cumnock,East Ayrshire,657,382,687,582,750,361,1026,6487,1175,4226
S01007907,New Cumnock,East Ayrshire,515,299,1813,1163,2195,1011,2424,5379,4067,4126.5
S01007908,New Cumnock,East Ayrshire,900,549,3179,3231,2937,2096,2844,6026,3212,3781
S01007909,Cumnock South and Craigens,East Ayrshire,500,321,2454,2173,2792,2808,2928,1485,3993,2137
S01007910,Cumnock South and Craigens,East Ayrshire,839,519,910,695,829,1593,774,3859,3164,3260.5
S01007911,Cumnock South and Craigens,East Ayrshire,786,493,2126,1817,1990.5,2134,2254,4056,2401,4894
S01007912,Cumnock South and Craigens,East Ayrshire,689,404,2072,2893,1228,1397,2383,4051,4524,4541
S01007913,Cumnock South and Craigens,East Ayrshire,605,381,631,333,696,622,1089,5868,2235,2808
S01007914,Cumnock South and Craigens,East Ayrshire,599,381,870,805,983.5,1777,457,3492,1212,1522.5
S01007915,Cumnock South and Craigens,East Ayrshire,820,510,2209,2333,1500,2107,2780,3835,4455,3565
S01007916,Cumnock North,East Ayrshire,839,483,1695,1731.5,1420,1421,1431,6328,2565,3419.5
S01007917,Cumnock North,East Ayrshire,791,467,1516,1481,1377,1825,1072,5816,1776,3423
S01007918,Cumnock North,East Ayrshire,804,517,1399,1559,1233,1007,2490,5532,264,3563
S01007919,Cumnock North,East Ayrshire,792,480,6372,6703,5651,5493,5714,2836,6409,5685
S01007920,Cumnock North,East Ayrshire,643,398,4998,4702,5291,4201,3568,2454,6785,5593
S01007921,Auchinleck,East Ayrshire,909,568,525,536,697,750,350,2757,958,1497
S01007922,Auchinleck,East Ayrshire,797,492,606,748,441,836,574,5158,852,1385
S01007923,Auchinleck,East Ayrshire,944,557,3499,3596,3458,2306,3410,4635,2354,3319
S01007924,Auchinleck,East Ayrshire,1047,621,1127,1192,1202,1050,807,5484,872,2538
S01007925,Northern and Irvine Valley Rural,East Ayrshire,440,282,4940,5986,5316,5703,5358,343,4411,6436.5
S01007926,Northern and Irvine Valley Rural,East Ayrshire,479,298,4369,4508,5761,4995,4867,356,3249.5,5884
S01007927,Northern and Irvine Valley Rural,East Ayrshire,767,515,4323,5080,5579.5,5197,4805,156,4529,6315
S01007928,Northern and Irvine Valley Rural,East Ayrshire,1024,592,4243,4855,4429,3895,5689,487,5349,4378
S01007929,Northern and Irvine Valley Rural,East Ayrshire,1530,1032,5124,5560,5629,5668,5363,571,5684,3561
S01007930,Northern and Irvine Valley Rural,East Ayrshire,638,413,5458,6679,6552,6862,6459,168,4921,5215
S01007931,Northern and Irvine Valley Rural,East Ayrshire,1145,655,4616,3900,4213,4457,5587,2570,3628,5351
S01007932,Stewarton East,East Ayrshire,803,437,6396,5848,5358,5010,6061,5199,6842,6819
S01007933,Stewarton East,East Ayrshire,835,511,4655,3654,4365,3584,4008,6097,5686,3712
S01007934,Stewarton East,East Ayrshire,700,445,2863,1916,2386,2986,4312,5629,4279,3476
S01007935,Stewarton East,East Ayrshire,798,512,2118,1702,1634,2280,3936,6548,1039,1766
S01007936,Stewarton East,East Ayrshire,991,661,6920,6423,6750,6094,6467,4636,6354,6792
S01007937,Stewarton West,East Ayrshire,995,618,5494,5170,5378,4135,5326,2633,6559,5527
S01007938,Stewarton West,East Ayrshire,698,418,2338,1880,2072,2541,2581,3989,5381,3788
S01007939,Stewarton West,East Ayrshire,766,452,1574,1555,1150,2129,1330,4338,4525,2574
S01007940,Darvel,East Ayrshire,1031,623,2524,2874,2002,2394,3863,1230,5765,5889
S01007941,Darvel,East Ayrshire,611,385,6209,6645,6505,4503,6060,1786,6170,5232
S01007942,Darvel,East Ayrshire,646,388,3252,2740,2797,3711,3910,3621,2754,4477
S01007943,Darvel,East Ayrshire,653,341,2487,2218,1610,2854,4293,3693,5261,3405
S01007944,Darvel,East Ayrshire,902,568,2187,2476,1822,2182,1759,3179,3728,4471
S01007945,Newmilns,East Ayrshire,820,511,1103,1068,737,1014,3105,1548,4015,3044
S01007946,Newmilns,East Ayrshire,710,482,1517,1910,1396,1608,2054,1458,1350,2494.5
S01007947,Newmilns,East Ayrshire,659,379,3302,3621,2532,3702,3002,3746,2817,3504.5
S01007948,Newmilns,East Ayrshire,608,338,504,557,282,927,779,2517,1964,4257
S01007949,Galston,East Ayrshire,668,383,4493,3882,4587,3479,4071,2689,6562,5814
S01007950,Galston,East Ayrshire,898,574,5503,5200,5177,4539,4581,3127,6863,5782.5
S01007951,Galston,East Ayrshire,925,589,3241,3279,2963,3221,2169,4790,3146,4866
S01007952,Galston,East Ayrshire,626,391,583,630,346,289,3151,5872,430,1524
S01007953,Galston,East Ayrshire,958,617,2286,1756,2759,2403,1663,4822,3249.5,2974
S01007954,Galston,East Ayrshire,697,468,666,453,814,699,757,3632,3159,2208
S01007955,Earlston and Hurlford Rural,East Ayrshire,791,520,1366,1207,1641,1580,1422,1216,5338,1416
S01007956,Earlston and Hurlford Rural,East Ayrshire,700,464,1345,856.5,1816,1770,1908,1491,2475,2546
S01007957,Earlston and Hurlford Rural,East Ayrshire,894,547,1563,1573,1623,1085,2284,3167,1334,3133
S01007958,Earlston and Hurlford Rural,East Ayrshire,780,495,729,856.5,571,683,1311,2551,1281,2035
S01007959,Earlston and Hurlford Rural,East Ayrshire,723,418,3605,3617,3359,2832,3270,3465,3693,5304
S01007960,Earlston and Hurlford Rural,East Ayrshire,696,443,2553,2994,2584,2431,2186,1501,4831,4621.5
S01007961,Earlston and Hurlford Rural,East Ayrshire,1069,800,3257,5635.5,4716,3958,2403,417,222,6658
S01007962,Shortlees,East Ayrshire,539,349,857,472,1138,1282,1238,1492,4898,1953
S01007963,Shortlees,East Ayrshire,963,576,22,18,86,73,44,2201,588,2255
S01007964,Shortlees,East Ayrshire,806,494,793,705,1214.5,1443,374,1903,1162,2356
S01007965,Shortlees,East Ayrshire,529,328,538,541,553.5,691,534,1974,3542,1540
S01007966,Shortlees,East Ayrshire,955,590,459,512,693,488,331,1988,875,1783
S01007967,Shortlees,East Ayrshire,589,375,545,528,881,858,226,1550,2873,1858
S01007968,Bellfield and Kirkstyle,East Ayrshire,914,566,2370,1840,2983,2818,2513,1593,5827,1763
S01007969,Bellfield and Kirkstyle,East Ayrshire,785,480,1871,1872,1687,1696,2090,2219,4110,3271
S01007970,Bellfield and Kirkstyle,East Ayrshire,794,508,1822,1651,2136,1688,1670,1797,4860,2162
S01007971,Bellfield and Kirkstyle,East Ayrshire,917,609,901,995,891,697,1601,2650,731,2967
S01007972,Bellfield and Kirkstyle,East Ayrshire,764,501,2293,2306,2661,2512,1935,2173,2740,2006
S01007973,Kilmarnock South Central and Caprington,East Ayrshire,745,470,5303,6134.5,4914,5121,4129,1391,6928,6684
S01007974,Kilmarnock South Central and Caprington,East Ayrshire,808,529,854,1018,745,946,1161,2634,788,2151
S01007975,Kilmarnock South Central and Caprington,East Ayrshire,629,375,1543,1831,1981,1453,1827,2572,190,1812
S01007976,Kilmarnock South Central and Caprington,East Ayrshire,655,444,572,642,260,892,1743,3402,685,4948
S01007977,Piersland,East Ayrshire,610,424,5172,4652,4985,3765,4697,4687,3930,5075.5
S01007978,Piersland,East Ayrshire,568,432,1691,1848,1286,1607,2469,4734,1016,1643
S01007979,Piersland,East Ayrshire,836,532,3602,3728,3303,2965,4760,4254,655,5680
S01007980,Piersland,East Ayrshire,694,444,4568,3783,4044,3683,4334,5627,3802,5635
S01007981,Piersland,East Ayrshire,503,260,5142,4474,4353,4462,4984,3856,6377,6081
S01007982,New Farm Loch South,East Ayrshire,526,291,4951,3827,4455,4956,4409,4688,4846,6331
S01007983,New Farm Loch South,East Ayrshire,792,467,1038,885,795,1385,1213,5159,1969,2563
S01007984,New Farm Loch South,East Ayrshire,791,433,3342,3587,3198,3322,3492,3954,690,4454
S01007985,New Farm Loch South,East Ayrshire,798,458,1573,1602,1334,2313,1578,2133,2441,4693
S01007986,Dean and New Farm Loch North,East Ayrshire,575,362,2946,3041,2990.5,2591,3028,2025,3252,5103
S01007987,Dean and New Farm Loch North,East Ayrshire,736,465,2954,2671.5,3387,2682,3586,1663,3131.5,4011
S01007988,Dean and New Farm Loch North,East Ayrshire,797,426,2301,2492,2498,2652,2440,1769,1265,4232
S01007989,Dean and New Farm Loch North,East Ayrshire,651,413,1252,930,1804,1426,1664,1330,1399,2056
S01007990,Dean and New Farm Loch North,East Ayrshire,874,592,2229,1881,2828,2954,2360,1103,3460,2616
S01007991,Southcraig and Beansburn,East Ayrshire,1045,722,5754,6323,6116,5517,5965,753,6197,6698
S01007992,Southcraig and Beansburn,East Ayrshire,629,453,5877,6286,6526,6154,5906,713,5881,5617
S01007993,Southcraig and Beansburn,East Ayrshire,768,470,6053,6608.5,6144,6366,5709,972,6118,6628
S01007994,Southcraig and Beansburn,East Ayrshire,877,593,5502,6554,5622,5525,6112,529,5756,6925
S01007995,Southcraig and Beansburn,East Ayrshire,843,546,5635,6411,6008,5856,5722,580,6448,6527
S01007996,Southcraig and Beansburn,East Ayrshire,476,286,6151,6436,6458,5971,5266,1531,4993,6765
S01007997,Southcraig and Beansburn,East Ayrshire,694,408,5543,6391,5767,4861,5241,1017,5087,6472
S01007998,Southcraig and Beansburn,East Ayrshire,523,312,4497,4864,3717,4091,5234,2273,2742,4967
S01007999,Altonhill North and Onthank,East Ayrshire,689,469,1372,1665,1482,1630,865,1395,3783,2592
S01008000,Altonhill North and Onthank,East Ayrshire,928,563,807,835,1002,908,532,1647,4151,1722
S01008001,Altonhill North and Onthank,East Ayrshire,875,519,88,148,132,156,139,1473,975,2026
S01008002,Altonhill North and Onthank,East Ayrshire,768,496,202,295,220,519,122,2176,565,645
S01008003,Altonhill North and Onthank,East Ayrshire,689,432,1819,1455,2307.5,1928,2409,1634,1446,3939
S01008004,Altonhill North and Onthank,East Ayrshire,644,456,4295,4036.5,5270,4260,3118,1263,6231,3891
S01008005,"Altonhill South, Longpark and Hillhead",East Ayrshire,790,527,3221,2926,3890,3391,3835,909,4128,4524
S01008006,"Altonhill South, Longpark and Hillhead",East Ayrshire,577,366,72,104,96,127,87,2946,1390,1017
S01008007,"Altonhill South, Longpark and Hillhead",East Ayrshire,466,310,31,32,64,266,10,3891,191,1940
S01008008,"Altonhill South, Longpark and Hillhead",East Ayrshire,708,467,541,372,597,665,1333,1989,1342,2110
S01008009,"Altonhill South, Longpark and Hillhead",East Ayrshire,814,545,460,677,507,306,454,2220,1081,2526
S01008010,"Altonhill South, Longpark and Hillhead",East Ayrshire,706,507,1190,1642,807,1823,1074,2594,758,5398
S01008011,"Altonhill South, Longpark and Hillhead",East Ayrshire,635,409,136,296,117,183,156,3522,124,2057
S01008012,Bonnyton and Town Centre,East Ayrshire,889,653,1117,986,1223,1210,2236,5540,18,2198
S01008013,Bonnyton and Town Centre,East Ayrshire,736,404,1505,1374,917,1390,3935,5954,1287,2285.5
S01008014,Bonnyton and Town Centre,East Ayrshire,621,407,4353,3441,4148,3759,3979,5507,3733,4168
S01008015,Bonnyton and Town Centre,East Ayrshire,962,678,1782,1697,1708,1804,1773,4115,2197,979
S01008016,Bonnyton and Town Centre,East Ayrshire,750,456,2339,2183,2096,1972,3469,3407,3177,2383
S01008017,"Grange, Howard and Gargieston",East Ayrshire,892,532,6476,5959.5,6368,5527,6313,3228,5085,6324
S01008018,"Grange, Howard and Gargieston",East Ayrshire,584,342,5895,5169,6300,5036,5207,2742,5385,6245
S01008019,"Grange, Howard and Gargieston",East Ayrshire,748,477,6649,5799,6379,4907,5990,6036,5514,6098
S01008020,"Grange, Howard and Gargieston",East Ayrshire,556,392,4830,4061,4422.5,3891,5224,4058,4617,3345
S01008021,"Grange, Howard and Gargieston",East Ayrshire,556,326,6567,5938,6570,5120,5553,4255,6074,6764
S01008022,"Grange, Howard and Gargieston",East Ayrshire,714,420,6477,6504,6498,5313,5784,2376,6593,6903
S01008023,"Grange, Howard and Gargieston",East Ayrshire,698,497,6652,6786.5,6843,6516,5828,1699,6807,6964
S01008024,"Grange, Howard and Gargieston",East Ayrshire,1063,702,6196,6969,6943,6658,6321,617,5026,6617
S01008025,"Crosshouse, Gatehead and Kilmaurs Rural",East Ayrshire,605,364,4855,5166,4851.5,3839,4833,1254,6767,5513
S01008026,"Crosshouse, Gatehead and Kilmaurs Rural",East Ayrshire,930,585,2275,2289,2537,1715,2311,1800,6082,3116
S01008027,"Crosshouse, Gatehead and Kilmaurs Rural",East Ayrshire,561,332,1985,2313,3508.5,1850,1120,1577,460,3715
S01008028,"Crosshouse, Gatehead and Kilmaurs Rural",East Ayrshire,591,405,4181,5197.5,4521,3555,2950,1032,6755,3497
S01008029,"Crosshouse, Gatehead and Kilmaurs Rural",East Ayrshire,1546,967,4007,4559,4355,3365,4544,844,4070,3975
S01008030,Kilmaurs,East Ayrshire,1007,622,3734,3409,3386,3309,5100,2598,2611,5514
S01008031,Kilmaurs,East Ayrshire,868,540,2236,1988.5,2025,2126,3087,3265,2680,3514
S01008032,Kilmaurs,East Ayrshire,870,547,3019,3226,3063,2165,2555,2536,5743,4849
S01008033,West Clober and Mains Estate,East Dunbartonshire,813,560,6157,6597,6417,6680,6578,1016,3619,6647
S01008034,West Clober and Mains Estate,East Dunbartonshire,755,519,6799,6545,6887,6642,6796,2184,6100,6773
S01008035,West Clober and Mains Estate,East Dunbartonshire,563,330,4483,4024.5,3398.5,4226,5716,2861,6091,4522
S01008036,West Clober and Mains Estate,East Dunbartonshire,622,349,6010,6098,5705,5095,5637,2152,6773,4857
S01008037,East Clober and Mains Estate,East Dunbartonshire,995,598,2457,2247,2222,2124,3044,4282,3364,2475
S01008038,East Clober and Mains Estate,East Dunbartonshire,779,488,3367,2597,3522.5,2650,3349,5381,4820,1920.5
S01008039,East Clober and Mains Estate,East Dunbartonshire,869,561,4096,3815,3496,3186,4112,4174,6010,2773
S01008040,East Clober and Mains Estate,East Dunbartonshire,834,464,5718,5791,5326,5988,5847,1500,5683,5316
S01008041,Barloch,East Dunbartonshire,677,357,4739,4435,3463,3919,6044,3945,4486,5227
S01008042,Barloch,East Dunbartonshire,617,363,5924,5284.5,5280.5,6097,6622,3029,3464,6391.5
S01008043,Barloch,East Dunbartonshire,1054,577,6603,6660,6688,6613,6822,1422,6209,6700
S01008044,Barloch,East Dunbartonshire,965,571,6634,6494,6770,6365,6550,1864,6123,6099
S01008045,Keystone and Dougalston,East Dunbartonshire,1054,581,5518,5425,6213,5658,6247,908,4489,4182
S01008046,Keystone and Dougalston,East Dunbartonshire,874,487,1875,1947,1009,1633,4227,5502,1611,3337
S01008047,Keystone and Dougalston,East Dunbartonshire,664,370,6821,5571,6574,6294,6637,5284,5949,5890.5
S01008048,Keystone and Dougalston,East Dunbartonshire,587,330,6311,6103,5527,5979,6338,3108,4749,6802
S01008049,Keystone and Dougalston,East Dunbartonshire,822,427,6875,6883,6671.5,6312,6592,3503,4928,6683
S01008050,Kilmardinny East,East Dunbartonshire,604,316,6138,6633.5,6737,6225,6892,803,4194,5965
S01008051,Kilmardinny East,East Dunbartonshire,874,513,6777,6510.5,6562.5,6384,6941,2774,5036,6460
S01008052,Kilmardinny East,East Dunbartonshire,850,488,6553,6690.5,6282,6014,6887,2333,3921,6816
S01008053,Kilmardinny East,East Dunbartonshire,599,309,6858,6041,6409,6368,6910,5192,5094,6005
S01008054,Kilmardinny West,East Dunbartonshire,897,441,5858,4866.5,5279,4077,6564,5788,4463,6379
S01008055,Kilmardinny West,East Dunbartonshire,1196,703,6809,6848,6675,6785,6894,2098,5800,6788
S01008056,Kilmardinny West,East Dunbartonshire,775,406,6073,5222,5849,5182,6921,3001,5575,4702
S01008057,Kilmardinny West,East Dunbartonshire,889,510,6254,5949,6353,6503,6841,1370,6037,5817.5
S01008058,North Castlehill and Thorn,East Dunbartonshire,883,562,6335,6461,6894,6781,6917,857,5539,6604
S01008059,North Castlehill and Thorn,East Dunbartonshire,689,385,6576,6587,6289,6042,6536,2104,6299,6373
S01008060,North Castlehill and Thorn,East Dunbartonshire,850,494,6203,6120,6225,6037,6750,1456,5220,6288
S01008061,North Castlehill and Thorn,East Dunbartonshire,1212,638,5357,4988,5912.5,4335,6449,1294,5639,4656
S01008062,North Castlehill and Thorn,East Dunbartonshire,847,476,6164,6176,5935,5540,5877,2168,5984,4652
S01008063,South Castlehill and Thorn,East Dunbartonshire,901,515,6329,5686,6436,5911,6498,2164,6049,6136
S01008064,South Castlehill and Thorn,East Dunbartonshire,703,452,2411,1857,1916,2796,3640,4873,3610,2499
S01008065,South Castlehill and Thorn,East Dunbartonshire,942,590,6764,6520,5859,6547,6710,3313,6526,6767
S01008066,South Castlehill and Thorn,East Dunbartonshire,955,556,6970,6915,6655,6799,6948,5913,4227,6831
S01008067,South Castlehill and Thorn,East Dunbartonshire,713,426,6555,6055,6604,6458,6591,2263,5140,6717
S01008068,Westerton West,East Dunbartonshire,1041,619,6422,5732,6066,5452,5988,4171,5371,5621
S01008069,Westerton West,East Dunbartonshire,918,573,6032,5782,5660,4853,4929,5119,3948,4434
S01008070,Westerton West,East Dunbartonshire,923,549,4339,4136,4254,4546,5588,910,6304,3630
S01008071,Westerton East,East Dunbartonshire,670,424,5084,4738,4861,5822,6232,1167,4186,6316
S01008072,Westerton East,East Dunbartonshire,868,505,5418,5554,5999.5,4133,6370,1150,4827,5922
S01008073,Westerton East,East Dunbartonshire,442,272,6162,6834,6395,5987,6689,1217,2998,6232
S01008074,Westerton East,East Dunbartonshire,1059,581,5705,5768,5703,5241,6565,1412,4146,6236
S01008075,Westerton East,East Dunbartonshire,601,337,6669,6387,6782,6531,6633,2610,3641,6184
S01008076,Kessington West,East Dunbartonshire,639,252,6533,6464,6525,4940,6173,3939,3563,5859.5
S01008077,Kessington West,East Dunbartonshire,829,428,6916,6729,6194,6106,6807,6093,4043,6873
S01008078,Kessington West,East Dunbartonshire,859,508,6646,5714,6257,6385,6494,3616,6233,6333.5
S01008079,Kessington West,East Dunbartonshire,916,477,6586,6101,5352,6467,6885,4739,4111,6611
S01008080,Kessington East,East Dunbartonshire,696,383,5850,5515,4877,5566,6356,3433,4029,5950
S01008081,Kessington East,East Dunbartonshire,603,362,6653,6150,6765,6404,6577,2641,4493,6458
S01008082,Kessington East,East Dunbartonshire,871,504,6235,6155,5471,6331,6377,2621,4381,6364
S01008083,Kessington East,East Dunbartonshire,709,419,6370,6490.5,6052,5835,6639,1767,6324.5,6405
S01008084,Torrance and Balmore,East Dunbartonshire,864,506,4656,4780.5,4596,4759,6037,705,5736,3947
S01008085,Torrance and Balmore,East Dunbartonshire,916,580,5265,6040,5354,5386,6600,539,4734,6154
S01008086,Torrance and Balmore,East Dunbartonshire,1027,668,4516,5100,4752,4008,5411,709,3762,5675
S01008087,Bishopbriggs North and Kenmure,East Dunbartonshire,804,464,6106,5914,5557,5349,6207,2459,6419,6464
S01008088,Bishopbriggs North and Kenmure,East Dunbartonshire,847,497,5565,5397.5,5026,4228,6466,2247,6661,5821
S01008089,Bishopbriggs North and Kenmure,East Dunbartonshire,645,393,6011,5680.5,5735,5842,6515,1824,5914,4911
S01008090,Bishopbriggs North and Kenmure,East Dunbartonshire,745,449,5221,4491,4385,4944,6178,2837,6360,5168
S01008091,Bishopbriggs North and Kenmure,East Dunbartonshire,337,195,5535,6144.5,5156.5,4328,6647,1209,5975,6936
S01008092,Bishopbriggs North and Kenmure,East Dunbartonshire,917,511,6282,5441,6030,4928,6869,3638,5595,5971
S01008093,Bishopbriggs North and Kenmure,East Dunbartonshire,826,491,6304,5894.5,5834,5138,6074,3654,5672,6036
S01008094,Bishopbriggs West and Cadder,East Dunbartonshire,1460,1080,5925,6308,6599,6259,5702,2242,845,6301
S01008095,Bishopbriggs West and Cadder,East Dunbartonshire,710,426,4783,4242.5,4504,4351,4109,3262,5129,4816
S01008096,Bishopbriggs West and Cadder,East Dunbartonshire,752,421,6056,5535,5597,3652,6209,5111,6372,5058.5
S01008097,Bishopbriggs West and Cadder,East Dunbartonshire,616,339,6020,5506.5,5929,4298,5107,4673,5155,5575
S01008098,Bishopbriggs West and Cadder,East Dunbartonshire,737,454,5901,6034,5407,4482,6152,2806,5770,3483
S01008099,Bishopbriggs West and Cadder,East Dunbartonshire,527,338,4097,5657.5,4708,4960,2801,3523,35,4885
