nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01012672,88.139,47.4,39.6,94.27436459813507,1,1,56.0,1,1
E,E01012673,88.774,60.9,45.9,94.20769042160714,1,1,57.0,1,1
E,E01012671,88.026,46.9,39.4,94.16806585958128,1,1,58.0,1,1
N,95LL12S2,50.90721060297203,17.2,38.4,94.0695209739282,1,1,59.0,1,1
E,E01012681,88.408,49.9,46.400000000000006,93.71615148923608,1,1,60.0,1,1
E,E01012751,88.023,54.900000000000006,45.1,93.43333826176683,1,1,61.0,1,1
N,95GG07S2,47.740666224690735,15.8,41.4,93.29258084483976,1,1,62.0,1,1
E,E01012670,87.112,54.300000000000004,39.2,93.12639948990461,1,1,63.0,1,1
E,E01012737,87.371,50.2,42.199999999999996,93.04399178132951,1,1,64.0,1,1
N,95LL09S1,50.22471006434207,17.5,37.7,92.7116264245453,1,1,65.0,1,1
E,E01012682,86.803,53.900000000000006,39.800000000000004,92.68859380173623,1,1,66.0,1,1
N,95GG46S1,44.29113408303969,11.7,44.4,92.20919548316562,1,1,67.0,1,1
N,95GG20S2,50.66650761366025,19.7,36.3,91.95240540760764,1,1,68.0,1,1
N,95GG46S2,44.76252353597599,11.1,43.5,91.9240336365074,1,1,69.0,1,1
N,95LL14S1,44.24431336678206,13.4,43.2,91.0976593051531,1,1,70.0,1,1
N,95MM10S2,47.23622112555935,19.0,39.5,91.06666674527688,1,1,71.0,1,1
N,95MM23W1,47.51904808967304,19.2,39.0,90.93092351999164,1,1,72.0,1,1
N,95GG20S1,51.61222009348851,19.6,33.7,90.6780355311665,1,1,73.0,1,1
E,E01006547,84.368,45.5,36.8,90.22997783325347,1,1,74.0,1,1
S,S01007465,86.0561996136279,47.0,35.0,90.22617271560686,1,1,75.0,1,1
N,95MM24W1,43.47188681540372,16.1,43.1,90.1728017764069,1,1,76.0,1,1
S,S01007801,83.72270864723093,46.0,31.0,90.15724514730982,1,1,77.0,1,1
N,95GG28S3,48.74283929964843,19.0,36.5,90.04608578843025,1,1,78.0,1,1
E,E01024858,83.799,47.599999999999994,35.3,89.75795562776764,1,1,79.0,1,1
E,E01012674,83.919,46.1,37.4,89.62868716586267,1,1,80.0,1,1
E,E01006558,83.903,46.2,40.1,89.26363374011424,1,1,81.0,1,1
E,E01012683,84.357,52.0,44.5,89.22933828986856,1,1,82.0,1,1
S,S01012068,87.51609178279995,50.0,39.0,89.05360152276795,1,1,83.0,1,1
E,E01024908,82.749,44.0,31.4,89.03212967977674,1,1,84.0,1,1
S,S01010122,86.2874653157124,46.0,37.0,88.93119672372772,1,1,85.0,1,1
E,E01012679,82.897,48.699999999999996,34.300000000000004,88.83293023501315,1,1,86.0,1,1
N,95GG04S2,44.74787974162832,12.5,40.0,88.81407567898749,1,1,87.0,1,1
N,95GG31S3,44.96413513500166,15.7,39.4,88.51783975521461,1,1,88.0,1,1
S,S01010326,83.10562442220164,45.0,32.0,88.46846984065549,1,1,89.0,1,1
S,S01010644,84.77049346708729,46.0,35.0,88.39901522273306,1,1,90.0,1,1
E,E01006611,82.675,51.0,37.3,88.18883484782373,1,1,91.0,1,1
N,95GG39S3,47.71345975248646,17.0,35.6,88.13575294562695,1,1,92.0,1,1
S,S01010245,88.56904062035917,51.0,42.0,88.11452782830483,1,1,93.0,1,1
E,E01022025,83.878,46.300000000000004,49.2,88.06704673607665,1,1,94.0,1,1
N,95CC03W1,48.70830007416728,20.2,34.2,87.97541761543562,1,1,95.0,1,1
S,S01012067,84.46136597850825,48.0,35.0,87.95970441401505,1,1,96.0,1,1
E,E01012675,82.236,51.0,35.699999999999996,87.88144862038233,1,1,97.0,1,1
N,95VV09W1,49.4758508986695,25.7,33.1,87.83416086665629,1,1,98.0,1,1
E,E01012897,82.194,49.7,36.4,87.74260364525038,1,1,99.0,1,1
E,E01007122,82.666,54.900000000000006,41.4,87.65235670830596,1,1,100.0,1,1
S,S01010891,89.20058602807556,48.0,44.0,87.3884019312615,1,1,101.0,1,1
S,S01010114,82.82911321180518,44.0,33.0,87.26369357004164,1,1,102.0,1,1
S,S01007963,81.08993564348918,46.0,30.0,87.22754600527598,1,1,103.0,1,1
E,E01013139,81.738,49.5,37.1,87.12031023156052,1,1,104.0,1,1
E,E01013138,81.548,47.599999999999994,35.8,87.06520822515115,1,1,105.0,1,1
N,95BB22S2,46.599019809219016,19.9,35.5,86.84053179346171,1,1,106.0,1,1
E,E01026383,81.3,45.300000000000004,36.7,86.66014978591608,1,1,107.0,1,1
W,W01000240,86.6,61.0,43.0,86.6,1,1,108.0,1,1
S,S01009975,82.86943737512416,46.0,34.0,86.50918202644125,1,1,109.0,1,1
N,95VV15S1,46.68529895576916,19.2,34.8,86.3151427440581,1,1,110.0,1,1
E,E01030258,81.147,43.9,38.1,86.30188509589249,1,1,111.0,1,1
S,S01012492,83.21439319040907,42.0,35.0,86.18759211657009,1,1,112.0,1,1
E,E01007127,81.054,50.4,38.2,86.18045586235682,1,1,113.0,1,1
N,95GG48S1,45.805343469378585,16.9,35.4,85.8926630352188,1,1,114.0,1,1
S,S01011598,88.10305197070684,45.0,44.0,85.82866172001555,1,1,115.0,1,1
E,E01006874,81.0,51.300000000000004,41.099999999999994,85.74537094757221,1,1,116.0,1,1
S,S01010862,82.83404281166145,43.0,35.0,85.64706421576165,1,1,117.0,1,1
N,95SS16S2,40.43942772299307,12.1,41.5,85.47452972076198,2,1,118.0,1,1
S,S01010129,79.25801638401158,45.0,29.0,85.43596533880944,1,1,119.0,1,1
E,E01012736,80.117,42.4,38.7,85.02213176472841,1,1,120.0,1,1
S,S01010499,80.04437806293784,42.0,31.0,84.92985372008388,1,1,121.0,1,1
E,E01006540,79.58,44.6,34.599999999999994,84.9210184852785,1,1,122.0,1,1
E,E01012622,79.94,48.1,37.9,84.91806801970023,1,1,123.0,1,1
S,S01012489,82.17423540456834,45.0,35.0,84.70939113162216,1,1,124.0,1,1
S,S01010054,78.6208275181664,40.0,29.0,84.53043617591527,1,1,125.0,1,1
N,95VV10S2,45.67017277400519,17.5,34.0,84.50864762493475,1,1,126.0,1,1
S,S01010493,79.7459412155075,45.0,31.0,84.50573571816007,1,1,127.0,1,1
S,S01011609,78.60205443770506,40.0,29.0,84.50375716009074,1,1,128.0,1,1
E,E01025117,79.13,42.3,34.0,84.47250203609072,1,1,129.0,1,1
S,S01008007,79.52828059784784,44.0,31.0,84.19641136007834,1,1,130.0,1,1
E,E01011372,78.577,45.0,31.3,84.17310579628497,1,1,131.0,1,1
E,E01006562,78.655,42.199999999999996,32.2,84.1487338086679,1,1,132.0,1,1
N,95GG44S2,47.94087178225461,16.6,30.8,84.13867808725327,1,1,133.0,1,1
E,E01006760,79.006,38.800000000000004,35.9,84.0839596050738,1,1,134.0,1,1
N,95HH13W1,47.72258539779048,19.2,31.0,84.07910320298801,1,1,135.0,1,1
E,E01012895,78.352,48.3,30.599999999999998,84.00016156104265,1,1,136.0,1,1
E,E01008427,79.298,49.4,40.400000000000006,83.84766018153283,1,1,137.0,1,1
S,S01009622,84.98470540365814,52.0,41.0,83.83253365989793,1,1,138.0,1,1
E,E01028276,78.837,45.5,37.3,83.70701091742482,1,1,139.0,1,1
N,95WW14W1,43.95934969632406,17.2,35.1,83.62844223847915,1,1,140.0,1,1
N,95VV02W1,42.24460013094736,14.7,37.2,83.62801354848219,2,1,141.0,1,1
N,95DD04W1,43.581596637710106,16.5,35.5,83.57298787357047,1,1,142.0,1,1
N,95NN17W1,42.5963536901841,17.3,36.5,83.39010466137447,1,1,143.0,1,1
S,S01010118,76.6092886015822,40.0,27.0,83.29540984028907,1,1,144.0,1,1
E,E01012889,78.298,46.5,35.699999999999996,83.2828497048245,1,1,145.0,1,1
E,E01005482,79.3,51.2,44.9,83.27271330103102,1,1,146.0,1,1
E,E01026625,78.389,47.699999999999996,37.4,83.17103048657502,1,1,147.0,1,1
E,E01005202,77.768,47.3,32.0,83.13859668498417,1,1,148.0,1,1
N,95LL13S2,44.616644555378784,16.2,33.7,83.10258157047474,1,1,149.0,1,1
E,E01024609,77.896,43.9,33.6,83.08281270858137,1,1,150.0,1,1
E,E01012855,78.371,46.300000000000004,38.0,83.07304000521906,1,1,151.0,1,1
N,95GG32S2,42.78725400392207,17.3,35.7,82.8896061885997,1,1,152.0,1,1
N,95MM01S1,41.39625461397144,15.7,37.4,82.8861525642592,2,1,153.0,1,1
N,95GG17S1,42.03211593385155,16.3,36.6,82.86749888008973,2,1,154.0,1,1
E,E01012058,77.977,48.9,36.1,82.85668801311286,1,1,155.0,1,1
N,95GG26S1,42.9197798283458,13.8,35.5,82.85631163407612,1,1,156.0,1,1
E,E01012655,78.945,53.5,45.0,82.845333606379,1,1,157.0,1,1
E,E01006563,78.172,49.1,38.0,82.84065778475284,1,1,158.0,1,1
S,S01008787,83.70380944486546,43.0,40.0,82.82402955824632,1,1,159.0,1,1
S,S01009126,77.25736270273397,37.0,29.0,82.59277338998996,1,1,160.0,1,1
S,S01010047,79.50102657925085,45.0,33.0,82.53404485212383,1,1,161.0,1,1
E,E01012948,78.1,44.4,40.2,82.47435285400488,1,1,162.0,1,1
E,E01024906,77.026,36.9,30.7,82.43889676049761,1,1,163.0,1,1
S,S01010121,76.55816384982101,41.0,28.0,82.41093736366096,1,1,164.0,1,1
E,E01011662,77.034,43.1,31.7,82.31995378593146,1,1,165.0,1,1
E,E01012738,77.09,37.9,33.0,82.21857731222788,1,1,166.0,1,1
E,E01004960,77.703,54.50000000000001,39.2,82.13904113630291,1,1,167.0,1,1
E,E01007005,77.512,44.5,37.7,82.10842837471773,1,1,168.0,1,1
E,E01007532,77.257,40.9,35.9,82.0415651146445,1,1,169.0,1,1
E,E01012090,78.009,51.4,42.9,82.02171818938729,1,1,170.0,1,1
S,S01013395,76.77292599420926,41.0,29.0,81.9043251281646,1,1,171.0,1,1
E,E01033228,77.148,48.8,36.1,81.8886233861455,1,1,172.0,1,1
N,95LL07W1,48.52957347205056,21.6,27.5,81.85888396094154,1,1,173.0,1,1
N,95MM13S3,37.34432232432016,13.1,41.2,81.85765572771452,2,1,174.0,1,1
N,95GG10S1,49.24399935641945,20.3,26.6,81.83690436241409,1,1,175.0,1,1
N,95GG27S4,39.1987145375342,12.2,38.9,81.83249661552335,2,1,176.0,1,1
S,S01007872,77.24879504735314,44.0,30.0,81.76878014318861,1,1,177.0,1,1
E,E01024676,76.553,40.0,32.300000000000004,81.68129512328976,1,1,178.0,1,1
E,E01007544,76.898,43.2,35.8,81.6351714152619,1,1,179.0,1,1
E,E01012114,76.969,50.0,37.4,81.51282569731852,1,1,180.0,1,1
E,E01008978,78.083,55.800000000000004,47.699999999999996,81.49236380618622,1,1,181.0,1,1
E,E01013136,77.552,50.3,43.0,81.47522800987319,1,1,182.0,1,1
S,S01009843,76.97627258514562,42.0,30.0,81.38148989017188,1,1,183.0,1,1
E,E01012041,77.591,57.8,44.2,81.36682828603048,1,1,184.0,1,1
N,95GG04S1,42.17724623650634,14.9,34.7,81.34500489562987,2,1,185.0,1,1
E,E01013208,76.316,50.0,33.0,81.31473892709792,1,1,186.0,1,1
S,S01007812,75.20127126042357,42.0,27.0,81.29443205705576,1,1,187.0,1,1
E,E01012721,77.561,51.7,44.5,81.29331029846915,1,1,188.0,1,1
S,S01009976,78.03081004310611,44.0,32.0,81.25649131612462,1,1,189.0,1,1
S,S01010207,82.57476322088229,49.0,40.0,81.21950641467856,1,1,190.0,1,1
E,E01006494,76.636,53.6,36.7,81.21376447810457,1,1,191.0,1,1
E,E01013140,75.879,43.9,29.9,81.20211565942805,1,1,192.0,1,1
S,S01008569,80.25848367534249,38.0,36.0,81.17503853856451,1,1,193.0,1,1
E,E01032332,76.145,43.8,32.6,81.16636769182776,1,1,194.0,1,1
N,95OO11W1,42.32966257013916,18.4,34.3,81.15644388589948,2,1,195.0,1,1
E,E01004823,76.792,47.5,38.7,81.1393635081947,1,1,196.0,1,1
N,95DD20W1,42.40777632607991,17.8,34.1,81.06422692857242,2,1,197.0,1,1
E,E01007003,76.196,43.5,33.900000000000006,81.05915246886626,1,1,198.0,1,1
E,E01005918,77.101,47.8,42.4,81.02554381083381,1,1,199.0,1,1
S,S01010332,74.43436069328006,40.0,26.0,81.01636878133189,1,1,200.0,1,1
E,E01009379,76.225,46.400000000000006,35.0,80.95190374384553,1,1,201.0,1,1
S,S01013075,77.22737656194398,40.0,31.0,80.92652417714999,1,1,202.0,1,1
S,S01010224,74.9136389445445,43.0,27.0,80.88566871516372,1,1,203.0,1,1
N,95GG44S1,44.57944882196389,14.6,31.2,80.85223095399813,1,1,204.0,1,1
E,E01030247,76.806,48.6,41.199999999999996,80.8349995726697,1,1,205.0,1,1
S,S01010111,76.0181672568283,42.0,29.0,80.83171371845161,1,1,206.0,1,1
E,E01010819,75.768,46.300000000000004,31.8,80.82875397648176,1,1,207.0,1,1
S,S01010312,79.43389820698181,46.0,35.0,80.81501164448721,1,1,208.0,1,1
E,E01010612,75.825,45.800000000000004,32.9,80.75420224730557,1,1,209.0,1,1
E,E01033477,75.941,45.0,34.5,80.6844052726837,1,1,210.0,1,1
S,S01008929,79.90842715727028,43.0,36.0,80.6775621971424,1,1,211.0,1,1
E,E01005754,76.234,48.1,37.4,80.65452955640053,1,1,212.0,1,1
E,E01033679,75.863,45.0,34.4,80.60614928159765,1,1,213.0,1,1
E,E01014726,75.488,40.8,31.2,80.57875500206418,1,1,214.0,1,1
S,S01007853,80.39876772348165,42.0,37.0,80.56258313510739,1,1,215.0,1,1
S,S01010344,78.05354600449492,41.0,33.0,80.47698462489322,1,1,216.0,1,1
E,E01006386,75.885,44.800000000000004,35.8,80.45224081560215,1,1,217.0,1,1
E,E01007007,77.125,51.0,47.4,80.41214494037752,1,1,218.0,1,1
E,E01010730,75.905,43.5,36.5,80.38579633126872,1,1,219.0,1,1
N,95WW12W1,41.29036437430186,16.5,34.7,80.38460747313016,2,1,220.0,1,1
S,S01009977,80.25109127128692,45.0,37.0,80.35271547843121,1,1,221.0,1,1
E,E01007274,76.106,49.3,38.9,80.31263011532879,1,1,222.0,1,1
S,S01010323,83.64592133396968,59.0,43.0,80.3063104950947,1,1,223.0,1,1
W,W01000239,80.3,50.0,35.0,80.3,1,1,224.0,1,1
E,E01008304,75.897,45.300000000000004,37.4,80.26099785641503,1,1,225.0,1,1
E,E01011368,75.543,39.900000000000006,34.300000000000004,80.24529782642702,1,1,226.0,1,1
E,E01006493,75.8,55.900000000000006,37.0,80.1990401101624,1,1,227.0,1,1
S,S01009534,74.4212366659737,42.0,27.0,80.18590033090301,1,1,228.0,1,1
E,E01006448,75.522,51.9,34.599999999999994,80.18228958752998,1,1,229.0,1,1
E,E01010711,75.65,39.0,36.0,80.15216260580294,1,1,230.0,1,1
N,95GG12S5,44.66674996101168,15.4,30.3,80.15114288041957,1,1,231.0,1,1
E,E01012720,75.616,46.7,35.8,80.13811610552469,1,1,232.0,1,1
E,E01005756,75.498,43.8,34.9,80.11577809907818,1,1,233.0,1,1
S,S01010128,72.61181953606695,42.0,24.0,80.04993311325474,1,1,234.0,1,1
S,S01013138,75.43619838591516,40.0,29.0,80.0046594292819,1,1,235.0,1,1
N,95GG07S1,38.65002442688903,10.3,37.5,80.00068426913619,2,1,236.0,1,1
S,S01009780,73.70663171192032,37.0,26.0,79.9821702090916,1,1,237.0,1,1
E,E01009709,75.274,44.4,34.1,79.95683011102533,1,1,238.0,1,1
E,E01019143,75.081,38.0,32.9,79.88539635772328,1,1,239.0,1,1
S,S01010163,75.88752679764269,39.0,30.0,79.83423896598259,1,1,240.0,1,1
S,S01011384,75.88480995769024,40.0,30.0,79.83037797917046,1,1,241.0,1,1
E,E01005203,75.035,44.4,33.1,79.80602286987441,1,1,242.0,1,1
W,W01001421,79.8,47.0,34.0,79.8,1,1,243.0,1,1
E,E01007273,75.265,45.800000000000004,35.4,79.77954989696849,1,1,244.0,1,1
E,E01007129,75.76,43.1,40.1,79.7546466986243,1,1,245.0,1,1
S,S01009980,75.83022927610544,43.0,30.0,79.75281165377632,1,1,246.0,1,1
E,E01006873,75.142,43.5,34.9,79.70005915191246,1,1,247.0,1,1
S,S01012491,76.92414003055032,42.0,32.0,79.683767711263,1,1,248.0,1,1
E,E01007128,75.862,49.8,41.9,79.64284423140438,1,1,249.0,1,1
S,S01012501,75.17653465852099,37.0,29.0,79.63564312924136,1,1,250.0,1,1
S,S01012838,75.14758474011573,40.0,29.0,79.59450148853708,1,1,251.0,1,1
E,E01013142,74.512,41.6,30.0,79.59297311496786,1,1,252.0,1,1
E,E01033747,74.499,37.7,30.2,79.55213537222146,1,1,253.0,1,1
E,E01007006,74.774,41.4,32.9,79.52689715328543,1,1,254.0,1,1
S,S01010046,75.09929287001063,41.0,29.0,79.52587239117696,1,1,255.0,1,1
E,E01013137,74.948,41.199999999999996,34.599999999999994,79.51200117271783,1,1,256.0,1,1
E,E01012944,75.033,38.0,35.5,79.49580343406193,1,1,257.0,1,1
E,E01024657,74.458,42.8,30.4,79.4786006336305,1,1,258.0,1,1
E,E01008011,74.795,45.7,33.900000000000006,79.42313492678994,1,1,259.0,1,1
S,S01010893,82.41852292460021,49.0,42.0,79.37383344561366,1,1,260.0,1,1
E,E01012724,75.331,47.599999999999994,39.300000000000004,79.3563099909957,1,1,261.0,1,1
E,E01006766,74.389,43.1,31.0,79.32105490984353,1,1,262.0,1,1
S,S01010023,77.23344524443822,47.0,33.0,79.31151360907756,1,1,263.0,1,1
E,E01012089,74.736,51.6,34.699999999999996,79.25160970684306,1,1,264.0,1,1
E,E01005350,75.624,53.2,42.8,79.24946329068518,1,1,265.0,1,1
E,E01010710,74.227,37.1,30.2,79.23450741258924,1,1,266.0,1,1
E,E01006695,74.929,41.699999999999996,37.2,79.15627299475254,1,1,267.0,1,1
S,S01010495,75.40098513083655,40.0,30.0,79.1427992816565,1,1,268.0,1,1
E,E01011994,74.719,47.5,36.0,79.06498749397349,1,1,269.0,1,1
E,E01006467,74.863,42.699999999999996,37.4,79.0535445098719,1,1,270.0,1,1
E,E01033764,74.468,47.0,34.1,79.01562373064452,1,1,271.0,1,1
E,E01006417,74.948,41.8,38.6,78.9988612792023,1,1,272.0,1,1
E,E01012076,74.309,49.6,32.800000000000004,78.99672196963442,1,1,273.0,1,1
E,E01006413,75.149,46.2,40.6,78.97700905261391,1,1,274.0,1,1
E,E01012266,74.481,47.9,34.599999999999994,78.96666199202573,1,1,275.0,1,1
S,S01010330,74.12783261868205,38.0,28.0,78.95711711780702,1,1,276.0,1,1
S,S01010336,76.38315234906952,38.0,32.0,78.91495308092954,1,1,277.0,1,1
E,E01006610,73.776,39.300000000000004,28.599999999999998,78.91310818692874,1,1,278.0,1,1
E,E01030250,74.332,41.3,33.7,78.90812374017996,1,1,279.0,1,1
E,E01005682,75.302,46.9,42.9,78.86061934113563,1,1,280.0,1,1
E,E01012735,74.73,36.5,37.9,78.8340912929211,1,1,281.0,1,1
S,S01012065,72.3037067954859,42.0,25.0,78.8002469129354,1,1,282.0,1,1
E,E01005433,73.896,43.3,30.7,78.78383972502378,1,1,283.0,1,1
S,S01010056,72.27323825058089,38.0,25.0,78.75694710428945,1,1,284.0,1,1
E,E01006647,74.341,44.2,35.099999999999994,78.73903452611383,1,1,285.0,1,1
E,E01006909,74.52,49.8,36.8,78.72997729480416,1,1,286.0,1,1
E,E01011363,73.67,40.9,29.299999999999997,78.69952722129509,1,1,287.0,1,1
E,E01025584,75.224,41.5,44.4,78.57710739264333,1,1,288.0,1,1
E,E01006963,73.993,44.0,33.300000000000004,78.5635705298428,1,1,289.0,1,1
E,E01006817,74.358,41.5,36.9,78.52797332150885,1,1,290.0,1,1
E,E01013877,73.881,44.800000000000004,33.300000000000004,78.43278254646484,1,1,291.0,1,1
E,E01005138,73.414,41.6,29.099999999999998,78.42624025396405,1,1,292.0,1,1
S,S01010120,71.45306040161371,40.0,24.0,78.4031840169321,1,1,293.0,1,1
E,E01026597,74.353,38.7,38.0,78.3810211015341,1,1,294.0,1,1
E,E01012059,73.511,40.400000000000006,30.5,78.35991302683776,1,1,295.0,1,1
E,E01033483,73.994,41.0,34.9,78.35948232228819,1,1,296.0,1,1
E,E01010032,73.297,48.9,28.7,78.34092751067968,1,1,297.0,1,1
N,95VV08W1,46.17878038865457,27.0,26.4,78.3407970172488,1,1,298.0,1,1
E,E01010666,73.106,38.7,27.0,78.33597174377027,1,1,299.0,1,1
E,E01011375,73.056,39.0,26.900000000000002,78.29041274852872,1,1,300.0,1,1
N,95GG27S2,37.29077446984306,13.5,37.2,78.26355453856213,2,1,301.0,1,1
E,E01006248,73.622,40.6,32.4,78.24579181094427,1,1,302.0,1,1
E,E01012019,73.994,46.9,36.1,78.20554035423352,1,1,303.0,1,1
N,95NN04W1,39.32632968154041,14.3,34.6,78.16936682078575,2,1,304.0,1,1
E,E01008291,73.512,47.599999999999994,32.0,78.168653316621,1,1,305.0,1,1
E,E01024678,73.499,39.7,31.900000000000002,78.16630106588825,1,1,306.0,1,1
E,E01015842,73.557,47.4,32.800000000000004,78.11857408123943,1,1,307.0,1,1
E,E01022031,73.789,46.9,35.6,78.03029412134721,1,1,308.0,1,1
S,S01011383,76.31324019729831,36.0,33.0,78.00378123851533,1,1,309.0,1,1
S,S01008006,74.02577905443329,39.0,29.0,78.00026810195942,1,1,310.0,1,1
E,E01027416,73.732,46.9,35.4,77.98938937448241,1,1,311.0,1,1
E,E01005090,73.349,42.8,32.1,77.96548159347411,1,1,312.0,1,1
E,E01032471,73.255,45.0,32.2,77.84288461008683,1,1,313.0,1,1
W,W01001274,77.8,47.0,29.0,77.8,1,1,314.0,1,1
N,95QQ03W1,41.170724350050506,18.6,31.9,77.77976998204299,2,1,315.0,1,1
S,S01010019,73.84944797780655,40.0,29.0,77.74967845614344,1,1,316.0,1,1
E,E01006677,73.333,51.9,33.900000000000006,77.7158846437667,1,1,317.0,1,1
N,95LL02S2,46.00567391143209,21.4,25.9,77.71132703922305,1,1,318.0,1,1
S,S01009940,74.93020320048399,40.0,31.0,77.66193877315604,1,1,319.0,1,1
E,E01007293,74.283,52.0,43.0,77.65785374502846,1,1,320.0,1,1
E,E01011625,72.732,45.9,28.9,77.65549184985608,1,1,321.0,1,1
E,E01012091,73.207,46.400000000000006,33.4,77.6328906491559,1,1,322.0,1,1
E,E01007133,75.014,58.099999999999994,50.8,77.51085609418476,1,1,323.0,1,1
S,S01011361,75.96178494620469,35.0,33.0,77.50431711354913,1,1,324.0,1,1
