nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
N,95ZZ06W1,75.19204448526636,25.8,53.0,133.27419581040678,1,1,1.0,1,1
N,95GG47S2,71.33572665985291,21.0,57.0,132.63433407697408,1,1,2.0,1,1
N,95GG35S2,68.03145551017063,18.8,59.4,131.17783351027603,1,1,3.0,1,1
N,95MM12S2,71.31017101003705,22.0,50.7,127.0372795107805,1,1,4.0,1,1
N,95MM27S1,69.45735238507568,23.2,51.9,126.09171112421107,1,1,5.0,1,1
N,95MM28W1,68.35392809625682,23.0,51.5,124.54321014020375,1,1,6.0,1,1
N,95GG02S2,70.80777998789061,24.6,48.4,124.4599782914043,1,1,7.0,1,1
N,95RR10W1,66.14427713958729,20.4,51.7,122.32720215711574,1,1,8.0,1,1
N,95GG02S3,67.66563031406604,18.6,49.4,121.94139767824844,1,1,9.0,1,1
N,95MM10S1,66.50126331917342,21.4,48.2,119.61967938775324,1,1,10.0,1,1
N,95MM05W1,64.97774827881761,21.5,49.4,119.03071127383905,1,1,11.0,1,1
N,95MM25S1,62.840924741171385,18.7,51.3,118.39641625311923,1,1,12.0,1,1
N,95SS06S2,62.7934169291008,16.8,49.9,117.10733029258584,1,1,13.0,1,1
N,95GG48S2,61.41550847483902,14.4,51.3,116.85284414220472,1,1,14.0,1,1
N,95GG51S1,68.0669498644099,24.7,42.9,116.62979719116393,1,1,15.0,1,1
N,95GG47S1,63.87320556774916,17.9,47.7,116.3317619021358,1,1,16.0,1,1
N,95GG02S1,63.85081941072444,20.6,47.6,116.21911724209951,1,1,17.0,1,1
N,95GG35S1,60.67320844659937,15.0,50.9,115.69540179164416,1,1,18.0,1,1
N,95GG51S2,65.0456365177195,20.6,45.3,115.479709413193,1,1,19.0,1,1
N,95GG40S2,63.327878052603126,17.2,47.4,115.4760224092337,1,1,20.0,1,1
N,95MM13S2,62.38552430314529,19.9,47.1,114.19034631671505,1,1,21.0,1,1
N,95GG19S1,60.964303531100654,20.3,46.7,112.29770601001275,1,1,22.0,1,1
N,95GG51S3,63.61977882222149,22.3,43.3,112.16760196362863,1,1,23.0,1,1
N,95MM11W1,58.40033442361174,19.0,49.2,111.73127559266446,1,1,24.0,1,1
N,95LL26S1,64.25391282690599,24.4,40.1,110.02540900120583,1,1,25.0,1,1
N,95SS06S3,60.4405709951999,17.1,44.4,109.69729423253929,1,1,26.0,1,1
N,95GG19S2,62.547786929445714,20.5,41.3,109.23869302034612,1,1,27.0,1,1
N,95RR03W1,57.57368929928405,18.9,47.0,108.89124501152584,1,1,28.0,1,1
N,95MM25S2,60.33400162180373,21.6,43.3,108.60945956758765,1,1,29.0,1,1
N,95GG21S3,59.02196656280781,17.9,44.9,108.60311293286416,1,1,30.0,1,1
N,95GG48S3,56.47710421319681,14.1,48.0,108.58779026951635,1,1,31.0,1,1
N,95GG21S2,58.91808981722954,15.2,44.1,107.78340269125734,1,1,32.0,1,1
N,95GG40S1,59.84934610772849,19.3,42.9,107.73101844353728,1,1,33.0,1,1
N,95JJ03S1,58.73536888800195,25.6,43.9,107.40872989622542,1,1,34.0,1,1
N,95GG35S3,58.52464354989597,16.3,44.0,107.2689399439199,1,1,35.0,1,1
N,95SS29S2,55.952443386447705,18.8,46.6,106.78199904646226,1,1,36.0,1,1
N,95MM08S1,52.91735436410811,19.7,46.8,103.67213064691224,1,1,37.0,1,1
N,95ZZ02W1,54.43601762237555,20.7,44.6,103.37181614477039,1,1,38.0,1,1
N,95SS26S1,54.162965846796766,16.2,44.5,102.98772764962146,1,1,39.0,1,1
N,95GG21S1,53.37436681821105,15.6,45.4,102.92938573120249,1,1,40.0,1,1
N,95GG46S3,51.57897522783556,12.8,47.1,102.48801896023201,1,1,41.0,1,1
N,95MM30W1,52.43238045131712,19.7,45.0,101.55570460846174,1,1,42.0,1,1
N,95MM14S2,54.41222568277594,20.8,41.9,100.95917465979113,1,1,43.0,1,1
N,95SS29S1,53.15256266049454,17.7,42.7,100.3023183660612,1,1,44.0,1,1
N,95GG18S1,51.32767750769094,18.5,42.5,98.14935879479121,1,1,45.0,1,1
E,E01021988,92.735,56.89999999999999,53.400000000000006,97.87101028340987,1,1,46.0,1,1
N,95GG04S3,53.68024327165445,18.2,39.3,97.86804212568997,1,1,47.0,1,1
N,95YY15S2,52.0179809001849,18.8,41.3,97.83604854097082,1,1,48.0,1,1
N,95YY15S1,51.66613903686483,21.3,41.7,97.80865320650877,1,1,49.0,1,1
N,95MM06S2,48.82798060176939,17.8,44.5,97.21051391152277,1,1,50.0,1,1
N,95PP09W1,52.93813464100797,20.6,39.4,97.15282136769993,1,1,51.0,1,1
N,95GG18S2,50.11524125349258,14.5,42.8,97.10162966872122,1,1,52.0,1,1
N,95GG47S3,50.11109871082154,16.8,42.1,96.47832368024497,1,1,53.0,1,1
N,95MM25S3,51.30440551317715,20.1,40.5,96.35610041573543,1,1,54.0,1,1
N,95SS06S1,47.99761963785655,13.5,42.5,94.5432652086463,1,1,55.0,1,1
