SOA2001,2010_income_score
95AA01S1,0.00
95AA01S2,0.09
95AA01S3,0.10
95AA02W1,0.24
95AA03W1,0.30
95AA04W1,0.09
95AA05W1,0.14
95AA06S1,0.17
95AA06S2,0.18
95AA07W1,0.17
95AA08W1,0.38
95AA09W1,0.32
95AA10W1,0.31
95AA11S1,0.16
95AA11S2,0.08
95AA12W1,0.07
95AA13S1,0.14
95AA13S2,0.21
95AA14W1,0.11
95AA15S1,0.17
95AA15S2,0.23
95AA16W1,0.31
95AA17W1,0.24
95AA18W1,0.08
95AA19W1,0.25
95BB01S1,0.11
95BB01S2,0.10
95BB02W1,0.29
95BB03S1,0.24
95BB03S2,0.13
95BB04S1,0.18
95BB04S2,0.07
95BB05S1,0.14
95BB05S2,0.15
95BB06W1,0.38
95BB07S1,0.25
95BB07S2,0.13
95BB08S1,0.34
95BB08S2,0.06
95BB09S1,0.10
95BB09S2,0.10
95BB10S1,0.22
95BB10S2,0.10
95BB11S1,0.31
95BB11S2,0.18
95BB12S1,0.40
95BB12S2,0.16
95BB13S1,0.22
95BB13S2,0.26
95BB13S3,0.09
95BB14S1,0.09
95BB14S2,0.07
95BB15S1,0.15
95BB15S2,0.28
95BB16S1,0.04
95BB16S2,0.06
95BB17S1,0.15
95BB17S2,0.22
95BB18S1,0.32
95BB18S2,0.10
95BB19S1,0.10
95BB19S2,0.06
95BB19S3,0.07
95BB20S1,0.20
95BB20S2,0.37
95BB21S1,0.24
95BB21S2,0.17
95BB22S1,0.28
95BB22S2,0.37
95BB23S1,0.07
95BB23S2,0.06
95CC01W1,0.26
95CC02W1,0.22
95CC03W1,0.48
95CC04W1,0.23
95CC05W1,0.22
95CC06S1,0.14
95CC06S2,0.20
95CC07W1,0.25
95CC08W1,0.36
95CC09S1,0.08
95CC09S2,0.14
95CC10W1,0.13
95CC11W1,0.40
95CC12W1,0.17
95CC13W1,0.17
95CC14W1,0.15
95CC15W1,0.17
95CC16W1,0.25
95CC17W1,0.17
95CC18W1,0.19
95CC19W1,0.19
95CC20S1,0.10
95CC20S2,0.16
95CC21W1,0.20
95CC22W1,0.23
95DD01W1,0.15
95DD02S1,0.20
95DD02S2,0.10
95DD03W1,0.09
95DD04W1,0.46
95DD05W1,0.43
95DD06W1,0.08
95DD07S1,0.16
95DD07S2,0.14
95DD08W1,0.32
95DD09W1,0.11
95DD10W1,0.24
95DD11W1,0.40
95DD12W1,0.11
95DD13W1,0.34
95DD14S1,0.11
95DD14S2,0.04
95DD15W1,0.16
95DD16W1,0.10
95DD17W1,0.13
95DD18W1,0.29
95DD19S1,0.19
95DD19S2,0.10
95DD20W1,0.39
95DD21W1,0.16
95DD22S1,0.17
95DD22S2,0.23
95DD23W1,0.11
95DD24W1,0.16
95EE01W1,0.21
95EE02W1,0.29
95EE03W1,0.31
95EE04W1,0.20
95EE05W1,0.20
95EE06W1,0.20
95EE07W1,0.28
95EE08W1,0.18
95EE09W1,0.25
95EE10W1,0.21
95EE11W1,0.18
95EE12W1,0.36
95EE13W1,0.30
95EE14W1,0.21
95EE15W1,0.21
95EE16W1,0.18
95FF01S1,0.10
95FF01S2,0.10
95FF02W1,0.17
95FF03W1,0.24
95FF04W1,0.13
95FF05W1,0.23
95FF06S1,0.17
95FF06S2,0.09
95FF07W1,0.31
95FF08W1,0.22
95FF09W1,0.28
95FF10W1,0.13
95FF11W1,0.14
95FF12W1,0.18
95FF13W1,0.16
95FF14W1,0.12
95FF15W1,0.28
95FF16W1,0.16
95FF17W1,0.34
95GG01S1,0.31
95GG01S2,0.36
95GG01S3,0.34
95GG02S1,0.60
95GG02S2,0.60
95GG02S3,0.76
95GG03S1,0.12
95GG03S2,0.12
95GG03S3,0.21
95GG04S1,0.55
95GG04S2,0.61
95GG04S3,0.56
95GG05S1,0.21
95GG05S2,0.19
95GG05S3,0.33
95GG06S1,0.39
95GG06S2,0.27
95GG06S3,0.20
95GG07S1,0.41
95GG07S2,0.58
95GG07S3,0.42
95GG08S1,0.19
95GG08S2,0.39
95GG08S3,0.36
95GG09S1,0.06
95GG09S2,0.15
95GG09S3,0.31
95GG10S1,0.33
95GG10S2,0.44
95GG11S1,0.40
95GG11S2,0.15
95GG11S3,0.31
95GG12S1,0.06
95GG12S2,0.09
95GG12S3,0.11
95GG12S4,0.13
95GG12S5,0.55
95GG13S1,0.34
95GG13S2,0.15
95GG13S3,0.32
95GG14S1,0.08
95GG14S2,0.08
95GG14S3,0.09
95GG15S1,0.06
95GG15S2,0.08
95GG15S3,0.24
95GG16S1,0.44
95GG16S2,0.29
95GG16S3,0.28
95GG17S1,0.53
95GG17S2,0.25
95GG17S3,0.45
95GG18S1,0.70
95GG18S2,0.61
95GG19S1,0.62
95GG19S2,0.66
95GG20S1,0.58
95GG20S2,0.56
95GG21S1,0.69
95GG21S2,0.73
95GG21S3,0.69
95GG22S1,0.35
95GG22S2,0.30
95GG22S3,0.38
95GG23S1,0.08
95GG23S2,0.10
95GG23S3,0.11
95GG24S1,0.17
95GG24S2,0.26
95GG24S3,0.18
95GG25S1,0.43
95GG25S2,0.49
95GG25S3,0.41
95GG26S1,0.48
95GG26S2,0.40
95GG27S1,0.25
95GG27S2,0.50
95GG27S3,0.49
95GG27S4,0.56
95GG28S1,0.18
95GG28S2,0.31
95GG28S3,0.51
95GG29S1,0.44
95GG29S2,0.30
95GG30S1,0.32
95GG30S2,0.08
95GG30S3,0.11
95GG31S1,0.22
95GG31S2,0.38
95GG31S3,0.58
95GG32S1,0.49
95GG32S2,0.39
95GG32S3,0.29
95GG33S1,0.04
95GG33S2,0.05
95GG33S3,0.08
95GG34S1,0.30
95GG34S2,0.15
95GG34S3,0.11
95GG35S1,0.74
95GG35S2,0.67
95GG35S3,0.66
95GG36S1,0.21
95GG36S2,0.11
95GG36S3,0.13
95GG37S1,0.11
95GG37S2,0.17
95GG37S3,0.18
95GG38S1,0.13
95GG38S2,0.26
95GG38S3,0.11
95GG39S1,0.49
95GG39S2,0.53
95GG39S3,0.52
95GG40S1,0.63
95GG40S2,0.73
95GG41S1,0.03
95GG41S2,0.04
