gss-code,constituency-name,pcon-deprivation-score,label,desc,low-deprivation,medium-deprivation,high-deprivation,pcon-imd-pop-quintile,pcon-imd-pop-decile
N06000004,Belfast West,71.9006169718264,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.046190400760335815,0.9538095992396641,1,1
N06000002,Belfast North,65.38729141722065,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.1799292535586598,0.8200707464413401,1,1
N06000008,Foyle,63.10188564348571,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2041656225302157,0.7958343774697842,1,1
E14000794,"Liverpool, Walton",55.82417369392538,1st IMD quintile,Constituencies in most deprived quintile (20%),0.01695460107430989,0.06916647655391252,0.9138789223717776,1,1
N06000018,West Tyrone,54.88352367656629,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.03277847268995157,0.9672215273100484,1,1
N06000011,Newry and Armagh,50.463105691555164,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.15639219442907518,0.8436078055709249,1,1
E14000563,"Birmingham, Hodge Hill",49.29650405057219,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.10067238724553354,0.8993276127544665,1,1
E14000573,Blackpool South,49.00181414343877,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.34812402129658626,0.6518759787034137,1,1
N06000006,East Londonderry,47.81467916687612,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.1927288397876633,0.8072711602123367,1,1
E14000561,"Birmingham, Erdington",47.051530381649776,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.2201348140245381,0.779865185975462,1,1
E14000571,Blackley and Broughton,47.04160264133457,1st IMD quintile,Constituencies in most deprived quintile (20%),0.0,0.23048160813013327,0.7695183918698667,1,1
E14000775,Knowsley,46.522150796836925,1st IMD quintile,Constituencies in most deprived quintile (20%),0.04419714128334158,0.25418491098019813,0.7016179477364604,1,1
E14000796,"Liverpool, West Derby",45.59920906429554,1st IMD quintile,Constituencies in most deprived quintile (20%),0.062340244248792955,0.2896576584449348,0.6480020973062722,1,1
E14000819,Middlesbrough,45.4559125330172,1st IMD quintile,Constituencies in most deprived quintile (20%),0.17482997441816933,0.1547284790249787,0.670441546556852,1,1
E14000564,"Birmingham, Ladywood",44.97981505578076,1st IMD quintile,Constituencies in most deprived quintile (20%),0.026627357700425475,0.24093939495460484,0.7324332473449697,1,1
