nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_S_score,original_decile,S_expanded_decile,UK_IMD_S_rank,UK_IMD_S_pop_decile,UK_IMD_S_pop_quintile
S,S01007030,20.65342691936892,10.0,10.0,20.65342691936892,5,5.0,19031.0,5,3
E,E01024400,20.626,9.3,8.5,20.65033832830524,5,5.0,19032.0,5,3
E,E01005922,19.696,9.700000000000001,10.299999999999999,20.650196322329904,5,5.0,19033.0,5,3
E,E01010230,19.011,12.4,10.4,20.64960703229964,5,5.0,19034.0,5,3
W,W01001327,16.5,11.0,8.0,20.64825629240804,6,5.0,19035.5,5,3
W,W01001958,16.5,11.0,8.0,20.64825629240804,6,5.0,19035.5,5,3
E,E01021880,18.537,14.2,10.5,20.647768026833905,5,5.0,19037.0,5,3
E,E01000903,18.925,15.7,8.9,20.647645864839983,5,5.0,19038.0,5,3
E,E01026481,21.202,9.2,7.3,20.64684354513873,5,5.0,19039.0,5,3
E,E01022102,20.526,9.9,8.4,20.646719005439017,5,5.0,19040.0,5,3
E,E01026745,19.774,11.5,9.2,20.644570464359123,5,5.0,19041.0,5,3
E,E01001092,19.832,8.3,10.7,20.64313689089441,5,5.0,19042.0,5,3
E,E01029922,19.977,12.0,8.5,20.641676788268292,5,5.0,19043.0,5,3
E,E01031925,18.935,11.3,11.1,20.64106677018188,5,5.0,19044.0,5,3
E,E01000131,20.904,11.600000000000001,6.7,20.63949179055425,5,5.0,19045.0,5,3
E,E01000995,20.555,11.700000000000001,7.3999999999999995,20.63908171482095,5,5.0,19046.0,5,3
W,W01000502,14.1,12.0,11.0,20.63868693584159,7,5.0,19047.0,5,3
S,S01010962,20.63798218139445,10.0,9.0,20.63798218139445,5,5.0,19048.0,5,3
E,E01016149,19.605,10.8,9.9,20.6371889285766,5,5.0,19049.0,5,3
E,E01000255,18.729,14.899999999999999,9.700000000000001,20.636993629955782,5,5.0,19050.0,5,3
E,E01000996,19.945,12.5,8.3,20.6364826279056,5,5.0,19051.0,5,3
E,E01015905,19.824,13.200000000000001,8.200000000000001,20.63489823939022,5,5.0,19052.0,5,3
E,E01004494,19.102,13.700000000000001,9.5,20.634437644658835,5,5.0,19053.0,5,3
E,E01021213,18.592,13.100000000000001,10.9,20.632851376314676,5,5.0,19054.0,5,3
E,E01015712,21.057,11.700000000000001,6.3,20.63250776177215,5,5.0,19055.0,5,3
E,E01001895,19.524,11.899999999999999,9.5,20.631938213787894,5,5.0,19056.0,5,3
N,95LL25S2,7.011863419179084,10.5,11.4,20.630752662127886,9,5.0,19057.0,5,3
S,S01006779,20.6301031887747,14.0,9.0,20.6301031887747,5,5.0,19058.0,5,3
E,E01002611,21.015,9.700000000000001,7.3999999999999995,20.629409743662485,5,5.0,19059.0,5,3
E,E01007751,19.545,11.600000000000001,9.6,20.629251653363294,5,5.0,19060.0,5,3
E,E01021820,19.629,13.600000000000001,8.4,20.62893142884503,5,5.0,19061.0,5,3
S,S01011713,20.628521148080168,10.0,10.0,20.628521148080168,5,5.0,19062.0,5,3
S,S01008983,20.62783137328846,11.0,7.0,20.62783137328846,5,5.0,19063.0,5,3
E,E01032070,19.824,10.8,9.4,20.627078726505115,5,5.0,19064.0,5,3
E,E01025387,18.911,12.7,10.4,20.627012123183174,5,5.0,19065.0,5,3
E,E01019514,19.055,11.3,10.8,20.626158034919353,5,5.0,19066.0,5,3
E,E01023533,19.816,12.4,8.6,20.626086391923508,5,5.0,19067.0,5,3
E,E01027918,19.706,10.7,9.700000000000001,20.62521483738407,5,5.0,19068.0,5,3
S,S01009363,20.62482008354164,12.0,12.0,20.62482008354164,5,5.0,19069.0,5,3
E,E01031952,18.556,13.600000000000001,10.7,20.62455454436615,5,5.0,19070.0,5,3
E,E01019292,21.227,6.6000000000000005,8.5,20.621767809312132,5,5.0,19071.0,5,3
S,S01009497,20.621250559213497,13.0,9.0,20.621250559213497,5,5.0,19072.0,5,3
E,E01010513,17.936,10.9,13.4,20.620793469335037,5,5.0,19073.0,5,3
E,E01001659,20.724,9.3,8.200000000000001,20.618364899320607,5,5.0,19074.0,5,3
E,E01008758,18.857,11.5,11.1,20.61721259461103,5,5.0,19075.0,5,3
S,S01008182,20.61687639870605,13.0,11.0,20.61687639870605,5,5.0,19076.0,5,3
E,E01020332,18.902,11.700000000000001,10.9,20.616772981746244,5,5.0,19077.0,5,3
S,S01010752,20.61582972630584,14.0,9.0,20.61582972630584,5,5.0,19078.0,5,3
E,E01006008,20.087,10.2,9.1,20.613146739377342,5,5.0,19079.0,5,3
E,E01020459,19.778,11.899999999999999,8.9,20.612980093813267,5,5.0,19080.0,5,3
E,E01005745,20.805,10.100000000000001,7.6,20.61180791467041,5,5.0,19081.0,5,3
S,S01012465,20.610728839269918,12.0,8.0,20.610728839269918,5,5.0,19082.0,5,3
E,E01005711,20.016,9.700000000000001,9.5,20.61043969496316,5,5.0,19083.0,5,3
E,E01024786,20.661,10.7,7.6,20.61005549863919,5,5.0,19084.0,5,3
S,S01012572,20.60988241205228,9.0,9.0,20.60988241205228,5,5.0,19085.0,5,3
E,E01020866,21.575,8.4,6.800000000000001,20.609594517710075,4,5.0,19086.0,5,3
E,E01029464,19.311,11.1,10.299999999999999,20.608099624663886,5,5.0,19087.0,5,3
S,S01007075,20.60785169506912,11.0,8.0,20.60785169506912,5,5.0,19088.0,5,3
W,W01000575,16.1,13.0,8.0,20.607116327812516,6,5.0,19089.0,5,3
S,S01007640,20.60639262131551,9.0,6.0,20.60639262131551,5,5.0,19090.0,5,3
E,E01017960,19.082,14.6,9.0,20.60385845692195,5,5.0,19091.0,5,3
S,S01007209,20.60375290609595,12.0,11.0,20.60375290609595,5,5.0,19092.0,5,3
E,E01021417,19.794,10.6,9.5,20.60315706353758,5,5.0,19093.0,5,3
E,E01024304,19.481,12.5,9.2,20.600539372461423,5,5.0,19094.0,5,3
S,S01012488,20.60002034721863,13.0,11.0,20.60002034721863,5,5.0,19095.0,5,3
W,W01000118,17.0,12.0,7.0,20.599797019317812,6,5.0,19096.0,5,3
E,E01009418,19.086,12.4,10.100000000000001,20.599793241696442,5,5.0,19097.0,5,3
E,E01001240,20.451,13.3,6.7,20.599621556458466,5,5.0,19098.0,5,3
E,E01000520,20.597,11.3,7.3999999999999995,20.59836392576629,5,5.0,19099.0,5,3
S,S01013409,20.598262379111617,13.0,9.0,20.598262379111617,5,5.0,19100.0,5,3
S,S01007595,20.59669609790146,11.0,11.0,20.59669609790146,5,5.0,19101.0,5,3
E,E01019107,21.752,6.4,7.3999999999999995,20.596386297528923,4,5.0,19102.0,5,3
E,E01011269,20.713,9.8,7.9,20.593463470504343,5,5.0,19103.0,5,3
